dataset,split,index,threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
Ohsumed,train,655,0.6,306,155,480,478,768,91394,12
Ohsumed,train,862,0.6,175,83,276,274,768,30031,12
Ohsumed,train,365,0.6,176,106,220,218,768,19010,12
Ohsumed,train,2423,0.6,174,90,264,262,768,27459,12
Ohsumed,train,1514,0.6,270,138,392,390,768,60840,12
Ohsumed,validation,361,0.6,160,90,253,251,768,25201,12
Ohsumed,validation,158,0.6,68,54,105,103,768,4244,12
Ohsumed,validation,481,0.6,185,95,293,291,768,33872,12
Ohsumed,validation,639,0.6,202,105,283,281,768,31585,12
Ohsumed,validation,275,0.6,160,98,290,288,768,33178,12
Ohsumed,test,4004,0.6,237,126,354,352,768,49562,12
Ohsumed,test,149,0.6,198,103,334,332,768,44090,12
Ohsumed,test,2025,0.6,136,80,188,186,768,13839,12
Ohsumed,test,2505,0.6,161,89,282,280,768,31360,12
Ohsumed,test,3203,0.6,208,109,310,308,768,37946,12
R8,train,3809,0.6,18,13,37,35,768,490,12
R8,train,149,0.6,38,32,51,49,768,961,12
R8,train,3123,0.6,37,21,74,72,768,2074,12
R8,train,3367,0.6,102,39,136,134,768,7183,12
R8,train,3196,0.6,95,66,135,133,768,7076,12
R8,validation,628,0.6,57,41,82,80,768,2560,12
R8,validation,631,0.6,39,35,58,56,768,1255,12
R8,validation,741,0.6,47,31,64,62,768,1538,12
R8,validation,514,0.6,187,119,255,253,768,25604,12
R8,validation,365,0.6,88,51,170,168,768,11290,12
R8,test,1593,0.6,86,56,116,114,768,5199,12
R8,test,526,0.6,38,21,84,82,768,2690,12
R8,test,393,0.6,329,168,412,410,768,67240,12
R8,test,1403,0.6,79,55,116,114,768,5198,12
R8,test,433,0.6,76,57,89,87,768,3028,12
Ohsumed,train,655,0.7,306,155,480,478,768,68545,12
Ohsumed,train,862,0.7,175,83,276,274,768,22523,12
Ohsumed,train,365,0.7,176,106,220,218,768,14257,12
Ohsumed,train,2423,0.7,174,90,264,262,768,20593,12
Ohsumed,train,1514,0.7,270,138,392,390,768,45630,12
Ohsumed,validation,361,0.7,160,90,253,251,768,18901,12
Ohsumed,validation,158,0.7,68,54,105,103,768,3183,12
Ohsumed,validation,481,0.7,185,95,293,291,768,25405,12
Ohsumed,validation,639,0.7,202,105,283,281,768,23689,12
Ohsumed,validation,275,0.7,160,98,290,288,768,24883,12
Ohsumed,test,4004,0.7,237,126,354,352,768,37171,12
Ohsumed,test,149,0.7,198,103,334,332,768,33067,12
Ohsumed,test,2025,0.7,136,80,188,186,768,10379,12
Ohsumed,test,2505,0.7,161,89,282,280,768,23520,12
Ohsumed,test,3203,0.7,208,109,310,308,768,28459,12
R8,train,3809,0.7,18,13,37,35,768,368,12
R8,train,149,0.7,38,32,51,49,768,721,12
R8,train,3123,0.7,37,21,74,72,768,1555,12
R8,train,3367,0.7,102,39,136,134,768,5387,12
R8,train,3196,0.7,95,66,135,133,768,5307,12
R8,validation,628,0.7,57,41,82,80,768,1920,12
R8,validation,631,0.7,39,35,58,56,768,941,12
R8,validation,741,0.7,47,31,64,62,768,1153,12
R8,validation,514,0.7,187,119,255,253,768,19203,12
R8,validation,365,0.7,88,51,170,168,768,8467,12
R8,test,1593,0.7,86,56,116,114,768,3899,12
R8,test,526,0.7,38,21,84,82,768,2017,12
R8,test,393,0.7,329,168,412,410,768,50430,12
R8,test,1403,0.7,79,55,116,114,768,3899,12
R8,test,433,0.7,76,57,89,87,768,2271,12
Ohsumed,train,655,0.8,306,155,480,478,768,45697,12
Ohsumed,train,862,0.8,175,83,276,274,768,15016,12
Ohsumed,train,365,0.8,176,106,220,218,768,9505,12
Ohsumed,train,2423,0.8,174,90,264,262,768,13729,12
Ohsumed,train,1514,0.8,270,138,392,390,768,30420,12
Ohsumed,validation,361,0.8,160,90,253,251,768,12601,12
Ohsumed,validation,158,0.8,68,54,105,103,768,2122,12
Ohsumed,validation,481,0.8,185,95,293,291,768,16937,12
Ohsumed,validation,639,0.8,202,105,283,281,768,15793,12
Ohsumed,validation,275,0.8,160,98,290,288,768,16589,12
Ohsumed,test,4004,0.8,237,126,354,352,768,24781,12
Ohsumed,test,149,0.8,198,103,334,332,768,22045,12
Ohsumed,test,2025,0.8,136,80,188,186,768,6920,12
Ohsumed,test,2505,0.8,161,89,282,280,768,15680,12
Ohsumed,test,3203,0.8,208,109,310,308,768,18973,12
R8,train,3809,0.8,18,13,37,35,768,245,12
R8,train,149,0.8,38,32,51,49,768,481,12
R8,train,3123,0.8,37,21,74,72,768,1037,12
R8,train,3367,0.8,102,39,136,134,768,3592,12
R8,train,3196,0.8,95,66,135,133,768,3538,12
R8,validation,628,0.8,57,41,82,80,768,1280,12
R8,validation,631,0.8,39,35,58,56,768,628,12
R8,validation,741,0.8,47,31,64,62,768,769,12
R8,validation,514,0.8,187,119,255,253,768,12802,12
R8,validation,365,0.8,88,51,170,168,768,5645,12
R8,test,1593,0.8,86,56,116,114,768,2600,12
R8,test,526,0.8,38,21,84,82,768,1345,12
R8,test,393,0.8,329,168,412,410,768,33620,12
R8,test,1403,0.8,79,55,116,114,768,2600,12
R8,test,433,0.8,76,57,89,87,768,1514,12
Ohsumed,train,655,0.9,306,155,480,478,768,22849,12
Ohsumed,train,862,0.9,175,83,276,274,768,7508,12
Ohsumed,train,365,0.9,176,106,220,218,768,4753,12
Ohsumed,train,2423,0.9,174,90,264,262,768,6865,12
Ohsumed,train,1514,0.9,270,138,392,390,768,15210,12
Ohsumed,validation,361,0.9,160,90,253,251,768,6301,12
Ohsumed,validation,158,0.9,68,54,105,103,768,1061,12
Ohsumed,validation,481,0.9,185,95,293,291,768,8469,12
Ohsumed,validation,639,0.9,202,105,283,281,768,7897,12
Ohsumed,validation,275,0.9,160,98,290,288,768,8295,12
