dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
Ohsumed,train,655,0.5,0.5,306,155,480,320,768,59147,23
Ohsumed,train,862,0.5,0.5,175,83,276,175,768,18265,23
Ohsumed,train,365,0.5,0.5,176,106,220,155,768,13948,23
Ohsumed,train,2423,0.5,0.5,174,90,264,201,768,23100,23
Ohsumed,train,1514,0.5,0.5,270,138,392,259,768,42577,23
Ohsumed,validation,361,0.5,0.5,160,90,253,171,768,15839,23
Ohsumed,validation,158,0.5,0.5,68,54,105,80,768,3449,23
Ohsumed,validation,481,0.5,0.5,185,95,293,204,768,25811,23
Ohsumed,validation,639,0.5,0.5,202,105,283,211,768,26751,23
Ohsumed,validation,275,0.5,0.5,160,98,290,205,768,24699,23
Ohsumed,test,4004,0.5,0.5,237,126,354,259,768,40082,23
Ohsumed,test,149,0.5,0.5,198,103,334,243,768,34822,23
Ohsumed,test,2025,0.5,0.5,136,80,188,141,768,10773,23
Ohsumed,test,2505,0.5,0.5,161,89,282,200,768,23397,23
Ohsumed,test,3203,0.5,0.5,208,109,310,220,768,28508,23
R8,train,3809,0.5,0.5,18,13,37,19,768,187,8
R8,train,149,0.5,0.5,38,32,51,31,768,461,8
R8,train,3123,0.5,0.5,37,21,74,35,768,735,8
R8,train,3367,0.5,0.5,102,39,136,82,768,3634,8
R8,train,3196,0.5,0.5,95,66,135,80,768,3459,8
R8,validation,628,0.5,0.5,57,41,82,54,768,1397,8
R8,validation,631,0.5,0.5,39,35,58,39,768,720,8
R8,validation,741,0.5,0.5,47,31,64,35,768,614,8
R8,validation,514,0.5,0.5,187,119,255,143,768,11513,8
R8,validation,365,0.5,0.5,88,51,170,84,768,4343,8
R8,test,1593,0.5,0.5,86,56,116,65,768,2254,8
R8,test,526,0.5,0.5,38,21,84,38,768,878,8
R8,test,393,0.5,0.5,329,168,412,240,768,33805,8
R8,test,1403,0.5,0.5,79,55,116,65,768,2344,8
R8,test,433,0.5,0.5,76,57,89,58,768,1863,8
Ohsumed,train,655,0.5,0.6,306,155,480,320,768,49043,23
Ohsumed,train,862,0.5,0.6,175,83,276,175,768,15176,23
Ohsumed,train,365,0.5,0.6,176,106,220,155,768,11605,23
Ohsumed,train,2423,0.5,0.6,174,90,264,201,768,19164,23
Ohsumed,train,1514,0.5,0.6,270,138,392,259,768,35710,23
Ohsumed,validation,361,0.5,0.6,160,90,253,171,768,13032,23
Ohsumed,validation,158,0.5,0.6,68,54,105,80,768,2841,23
Ohsumed,validation,481,0.5,0.6,185,95,293,204,768,21677,23
Ohsumed,validation,639,0.5,0.6,202,105,283,211,768,22261,23
Ohsumed,validation,275,0.5,0.6,160,98,290,205,768,20771,23
Ohsumed,test,4004,0.5,0.6,237,126,354,259,768,33286,23
Ohsumed,test,149,0.5,0.6,198,103,334,243,768,28997,23
Ohsumed,test,2025,0.5,0.6,136,80,188,141,768,8895,23
Ohsumed,test,2505,0.5,0.6,161,89,282,200,768,19455,23
Ohsumed,test,3203,0.5,0.6,208,109,310,220,768,23567,23
R8,train,3809,0.5,0.6,18,13,37,19,768,158,8
R8,train,149,0.5,0.6,38,32,51,31,768,391,8
R8,train,3123,0.5,0.6,37,21,74,35,768,626,8
R8,train,3367,0.5,0.6,102,39,136,82,768,3002,8
R8,train,3196,0.5,0.6,95,66,135,80,768,2874,8
R8,validation,628,0.5,0.6,57,41,82,54,768,1162,8
R8,validation,631,0.5,0.6,39,35,58,39,768,587,8
R8,validation,741,0.5,0.6,47,31,64,35,768,510,8
R8,validation,514,0.5,0.6,187,119,255,143,768,9421,8
R8,validation,365,0.5,0.6,88,51,170,84,768,3691,8
R8,test,1593,0.5,0.6,86,56,116,65,768,1854,8
R8,test,526,0.5,0.6,38,21,84,38,768,711,8
R8,test,393,0.5,0.6,329,168,412,240,768,27865,8
R8,test,1403,0.5,0.6,79,55,116,65,768,1961,8
R8,test,433,0.5,0.6,76,57,89,58,768,1573,8
Ohsumed,train,655,0.5,0.7,306,155,480,320,768,38261,23
Ohsumed,train,862,0.5,0.7,175,83,276,175,768,11872,23
Ohsumed,train,365,0.5,0.7,176,106,220,155,768,9048,23
Ohsumed,train,2423,0.5,0.7,174,90,264,201,768,14967,23
Ohsumed,train,1514,0.5,0.7,270,138,392,259,768,28146,23
Ohsumed,validation,361,0.5,0.7,160,90,253,171,768,10076,23
Ohsumed,validation,158,0.5,0.7,68,54,105,80,768,2217,23
Ohsumed,validation,481,0.5,0.7,185,95,293,204,768,17242,23
Ohsumed,validation,639,0.5,0.7,202,105,283,211,768,17444,23
Ohsumed,validation,275,0.5,0.7,160,98,290,205,768,16203,23
Ohsumed,test,4004,0.5,0.7,237,126,354,259,768,26040,23
Ohsumed,test,149,0.5,0.7,198,103,334,243,768,22772,23
Ohsumed,test,2025,0.5,0.7,136,80,188,141,768,6868,23
Ohsumed,test,2505,0.5,0.7,161,89,282,200,768,15199,23
Ohsumed,test,3203,0.5,0.7,208,109,310,220,768,18485,23
R8,train,3809,0.5,0.7,18,13,37,19,768,146,8
R8,train,149,0.5,0.7,38,32,51,31,768,325,8
R8,train,3123,0.5,0.7,37,21,74,35,768,511,8
R8,train,3367,0.5,0.7,102,39,136,82,768,2335,8
R8,train,3196,0.5,0.7,95,66,135,80,768,2231,8
R8,validation,628,0.5,0.7,57,41,82,54,768,915,8
R8,validation,631,0.5,0.7,39,35,58,39,768,476,8
R8,validation,741,0.5,0.7,47,31,64,35,768,407,8
R8,validation,514,0.5,0.7,187,119,255,143,768,7294,8
R8,validation,365,0.5,0.7,88,51,170,84,768,2934,8
R8,test,1593,0.5,0.7,86,56,116,65,768,1467,8
R8,test,526,0.5,0.7,38,21,84,38,768,583,8
R8,test,393,0.5,0.7,329,168,412,240,768,21667,8
R8,test,1403,0.5,0.7,79,55,116,65,768,1528,8
R8,test,433,0.5,0.7,76,57,89,58,768,1244,8
Ohsumed,train,655,0.5,0.8,306,155,480,320,768,26764,23
Ohsumed,train,862,0.5,0.8,175,83,276,175,768,8439,23
Ohsumed,train,365,0.5,0.8,176,106,220,155,768,6490,23
Ohsumed,train,2423,0.5,0.8,174,90,264,201,768,10429,23
Ohsumed,train,1514,0.5,0.8,270,138,392,259,768,19390,23
Ohsumed,validation,361,0.5,0.8,160,90,253,171,768,7001,23
Ohsumed,validation,158,0.5,0.8,68,54,105,80,768,1563,23
Ohsumed,validation,481,0.5,0.8,185,95,293,204,768,12276,23
Ohsumed,validation,639,0.5,0.8,202,105,283,211,768,11936,23
Ohsumed,validation,275,0.5,0.8,160,98,290,205,768,11216,23
Ohsumed,test,4004,0.5,0.8,237,126,354,259,768,18324,23
Ohsumed,test,149,0.5,0.8,198,103,334,243,768,16049,23
Ohsumed,test,2025,0.5,0.8,136,80,188,141,768,4778,23
Ohsumed,test,2505,0.5,0.8,161,89,282,200,768,10708,23
Ohsumed,test,3203,0.5,0.8,208,109,310,220,768,12786,23
R8,train,3809,0.5,0.8,18,13,37,19,768,128,8
R8,train,149,0.5,0.8,38,32,51,31,768,243,8
R8,train,3123,0.5,0.8,37,21,74,35,768,399,8
R8,train,3367,0.5,0.8,102,39,136,82,768,1646,8
R8,train,3196,0.5,0.8,95,66,135,80,768,1611,8
R8,validation,628,0.5,0.8,57,41,82,54,768,648,8
R8,validation,631,0.5,0.8,39,35,58,39,768,347,8
R8,validation,741,0.5,0.8,47,31,64,35,768,307,8
R8,validation,514,0.5,0.8,187,119,255,143,768,4974,8
R8,validation,365,0.5,0.8,88,51,170,84,768,2107,8
R8,test,1593,0.5,0.8,86,56,116,65,768,1056,8
R8,test,526,0.5,0.8,38,21,84,38,768,467,8
R8,test,393,0.5,0.8,329,168,412,240,768,14979,8
R8,test,1403,0.5,0.8,79,55,116,65,768,1070,8
R8,test,433,0.5,0.8,76,57,89,58,768,859,8
Ohsumed,train,655,0.5,0.9,306,155,480,320,768,14679,23
Ohsumed,train,862,0.5,0.9,175,83,276,175,768,4576,23
Ohsumed,train,365,0.5,0.9,176,106,220,155,768,3536,23
Ohsumed,train,2423,0.5,0.9,174,90,264,201,768,5631,23
Ohsumed,train,1514,0.5,0.9,270,138,392,259,768,10189,23
Ohsumed,validation,361,0.5,0.9,160,90,253,171,768,3813,23
Ohsumed,validation,158,0.5,0.9,68,54,105,80,768,869,23
Ohsumed,validation,481,0.5,0.9,185,95,293,204,768,6426,23
Ohsumed,validation,639,0.5,0.9,202,105,283,211,768,5956,23
Ohsumed,validation,275,0.5,0.9,160,98,290,205,768,5735,23
Ohsumed,test,4004,0.5,0.9,237,126,354,259,768,9776,23
Ohsumed,test,149,0.5,0.9,198,103,334,243,768,8284,23
Ohsumed,test,2025,0.5,0.9,136,80,188,141,768,2613,23
Ohsumed,test,2505,0.5,0.9,161,89,282,200,768,5818,23
Ohsumed,test,3203,0.5,0.9,208,109,310,220,768,6728,23
R8,train,3809,0.5,0.9,18,13,37,19,768,91,8
R8,train,149,0.5,0.9,38,32,51,31,768,162,8
R8,train,3123,0.5,0.9,37,21,74,35,768,259,8
R8,train,3367,0.5,0.9,102,39,136,82,768,933,8
R8,train,3196,0.5,0.9,95,66,135,80,768,908,8
R8,validation,628,0.5,0.9,57,41,82,54,768,407,8
R8,validation,631,0.5,0.9,39,35,58,39,768,219,8
R8,validation,741,0.5,0.9,47,31,64,35,768,202,8
R8,validation,514,0.5,0.9,187,119,255,143,768,2625,8
R8,validation,365,0.5,0.9,88,51,170,84,768,1209,8
