dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
Ohsumed,train,655,2,306,155,480,185,768,515,1
Ohsumed,train,862,2,175,83,276,110,768,301,1
Ohsumed,train,365,2,176,106,220,131,768,329,1
Ohsumed,train,2423,2,174,90,264,118,768,311,1
Ohsumed,train,1514,2,270,138,392,185,768,489,1
Ohsumed,validation,361,2,160,90,253,121,768,310,1
Ohsumed,validation,158,2,68,54,105,76,768,172,1
Ohsumed,validation,481,2,185,95,293,132,768,357,1
Ohsumed,validation,639,2,202,105,283,134,768,351,1
Ohsumed,validation,275,2,160,98,290,138,768,351,1
Ohsumed,test,4004,2,237,126,354,165,768,443,1
Ohsumed,test,149,2,198,103,334,149,768,383,1
Ohsumed,test,2025,2,136,80,188,100,768,251,1
Ohsumed,test,2505,2,161,89,282,119,768,308,1
Ohsumed,test,3203,2,208,109,310,143,768,373,1
R8,train,3809,2,18,13,37,22,768,52,1
R8,train,149,2,38,32,51,38,768,86,1
R8,train,3123,2,37,21,74,35,768,89,1
R8,train,3367,2,102,39,136,53,768,139,1
R8,train,3196,2,95,66,135,82,768,201,1
R8,validation,628,2,57,41,82,56,768,129,1
R8,validation,631,2,39,35,58,48,768,101,1
R8,validation,741,2,47,31,64,37,768,89,1
R8,validation,514,2,187,119,255,141,768,367,1
R8,validation,365,2,88,51,170,73,768,189,1
R8,test,1593,2,86,56,116,64,768,162,1
R8,test,526,2,38,21,84,37,768,99,1
R8,test,393,2,329,168,412,186,768,520,1
R8,test,1403,2,79,55,116,71,768,168,1
R8,test,433,2,76,57,89,63,768,142,1
Ohsumed,train,655,3,306,155,480,185,768,843,1
Ohsumed,train,862,3,175,83,276,110,768,490,1
Ohsumed,train,365,3,176,106,220,131,768,525,1
Ohsumed,train,2423,3,174,90,264,118,768,502,1
Ohsumed,train,1514,3,270,138,392,185,768,789,1
Ohsumed,validation,361,3,160,90,253,121,768,493,1
Ohsumed,validation,158,3,68,54,105,76,768,268,1
Ohsumed,validation,481,3,185,95,293,132,768,580,1
Ohsumed,validation,639,3,202,105,283,134,768,564,1
Ohsumed,validation,275,3,160,98,290,138,768,564,1
Ohsumed,test,4004,3,237,126,354,165,768,717,1
Ohsumed,test,149,3,198,103,334,149,768,611,1
Ohsumed,test,2025,3,136,80,188,100,768,398,1
Ohsumed,test,2505,3,161,89,282,119,768,495,1
Ohsumed,test,3203,3,208,109,310,143,768,601,1
R8,train,3809,3,18,13,37,22,768,82,1
R8,train,149,3,38,32,51,38,768,132,1
R8,train,3123,3,37,21,74,35,768,139,1
R8,train,3367,3,102,39,136,53,768,223,1
R8,train,3196,3,95,66,135,82,768,318,1
R8,validation,628,3,57,41,82,56,768,202,1
R8,validation,631,3,39,35,58,48,768,152,1
R8,validation,741,3,47,31,64,37,768,141,1
R8,validation,514,3,187,119,255,141,768,585,1
R8,validation,365,3,88,51,170,73,768,299,1
R8,test,1593,3,86,56,116,64,768,258,1
R8,test,526,3,38,21,84,37,768,157,1
R8,test,393,3,329,168,412,186,768,854,1
R8,test,1403,3,79,55,116,71,768,263,1
R8,test,433,3,76,57,89,63,768,221,1
Ohsumed,train,655,4,306,155,480,185,768,1181,1
Ohsumed,train,862,4,175,83,276,110,768,695,1
Ohsumed,train,365,4,176,106,220,131,768,724,1
Ohsumed,train,2423,4,174,90,264,118,768,704,1
Ohsumed,train,1514,4,270,138,392,185,768,1105,1
Ohsumed,validation,361,4,160,90,253,121,768,687,1
Ohsumed,validation,158,4,68,54,105,76,768,364,1
Ohsumed,validation,481,4,185,95,293,132,768,810,1
Ohsumed,validation,639,4,202,105,283,134,768,794,1
Ohsumed,validation,275,4,160,98,290,138,768,785,1
