dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.8,0.95,792,427,1019,361,768,2479,2
IMDb-1k,train,73,0.8,0.95,788,362,1052,348,768,2354,2
IMDb-1k,train,374,0.8,0.95,805,419,1042,372,768,2465,2
IMDb-1k,train,155,0.8,0.95,787,336,1017,360,768,2352,2
IMDb-1k,train,104,0.8,0.95,948,490,1352,443,768,2928,2
IMDb-1k,train,394,0.8,0.95,940,478,1368,414,768,2846,2
IMDb-1k,train,377,0.8,0.95,1141,567,1569,491,768,3402,2
IMDb-1k,train,124,0.8,0.95,973,428,1325,430,768,2964,2
IMDb-1k,train,68,0.8,0.95,934,428,1228,381,768,2781,2
IMDb-1k,train,450,0.8,0.95,1294,571,1713,530,768,3767,2
IMDb-1k,train,9,0.8,0.95,875,430,1141,371,768,2570,2
IMDb-1k,train,194,0.8,0.95,938,517,1320,393,768,2743,2
IMDb-1k,train,406,0.8,0.95,935,363,1204,351,768,2450,2
IMDb-1k,train,84,0.8,0.95,779,308,987,370,768,2404,2
IMDb-1k,train,371,0.8,0.95,768,399,1058,320,768,2118,2
IMDb-1k,train,388,0.8,0.95,1645,603,2166,678,768,4740,2
IMDb-1k,train,495,0.8,0.95,860,394,1141,345,768,2279,2
IMDb-1k,train,30,0.8,0.95,787,386,1003,331,768,2165,2
IMDb-1k,train,316,0.8,0.95,930,429,1309,431,768,2783,2
IMDb-1k,train,408,0.8,0.95,937,504,1293,414,768,2817,2
IMDb-1k,train,490,0.8,0.95,918,426,1251,421,768,2909,2
IMDb-1k,train,491,0.8,0.95,948,524,1223,396,768,2912,2
IMDb-1k,train,280,0.8,0.95,850,422,1121,336,768,2385,2
IMDb-1k,train,356,0.8,0.95,885,400,1112,346,768,2434,2
IMDb-1k,train,76,0.8,0.95,792,418,1034,324,768,2187,2
IMDb-1k,train,461,0.8,0.95,901,414,1189,346,768,2359,2
IMDb-1k,train,497,0.8,0.95,896,476,1290,362,768,2473,2
IMDb-1k,train,211,0.8,0.95,976,462,1311,435,768,3034,2
IMDb-1k,train,101,0.8,0.95,762,405,1067,342,768,2230,2
IMDb-1k,train,334,0.8,0.95,976,486,1402,432,768,2990,2
IMDb-1k,train,475,0.8,0.95,804,418,1064,347,768,2323,2
IMDb-1k,train,336,0.8,0.95,883,376,1109,384,768,2638,2
IMDb-1k,train,440,0.8,0.95,845,420,1147,335,768,2351,2
IMDb-1k,train,173,0.8,0.95,949,429,1203,384,768,2740,2
IMDb-1k,train,2,0.8,0.95,857,444,1105,340,768,2352,2
IMDb-1k,train,333,0.8,0.95,908,419,1268,363,768,2629,2
IMDb-1k,train,409,0.8,0.95,952,508,1251,368,768,2655,2
IMDb-1k,train,70,0.8,0.95,1541,649,2123,658,768,4433,2
IMDb-1k,train,209,0.8,0.95,892,430,1165,349,768,2414,2
IMDb-1k,train,63,0.8,0.95,953,507,1356,457,768,3097,2
IMDb-1k,train,384,0.8,0.95,827,382,1071,351,768,2366,2
IMDb-1k,train,93,0.8,0.95,960,445,1247,388,768,2784,2
IMDb-1k,train,485,0.8,0.95,790,401,986,325,768,2273,2
IMDb-1k,train,185,0.8,0.95,911,491,1143,372,768,2640,2
IMDb-1k,train,33,0.8,0.95,947,445,1263,396,768,2796,2
IMDb-1k,train,77,0.8,0.95,803,383,1089,342,768,2352,2
IMDb-1k,train,0,0.8,0.95,852,408,1050,325,768,2286,2
IMDb-1k,train,11,0.8,0.95,948,368,1293,418,768,2784,2
IMDb-1k,train,415,0.8,0.95,944,426,1195,396,768,2839,2
IMDb-1k,train,22,0.8,0.95,851,410,1147,349,768,2417,2
IMDb-1k,train,72,0.8,0.95,783,392,1072,350,768,2326,2
IMDb-1k,train,182,0.8,0.95,764,310,928,336,768,2320,2
IMDb-1k,train,131,0.8,0.95,1028,521,1360,420,768,2943,2
IMDb-1k,train,410,0.8,0.95,835,417,1145,349,768,2239,2
IMDb-1k,train,193,0.8,0.95,876,459,1176,341,768,2375,2
IMDb-1k,train,55,0.8,0.95,965,463,1415,423,768,2777,2
IMDb-1k,train,148,0.8,0.95,921,449,1303,389,768,2671,2
IMDb-1k,train,18,0.8,0.95,796,394,1118,335,768,2326,2
IMDb-1k,train,204,0.8,0.95,977,509,1288,435,768,3011,2
IMDb-1k,train,78,0.8,0.95,931,411,1226,365,768,2508,2
IMDb-1k,train,494,0.8,0.95,816,382,1091,343,768,2265,2
IMDb-1k,train,262,0.8,0.95,910,390,1090,327,768,2311,2
IMDb-1k,train,323,0.8,0.95,935,439,1241,387,768,2696,2
IMDb-1k,train,483,0.8,0.95,1161,426,1433,492,768,3336,2
IMDb-1k,train,79,0.8,0.95,884,427,1152,331,768,2419,2
IMDb-1k,train,39,0.8,0.95,753,472,1048,332,768,2240,2
IMDb-1k,train,451,0.8,0.95,891,375,1115,351,768,2422,2
IMDb-1k,train,46,0.8,0.95,806,432,1084,338,768,2357,2
IMDb-1k,train,238,0.8,0.95,1464,632,1974,588,768,4183,2
IMDb-1k,train,391,0.8,0.95,766,399,1083,310,768,2070,2
IMDb-1k,train,352,0.8,0.95,953,475,1279,439,768,3025,2
