dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,3,792,427,1019,505,768,2295,1
IMDb-1k,train,73,3,788,362,1052,420,768,2154,1
IMDb-1k,train,374,3,805,419,1042,475,768,2307,1
IMDb-1k,train,155,3,787,336,1017,374,768,2028,1
IMDb-1k,train,104,3,948,490,1352,576,768,2774,1
IMDb-1k,train,394,3,940,478,1368,559,768,2773,1
IMDb-1k,train,377,3,1141,567,1569,670,768,3364,1
IMDb-1k,train,124,3,973,428,1325,506,768,2644,1
IMDb-1k,train,68,3,934,428,1228,475,768,2503,1
IMDb-1k,train,450,3,1294,571,1713,638,768,3406,1
IMDb-1k,train,9,3,875,430,1141,493,768,2511,1
IMDb-1k,train,194,3,938,517,1320,594,768,2808,1
IMDb-1k,train,406,3,935,363,1204,399,768,2201,1
IMDb-1k,train,84,3,779,308,987,345,768,1949,1
IMDb-1k,train,371,3,768,399,1058,440,768,2202,1
IMDb-1k,train,388,3,1645,603,2166,665,768,3881,1
IMDb-1k,train,495,3,860,394,1141,430,768,2236,1
IMDb-1k,train,30,3,787,386,1003,425,768,2145,1
IMDb-1k,train,316,3,930,429,1309,470,768,2594,1
IMDb-1k,train,408,3,937,504,1293,601,768,2823,1
IMDb-1k,train,490,3,918,426,1251,484,768,2564,1
IMDb-1k,train,491,3,948,524,1223,606,768,2752,1
IMDb-1k,train,280,3,850,422,1121,485,768,2365,1
IMDb-1k,train,356,3,885,400,1112,456,768,2352,1
IMDb-1k,train,76,3,792,418,1034,475,768,2313,1
IMDb-1k,train,461,3,901,414,1189,464,768,2442,1
IMDb-1k,train,497,3,896,476,1290,552,768,2694,1
IMDb-1k,train,211,3,976,462,1311,522,768,2674,1
IMDb-1k,train,101,3,762,405,1067,463,768,2287,1
IMDb-1k,train,334,3,976,486,1402,590,768,2850,1
IMDb-1k,train,475,3,804,418,1064,475,768,2287,1
IMDb-1k,train,336,3,883,376,1109,420,768,2272,1
IMDb-1k,train,440,3,845,420,1147,494,768,2416,1
IMDb-1k,train,173,3,949,429,1203,478,768,2492,1
IMDb-1k,train,2,3,857,444,1105,519,768,2439,1
IMDb-1k,train,333,3,908,419,1268,483,768,2515,1
IMDb-1k,train,409,3,952,508,1251,580,768,2782,1
IMDb-1k,train,70,3,1541,649,2123,733,768,4029,1
IMDb-1k,train,209,3,892,430,1165,471,768,2395,1
IMDb-1k,train,63,3,953,507,1356,612,768,2934,1
IMDb-1k,train,384,3,827,382,1071,422,768,2220,1
IMDb-1k,train,93,3,960,445,1247,496,768,2540,1
IMDb-1k,train,485,3,790,401,986,457,768,2225,1
IMDb-1k,train,185,3,911,491,1143,554,768,2658,1
IMDb-1k,train,33,3,947,445,1263,499,768,2581,1
IMDb-1k,train,77,3,803,383,1089,457,768,2227,1
IMDb-1k,train,0,3,852,408,1050,448,768,2324,1
IMDb-1k,train,11,3,948,368,1293,403,768,2433,1
IMDb-1k,train,415,3,944,426,1195,480,768,2400,1
IMDb-1k,train,22,3,851,410,1147,471,768,2407,1
IMDb-1k,train,72,3,783,392,1072,445,768,2221,1
IMDb-1k,train,182,3,764,310,928,337,768,1811,1
IMDb-1k,train,131,3,1028,521,1360,585,768,2905,1
IMDb-1k,train,410,3,835,417,1145,470,768,2388,1
IMDb-1k,train,193,3,876,459,1176,538,768,2578,1
IMDb-1k,train,55,3,965,463,1415,550,768,2892,1
IMDb-1k,train,148,3,921,449,1303,515,768,2651,1
IMDb-1k,train,18,3,796,394,1118,469,768,2339,1
IMDb-1k,train,204,3,977,509,1288,574,768,2814,1
IMDb-1k,train,78,3,931,411,1226,462,768,2460,1
IMDb-1k,train,494,3,816,382,1091,436,768,2272,1
IMDb-1k,train,262,3,910,390,1090,423,768,2193,1
IMDb-1k,train,323,3,935,439,1241,493,768,2557,1
IMDb-1k,train,483,3,1161,426,1433,459,768,2683,1
IMDb-1k,train,79,3,884,427,1152,476,768,2422,1
IMDb-1k,train,39,3,753,472,1048,571,768,2455,1
IMDb-1k,train,451,3,891,375,1115,411,768,2277,1
IMDb-1k,train,46,3,806,432,1084,500,768,2362,1
IMDb-1k,train,238,3,1464,632,1974,720,768,3948,1
IMDb-1k,train,391,3,766,399,1083,459,768,2299,1
IMDb-1k,train,352,3,953,475,1279,544,768,2686,1
IMDb-1k,train,341,3,802,393,1081,446,768,2314,1
IMDb-1k,train,277,3,791,338,1033,372,768,1968,1
IMDb-1k,train,290,3,948,507,1303,573,768,2785,1
IMDb-1k,train,317,3,899,442,1244,518,768,2578,1
IMDb-1k,train,304,3,914,446,1193,516,768,2542,1
IMDb-1k,train,268,3,816,428,1082,496,768,2344,1
IMDb-1k,train,69,3,734,369,944,418,768,2048,1
IMDb-1k,train,455,3,950,459,1217,502,768,2566,1
IMDb-1k,train,465,3,764,453,1092,535,768,2455,1
IMDb-1k,train,154,3,977,431,1291,480,768,2530,1
IMDb-1k,train,82,3,877,450,1186,528,768,2582,1
IMDb-1k,train,477,3,788,354,1023,406,768,2070,1
IMDb-1k,train,172,3,766,353,953,386,768,1974,1
