SLURM NODE: kn043
[I 2026-02-16 06:29:12,699] A new study created in RDB with name: R8-Fine-tuning-Truncated
[I 2026-02-16 06:53:19,688] Trial 0 finished with value: 0.9555972257120628 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 07:20:00,182] Trial 1 finished with value: 0.9528564447194598 and parameters: {'batch_size': 16, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 07:41:40,742] Trial 2 finished with value: 0.955287244302198 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 08:04:00,232] Trial 3 finished with value: 0.9361141408108934 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 08:22:13,880] Trial 4 finished with value: 0.9214255196015158 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 08:43:03,215] Trial 5 finished with value: 0.9452710822570798 and parameters: {'batch_size': 32, 'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 09:03:26,609] Trial 6 finished with value: 0.9428158246597538 and parameters: {'batch_size': 32, 'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 09:21:38,404] Trial 7 finished with value: 0.9214255196015158 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 09:41:43,147] Trial 8 finished with value: 0.94182493514738 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 10:05:14,622] Trial 9 finished with value: 0.9462294742603863 and parameters: {'batch_size': 64, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05}. Best is trial 0 with value: 0.9555972257120628.
[I 2026-02-16 10:29:32,677] Trial 10 finished with value: 0.9451690365768942 and parameters: {'batch_size': 16, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9555972257120628.
