SLURM NODE: kn055
[I 2026-02-23 04:49:56,738] A new study created in RDB with name: R8-Sliding_windows
[I 2026-02-23 05:35:52,102] Trial 0 finished with value: 0.9452810215281796 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9452810215281796.
[I 2026-02-23 06:17:07,133] Trial 1 finished with value: 0.9456555054173026 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9456555054173026.
[I 2026-02-23 07:22:32,725] Trial 2 finished with value: 0.9542292111763455 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 08:10:15,665] Trial 3 finished with value: 0.9483258138220203 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 08:47:13,783] Trial 4 finished with value: 0.9435571831916176 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 09:38:12,588] Trial 5 finished with value: 0.944529746737682 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 10:34:26,176] Trial 6 finished with value: 0.9460024692835706 and parameters: {'batch_size': 16, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 11:24:47,747] Trial 7 finished with value: 0.9531627949271944 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 12:19:00,301] Trial 8 finished with value: 0.9482375957997853 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 13:13:17,177] Trial 9 finished with value: 0.9463547611499799 and parameters: {'batch_size': 32, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 13:50:08,465] Trial 10 finished with value: 0.9470656479019655 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 14:46:47,663] Trial 11 finished with value: 0.94874802950959 and parameters: {'batch_size': 16, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 16:33:19,897] Trial 12 finished with value: 0.9457800953142377 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 17:11:41,463] Trial 13 finished with value: 0.9440259575589081 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05}. Best is trial 2 with value: 0.9542292111763455.
[I 2026-02-23 18:14:41,689] Trial 14 finished with value: 0.9542874903042974 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 14 with value: 0.9542874903042974.
[I 2026-02-23 19:37:41,010] Trial 15 finished with value: 0.9388907742109555 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 14 with value: 0.9542874903042974.
[I 2026-02-23 20:19:46,614] Trial 16 finished with value: 0.956951980542857 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-23 21:14:26,365] Trial 17 finished with value: 0.947132267570937 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 00:13:23,791] Trial 18 finished with value: 0.9444230049696867 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 00:57:25,009] Trial 19 finished with value: 0.952528115651906 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 01:44:53,208] Trial 20 finished with value: 0.9512437568833446 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 02:39:09,087] Trial 21 finished with value: 0.9518711016046548 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 04:07:55,984] Trial 22 finished with value: 0.9395004681999177 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 16 with value: 0.956951980542857.
[I 2026-02-24 04:57:58,285] Trial 23 finished with value: 0.9587732201463286 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 06:27:46,717] Trial 24 finished with value: 0.9446004121237288 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 07:17:34,781] Trial 25 finished with value: 0.9481915984705013 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 08:33:02,132] Trial 26 finished with value: 0.9490025255754317 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 09:58:12,342] Trial 27 finished with value: 0.9416214715732918 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 12:00:19,686] Trial 28 finished with value: 0.9389754239923674 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 14:06:27,231] Trial 29 finished with value: 0.9459459439593048 and parameters: {'batch_size': 32, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 15:34:26,688] Trial 30 finished with value: 0.9324610605213588 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 16:55:48,670] Trial 31 finished with value: 0.94874802950959 and parameters: {'batch_size': 16, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 18:02:43,849] Trial 32 finished with value: 0.9514671402696464 and parameters: {'batch_size': 32, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 19:07:07,564] Trial 33 finished with value: 0.9452735064421036 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 20:01:06,020] Trial 34 finished with value: 0.947168565195706 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 20:38:52,393] Trial 35 finished with value: 0.9619156391880381 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
