SLURM NODE: kn073
[I 2026-02-23 04:49:11,777] A new study created in RDB with name: SST-2-Sliding_windows
[I 2026-02-23 07:07:13,016] Trial 0 finished with value: 0.9036697247706422 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9036697247706422.
[I 2026-02-23 08:54:36,086] Trial 1 finished with value: 0.9128440366972477 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9128440366972477.
[I 2026-02-23 11:45:55,341] Trial 2 finished with value: 0.9002293577981652 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 1 with value: 0.9128440366972477.
[I 2026-02-23 14:04:07,347] Trial 3 finished with value: 0.9071100917431193 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 1 with value: 0.9128440366972477.
[I 2026-02-23 15:56:02,381] Trial 4 finished with value: 0.9128440366972477 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 1 with value: 0.9128440366972477.
[I 2026-02-23 17:55:15,027] Trial 5 finished with value: 0.9139908256880734 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-23 20:44:35,365] Trial 6 finished with value: 0.8979357798165137 and parameters: {'batch_size': 16, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-23 22:42:51,355] Trial 7 finished with value: 0.9139908256880734 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 01:30:57,019] Trial 8 finished with value: 0.9002293577981652 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 03:48:25,389] Trial 9 finished with value: 0.908256880733945 and parameters: {'batch_size': 32, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 05:41:59,562] Trial 10 finished with value: 0.911697247706422 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
