SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-05 10:51:05,822] Trial 0 finished with value: 0.9254 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 0 with value: 0.9254.
[I 2026-02-05 11:07:49,918] Trial 1 finished with value: 0.9308 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 11:28:36,690] Trial 2 finished with value: 0.9122 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 11:44:53,907] Trial 3 finished with value: 0.9134 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 12:05:15,567] Trial 4 finished with value: 0.915 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 12:19:14,809] Trial 5 finished with value: 0.9154 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 12:33:53,549] Trial 6 finished with value: 0.928 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 12:51:33,207] Trial 7 finished with value: 0.9222 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 13:07:10,667] Trial 8 finished with value: 0.9008 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 13:21:29,916] Trial 9 finished with value: 0.9266 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 13:41:29,910] Trial 10 finished with value: 0.9162 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 13:55:47,035] Trial 11 finished with value: 0.8962 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 14:13:26,831] Trial 12 finished with value: 0.9224 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 14:34:16,671] Trial 13 finished with value: 0.9218 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
