SLURM NODE: kn060
[I 2026-02-05 06:46:48,723] A new study created in RDB with name: Ohsumed-Fine-tuning
[I 2026-02-05 06:54:53,083] Trial 0 finished with value: 0.6495589902205342 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 0 with value: 0.6495589902205342.
[I 2026-02-05 07:03:16,952] Trial 1 finished with value: 0.6113456940688943 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 0 with value: 0.6495589902205342.
[I 2026-02-05 07:10:40,322] Trial 2 finished with value: 0.5895780415598558 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 0 with value: 0.6495589902205342.
[I 2026-02-05 07:18:41,871] Trial 3 finished with value: 0.655371376158265 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 07:25:54,393] Trial 4 finished with value: 0.6064445191661224 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 07:33:48,167] Trial 5 finished with value: 0.5703175621180174 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 07:42:08,083] Trial 6 finished with value: 0.5862933029114744 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 07:49:48,822] Trial 7 finished with value: 0.42924171366840386 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 07:57:27,319] Trial 8 finished with value: 0.6470428912018289 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:05:28,928] Trial 9 finished with value: 0.5980485346398224 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:13:16,977] Trial 10 finished with value: 0.6210109928921074 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:21:24,861] Trial 11 finished with value: 0.5982907365932955 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:29:06,160] Trial 12 finished with value: 0.4429428341063042 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:36:30,351] Trial 13 finished with value: 0.6125051912506855 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:44:49,813] Trial 14 finished with value: 0.4874846610607769 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 08:53:01,469] Trial 15 finished with value: 0.4884868224334106 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:01:05,994] Trial 16 finished with value: 0.6356349956041115 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:08:55,437] Trial 17 finished with value: 0.6496926190711806 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:16:33,929] Trial 18 finished with value: 0.6532643847601396 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:24:48,355] Trial 19 finished with value: 0.6040115092648126 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:32:33,259] Trial 20 finished with value: 0.4457219863017314 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:40:49,527] Trial 21 finished with value: 0.6163622474358114 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:49:01,190] Trial 22 finished with value: 0.4851634698746477 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 09:57:23,496] Trial 23 finished with value: 0.5845921939983554 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 3 with value: 0.655371376158265.
[I 2026-02-05 10:05:28,420] Trial 24 finished with value: 0.6644640489785492 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:05:28,847] Trial 25 pruned. Duplicate hyper-parameters, same as those used in trial 10: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}.
[I 2026-02-05 10:13:08,320] Trial 26 finished with value: 0.6273952978292844 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:21:34,683] Trial 27 finished with value: 0.5904275685681869 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:29:53,747] Trial 28 finished with value: 0.6443218194813537 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:38:14,521] Trial 29 finished with value: 0.6358195298918575 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:46:28,384] Trial 30 finished with value: 0.5039004376256021 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 10:54:25,836] Trial 31 finished with value: 0.5773389592417405 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:02:42,901] Trial 32 finished with value: 0.6095678256727544 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:11:01,159] Trial 33 finished with value: 0.6618636459931294 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:18:45,106] Trial 34 finished with value: 0.5714162000444656 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:26:59,047] Trial 35 finished with value: 0.592091723829345 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:33:49,627] Trial 36 finished with value: 0.6248059446480304 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:41:26,620] Trial 37 finished with value: 0.6453360134375897 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:49:12,194] Trial 38 finished with value: 0.5417653419357056 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 11:57:26,968] Trial 39 finished with value: 0.5920368125547137 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:05:18,281] Trial 40 finished with value: 0.652879939355893 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:13:25,000] Trial 41 finished with value: 0.6474912691714437 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:21:16,230] Trial 42 finished with value: 0.6476776209924217 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:29:15,466] Trial 43 finished with value: 0.5652034485412124 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:37:24,840] Trial 44 finished with value: 0.6235647300906281 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:45:45,497] Trial 45 finished with value: 0.6328171733919847 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 12:53:58,407] Trial 46 finished with value: 0.4884868224334106 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:02:06,804] Trial 47 finished with value: 0.6235647300906281 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:10:35,018] Trial 48 finished with value: 0.5947704339637815 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:18:12,433] Trial 49 finished with value: 0.5944812641919125 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:25:39,905] Trial 50 finished with value: 0.6125051912506855 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:33:36,259] Trial 51 finished with value: 0.5855933168898333 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:40:01,587] Trial 52 finished with value: 0.6000065015438495 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:48:00,587] Trial 53 finished with value: 0.45047209036819175 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 13:56:21,309] Trial 54 finished with value: 0.6345364098236204 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:04:40,769] Trial 55 finished with value: 0.6328171733919847 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:12:24,179] Trial 56 finished with value: 0.545150725933603 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:19:51,738] Trial 57 finished with value: 0.5895780415598558 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:27:51,030] Trial 58 finished with value: 0.5479207421387552 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:35:53,311] Trial 59 finished with value: 0.6347004031924913 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:44:11,273] Trial 60 finished with value: 0.6291799658867702 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 14:51:49,597] Trial 61 finished with value: 0.6532643847601396 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:00:12,447] Trial 62 finished with value: 0.6113456940688943 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:08:11,340] Trial 63 finished with value: 0.5471602487578151 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:15:52,803] Trial 64 finished with value: 0.5797633887108841 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:24:17,914] Trial 65 finished with value: 0.5904275685681869 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:31:06,845] Trial 66 finished with value: 0.606956888896704 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 24 with value: 0.6644640489785492.
[I 2026-02-05 15:38:54,805] Trial 67 finished with value: 0.6312665212097732 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 24 with value: 0.6644640489785492.
