SLURM NODE: kn058
[I 2026-02-12 05:41:54,504] A new study created in RDB with name: R8-Fine-tuning
[I 2026-02-12 06:06:20,879] Trial 0 finished with value: 0.9448486780296099 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 0 with value: 0.9448486780296099.
[I 2026-02-12 06:29:54,393] Trial 1 finished with value: 0.9135508216601953 and parameters: {'batch_size': 16, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9448486780296099.
[I 2026-02-12 06:51:45,271] Trial 2 finished with value: 0.9233746565486969 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9448486780296099.
[I 2026-02-12 07:10:01,178] Trial 3 finished with value: 0.9317330385118411 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9448486780296099.
[I 2026-02-12 07:32:59,151] Trial 4 finished with value: 0.9541186023841997 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 07:54:15,433] Trial 5 finished with value: 0.9443968998704897 and parameters: {'batch_size': 32, 'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 08:12:16,881] Trial 6 finished with value: 0.9227852309721125 and parameters: {'batch_size': 32, 'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 08:35:15,217] Trial 7 finished with value: 0.9541186023841997 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 08:58:00,249] Trial 8 finished with value: 0.9443988442209437 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 09:21:58,320] Trial 9 finished with value: 0.9442388455429072 and parameters: {'batch_size': 64, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 09:43:15,902] Trial 10 finished with value: 0.9491314921946474 and parameters: {'batch_size': 16, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 10:06:10,580] Trial 11 finished with value: 0.9326349334120193 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 10:27:02,959] Trial 12 finished with value: 0.9371284874805463 and parameters: {'batch_size': 32, 'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 10:50:40,169] Trial 13 finished with value: 0.9441542381335614 and parameters: {'batch_size': 32, 'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.9541186023841997.
[I 2026-02-12 11:16:54,785] Trial 14 finished with value: 0.9467470653873824 and parameters: {'batch_size': 16, 'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.9541186023841997.
