SLURM NODE: kn055
[I 2026-02-03 11:19:02,260] A new study created in RDB with name: SST-2-Fine-tuning
[I 2026-02-03 11:32:07,984] Trial 0 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-02-03 11:45:20,502] Trial 1 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-02-03 11:58:36,007] Trial 2 finished with value: 0.9036697247706422 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-02-03 12:11:30,543] Trial 3 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-02-03 12:24:24,494] Trial 4 finished with value: 0.9139908256880734 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 4 with value: 0.9139908256880734.
[I 2026-02-03 12:37:01,056] Trial 5 finished with value: 0.9128440366972477 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 4 with value: 0.9139908256880734.
[I 2026-02-03 12:50:13,675] Trial 6 finished with value: 0.9025229357798165 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 4 with value: 0.9139908256880734.
[I 2026-02-03 13:02:31,911] Trial 7 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 4 with value: 0.9139908256880734.
[I 2026-02-03 13:14:48,750] Trial 8 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 4 with value: 0.9139908256880734.
[I 2026-02-03 13:27:45,644] Trial 9 finished with value: 0.9185779816513762 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 9 with value: 0.9185779816513762.
[I 2026-02-03 13:40:20,947] Trial 10 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 9 with value: 0.9185779816513762.
