SLURM NODE: kn077
[I 2026-02-12 05:41:46,283] A new study created in RDB with name: SST-2-Fine-tuning
[I 2026-02-12 06:08:28,915] Trial 0 finished with value: 0.9094036697247706 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 0 with value: 0.9094036697247706.
[I 2026-02-12 06:35:59,498] Trial 1 finished with value: 0.9185779816513762 and parameters: {'batch_size': 16, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 07:02:35,101] Trial 2 finished with value: 0.9151376146788991 and parameters: {'batch_size': 32, 'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 07:27:36,916] Trial 3 finished with value: 0.911697247706422 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 07:55:48,378] Trial 4 finished with value: 0.9071100917431193 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 08:21:25,880] Trial 5 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 08:45:50,058] Trial 6 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 09:13:15,891] Trial 7 finished with value: 0.9071100917431193 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-05}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 09:38:11,704] Trial 8 finished with value: 0.9094036697247706 and parameters: {'batch_size': 64, 'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 10:04:20,451] Trial 9 finished with value: 0.911697247706422 and parameters: {'batch_size': 64, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-05}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 10:32:58,015] Trial 10 finished with value: 0.9139908256880734 and parameters: {'batch_size': 16, 'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001}. Best is trial 1 with value: 0.9185779816513762.
[I 2026-02-12 11:00:28,168] Trial 11 finished with value: 0.9174311926605505 and parameters: {'batch_size': 16, 'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9185779816513762.
