0,1,identifier,split
0.9930381,0.0069618463,0,test
0.98929495,0.010705044,1,test
0.10865946,0.8913405,2,test
0.013956733,0.9860432,3,test
0.9902891,0.009710878,4,test
0.9882889,0.011711059,5,test
0.12002237,0.8799776,6,test
0.8890028,0.11099724,7,test
0.013014958,0.986985,8,test
0.018112535,0.98188746,9,test
0.97569174,0.024308298,10,test
0.007952848,0.9920472,11,test
0.020971172,0.9790288,12,test
0.9826372,0.017362814,13,test
0.038920045,0.96108,14,test
0.7987946,0.20120536,15,test
0.014606998,0.985393,16,test
0.6266978,0.37330222,17,test
0.018487498,0.98151255,18,test
0.97594506,0.024054896,19,test
0.98987,0.010129982,20,test
0.01436199,0.98563796,21,test
0.006312172,0.9936878,22,test
0.008836632,0.9911634,23,test
0.9767318,0.023268284,24,test
0.09849991,0.9015001,25,test
0.051272813,0.9487272,26,test
0.024233712,0.9757663,27,test
0.9927205,0.0072795264,28,test
0.95132244,0.048677586,29,test
0.061262053,0.9387379,30,test
0.98627996,0.013720029,31,test
0.7319483,0.26805162,32,test
0.027416078,0.9725839,33,test
0.01110527,0.9888947,34,test
0.035643063,0.9643569,35,test
0.019026985,0.980973,36,test
0.93000823,0.06999183,37,test
0.33709756,0.6629024,38,test
0.007981075,0.9920189,39,test
0.99143606,0.008563965,40,test
0.015315225,0.9846847,41,test
0.18078811,0.8192119,42,test
0.04670778,0.9532922,43,test
0.89809346,0.10190657,44,test
0.9766997,0.023300344,45,test
0.803532,0.19646804,46,test
0.99062085,0.009379152,47,test
0.9819589,0.018041017,48,test
0.014769109,0.9852309,49,test
0.84015155,0.15984848,50,test
0.018495552,0.9815044,51,test
0.9884848,0.011515275,52,test
0.9541608,0.045839198,53,test
0.92506695,0.07493307,54,test
0.02262613,0.97737384,55,test
0.013616058,0.986384,56,test
0.8798133,0.12018668,57,test
0.011768611,0.98823136,58,test
0.9749469,0.025053075,59,test
0.9061339,0.093866095,60,test
0.9943975,0.0056025614,61,test
0.95678145,0.043218587,62,test
0.9685597,0.03144036,63,test
0.024003243,0.97599673,64,test
0.009439361,0.9905606,65,test
0.9954371,0.0045629484,66,test
0.098093875,0.90190613,67,test
0.013395773,0.9866042,68,test
0.9947265,0.0052734637,69,test
0.9869125,0.013087553,70,test
0.8740455,0.12595445,71,test
0.8967131,0.10328691,72,test
0.9919967,0.008003282,73,test
0.39382955,0.6061705,74,test
0.014380039,0.98562,75,test
0.98439837,0.015601585,76,test
0.98392594,0.016074086,77,test
0.018441143,0.98155886,78,test
0.9865085,0.013491562,79,test
0.7612203,0.23877974,80,test
0.30114913,0.6988509,81,test
0.71582913,0.2841709,82,test
0.047341134,0.95265883,83,test
0.992823,0.007176963,84,test
0.8904565,0.10954343,85,test
0.16079259,0.8392074,86,test
0.8851343,0.114865735,87,test
0.0084008705,0.9915991,88,test
0.049635597,0.9503644,89,test
0.6309033,0.3690967,90,test
0.007903941,0.99209607,91,test
0.8627287,0.13727134,92,test
0.994574,0.005425983,93,test
0.98782337,0.012176644,94,test
0.021959301,0.9780407,95,test
0.9668414,0.033158556,96,test
0.9839676,0.016032388,97,test
0.9731654,0.026834533,98,test
0.015024993,0.98497504,99,test
0.15564479,0.84435517,100,test
0.013642353,0.9863577,101,test
0.023280527,0.9767195,102,test
0.98420006,0.015799947,103,test
0.9876345,0.012365469,104,test
0.77720743,0.22279258,105,test
0.9842004,0.015799621,106,test
0.77320135,0.22679864,107,test
0.54000837,0.45999163,108,test
0.009022854,0.99097717,109,test
0.989106,0.010893944,110,test
0.013706079,0.9862939,111,test
0.011804986,0.98819506,112,test
0.24419917,0.75580084,113,test
0.98900455,0.010995491,114,test
0.0072029824,0.9927971,115,test
0.2807624,0.71923757,116,test
0.07827269,0.9217273,117,test
0.027292183,0.9727078,118,test
0.011006592,0.98899335,119,test
0.99116325,0.008836812,120,test
0.03496383,0.9650362,121,test
0.009736573,0.99026346,122,test
0.026310593,0.97368944,123,test
0.014198773,0.9858013,124,test
0.9887101,0.011289922,125,test
0.88610876,0.11389122,126,test
0.014248535,0.98575145,127,test
0.9869474,0.013052584,128,test
0.02846919,0.9715308,129,test
0.46708497,0.53291506,130,test
0.9898246,0.01017542,131,test
0.020050755,0.9799493,132,test
0.036716674,0.9632833,133,test
0.013539484,0.98646057,134,test
0.81812155,0.18187843,135,test
0.99195564,0.008044279,136,test
0.9316084,0.06839161,137,test
0.9819441,0.01805587,138,test
0.043118514,0.9568815,139,test
0.01788899,0.98211104,140,test
0.9892314,0.01076856,141,test
0.57193315,0.42806685,142,test
0.9908297,0.009170259,143,test
0.009036101,0.9909638,144,test
0.9916797,0.0083202785,145,test
0.9262538,0.07374622,146,test
0.97324365,0.026756294,147,test
0.015629463,0.9843705,148,test
0.010620907,0.9893791,149,test
0.061212108,0.93878794,150,test
0.08622206,0.913778,151,test
0.9876929,0.012307173,152,test
0.96104443,0.03895561,153,test
0.009314162,0.9906859,154,test
0.009883159,0.9901168,155,test
0.35460335,0.64539665,156,test
0.9646618,0.035338208,157,test
0.2246508,0.77534914,158,test
0.5306644,0.46933565,159,test
0.9973838,0.0026161675,160,test
0.020522809,0.97947717,161,test
0.98913646,0.010863555,162,test
0.68711334,0.31288671,163,test
0.8449838,0.15501623,164,test
0.07256562,0.9274344,165,test
0.99025434,0.009745677,166,test
0.98642355,0.013576447,167,test
0.024332603,0.9756674,168,test
0.9534738,0.04652619,169,test
0.9928254,0.0071745752,170,test
0.030220414,0.9697796,171,test
0.0124849435,0.9875151,172,test
0.9856198,0.014380172,173,test
0.02989607,0.9701039,174,test
0.050341427,0.94965863,175,test
0.98398757,0.016012475,176,test
0.979178,0.02082202,177,test
0.9962281,0.0037718657,178,test
0.013413557,0.98658645,179,test
0.7969815,0.20301853,180,test
0.8544335,0.14556652,181,test
0.9884134,0.011586593,182,test
0.01603634,0.98396367,183,test
0.2308055,0.7691945,184,test
0.29222602,0.707774,185,test
0.029524831,0.9704752,186,test
0.05736323,0.94263685,187,test
0.9892861,0.010713874,188,test
0.9867778,0.013222219,189,test
0.016136928,0.983863,190,test
0.8746841,0.1253159,191,test
0.023884105,0.9761159,192,test
0.9920923,0.007907685,193,test
0.05496626,0.9450337,194,test
0.053684074,0.94631594,195,test
0.9932672,0.0067327903,196,test
0.94951594,0.050484024,197,test
0.019560188,0.98043984,198,test
0.008188653,0.9918113,199,test
0.7155574,0.2844426,200,test
0.6905568,0.30944315,201,test
0.9929818,0.0070182495,202,test
0.008300295,0.9916997,203,test
0.86489385,0.13510612,204,test
0.99073654,0.009263483,205,test
0.97963095,0.02036904,206,test
0.9817346,0.018265355,207,test
0.99599236,0.00400762,208,test
0.010890569,0.9891094,209,test
0.98188615,0.018113777,210,test
0.031222088,0.9687779,211,test
0.010803156,0.98919684,212,test
0.644177,0.35582295,213,test
0.8561845,0.14381553,214,test
0.0065889102,0.9934111,215,test
0.02515604,0.9748439,216,test
0.9606199,0.0393801,217,test
0.87756234,0.1224376,218,test
0.115276195,0.88472384,219,test
0.027036527,0.97296345,220,test
0.96668935,0.033310726,221,test
0.036092337,0.96390766,222,test
0.93622786,0.063772134,223,test
0.5431865,0.4568135,224,test
0.94376564,0.056234375,225,test
0.9942802,0.0057197204,226,test
0.9716547,0.028345289,227,test
0.01682124,0.98317873,228,test
0.96874166,0.031258404,229,test
0.07751297,0.922487,230,test
0.018932361,0.98106766,231,test
0.97978354,0.02021645,232,test
0.9803182,0.019681795,233,test
0.02632589,0.97367406,234,test
0.006265157,0.9937349,235,test
0.007103588,0.9928964,236,test
0.9950917,0.0049082716,237,test
0.005425368,0.9945746,238,test
0.99002635,0.009973687,239,test
0.020901721,0.9790983,240,test
0.87216306,0.12783697,241,test
0.011989089,0.98801094,242,test
0.477867,0.52213293,243,test
0.0068758437,0.9931242,244,test
0.067582786,0.9324172,245,test
0.98463285,0.015367181,246,test
0.98549545,0.014504611,247,test
0.28285414,0.71714586,248,test
0.09863893,0.9013611,249,test
0.068113714,0.93188626,250,test
0.21985823,0.7801418,251,test
0.035795707,0.96420425,252,test
0.7468845,0.25311545,253,test
0.88467854,0.115321435,254,test
0.007795891,0.9922042,255,test
0.012144355,0.9878556,256,test
0.99331725,0.0066827717,257,test
0.0070788786,0.9929212,258,test
0.00688116,0.9931189,259,test
0.98337317,0.016626809,260,test
0.97915834,0.02084166,261,test
0.50276774,0.49723226,262,test
0.9912854,0.008714638,263,test
0.042134374,0.95786566,264,test
0.48316148,0.51683855,265,test
0.88691175,0.11308822,266,test
0.0071253334,0.9928746,267,test
0.63966465,0.3603354,268,test
0.77407765,0.2259224,269,test
0.7410768,0.2589232,270,test
0.020304533,0.97969544,271,test
0.6532866,0.34671342,272,test
0.07369953,0.9263005,273,test
0.9250655,0.07493452,274,test
0.020120146,0.9798798,275,test
0.972763,0.02723705,276,test
0.98432344,0.015676541,277,test
0.37893397,0.621066,278,test
0.86701864,0.13298136,279,test
0.23562653,0.76437354,280,test
0.9565225,0.043477405,281,test
0.99119663,0.00880335,282,test
0.9788215,0.021178443,283,test
0.034205545,0.9657945,284,test
0.035685867,0.9643141,285,test
0.97804844,0.021951582,286,test
0.96758235,0.03241769,287,test
0.99454087,0.005459122,288,test
0.9912152,0.00878472,289,test
0.8920329,0.10796712,290,test
0.007437635,0.99256235,291,test
0.021345489,0.97865456,292,test
0.02735754,0.9726424,293,test
0.69411975,0.30588025,294,test
0.019769896,0.9802301,295,test
0.98987305,0.010126936,296,test
0.030067444,0.96993256,297,test
0.9669497,0.033050254,298,test
0.0072516534,0.9927483,299,test
0.6360845,0.3639155,300,test
0.019157438,0.9808426,301,test
0.01439798,0.9856021,302,test
0.99329376,0.006706216,303,test
0.004531362,0.9954686,304,test
0.016128695,0.98387134,305,test
0.17176516,0.8282348,306,test
0.018651463,0.9813486,307,test
0.1631981,0.83680195,308,test
0.8432494,0.1567506,309,test
0.9487138,0.051286247,310,test
0.96797,0.032030053,311,test
0.95998126,0.040018715,312,test
0.9901406,0.0098594045,313,test
0.98273647,0.017263515,314,test
0.9782849,0.021715088,315,test
0.902416,0.09758399,316,test
0.009310861,0.99068916,317,test
0.97018415,0.029815838,318,test
0.005777022,0.99422294,319,test
0.009106384,0.9908936,320,test
0.980467,0.019532993,321,test
0.034136835,0.9658632,322,test
0.07219562,0.9278044,323,test
0.9511233,0.04887666,324,test
0.24605232,0.7539477,325,test
