0,1,identifier,split
0.83827233,0.16172762,0,test
0.20006703,0.799933,1,test
0.9850581,0.014941906,2,test
0.0017215302,0.9982785,3,test
0.8646489,0.13535117,4,test
0.032329086,0.967671,5,test
0.012674314,0.98732567,6,test
0.96921825,0.0307818,7,test
0.95931804,0.04068199,8,test
0.9808584,0.019141568,9,test
0.91043997,0.08956007,10,test
0.96635544,0.03364458,11,test
0.16498274,0.8350173,12,test
0.00032129043,0.99967873,13,test
0.93560016,0.064399794,14,test
0.9598605,0.040139474,15,test
0.015944144,0.9840559,16,test
0.4396009,0.56039906,17,test
0.0013958497,0.9986041,18,test
0.9821873,0.017812781,19,test
0.6787883,0.32121167,20,test
0.43771338,0.5622866,21,test
0.24065255,0.7593475,22,test
0.0012859644,0.9987141,23,test
0.14368328,0.85631675,24,test
0.6709955,0.32900456,25,test
0.9611936,0.0388064,26,test
0.9758288,0.0241712,27,test
0.017814625,0.9821854,28,test
0.053575046,0.9464249,29,test
0.96168476,0.038315263,30,test
0.78151846,0.21848153,31,test
0.027631417,0.97236854,32,test
0.9854585,0.014541483,33,test
0.73378,0.26621994,34,test
0.903908,0.09609193,35,test
0.010000164,0.98999983,36,test
0.95150167,0.048498333,37,test
0.0020686581,0.99793136,38,test
0.9829664,0.017033592,39,test
0.48837695,0.5116231,40,test
0.0010826419,0.99891734,41,test
0.045549322,0.9544507,42,test
0.040738057,0.959262,43,test
0.008769047,0.99123096,44,test
0.63651913,0.3634809,45,test
0.21322565,0.7867744,46,test
0.31557295,0.6844271,47,test
0.024392467,0.9756075,48,test
0.0062914225,0.9937086,49,test
0.97628945,0.02371049,50,test
0.0097832475,0.99021673,51,test
0.98511684,0.014883192,52,test
0.9772654,0.022734521,53,test
0.07699516,0.92300487,54,test
0.0005570825,0.9994429,55,test
0.92190933,0.0780907,56,test
0.9522992,0.047700822,57,test
0.3500611,0.6499389,58,test
0.9775438,0.02245628,59,test
0.7961206,0.20387937,60,test
0.9754885,0.02451149,61,test
0.9685868,0.031413138,62,test
0.00046125555,0.9995388,63,test
0.34221283,0.6577872,64,test
0.04219927,0.9578007,65,test
0.3076799,0.6923201,66,test
0.017415065,0.98258495,67,test
0.9960168,0.0039831987,68,test
0.9780295,0.021970447,69,test
0.016803734,0.98319626,70,test
0.10552181,0.8944782,71,test
0.0031804328,0.9968195,72,test
0.7206013,0.27939868,73,test
0.007143012,0.992857,74,test
0.030877536,0.96912247,75,test
0.0071722628,0.9928277,76,test
0.4398117,0.5601883,77,test
0.99604553,0.0039544604,78,test
0.9915589,0.00844114,79,test
0.0043697883,0.99563026,80,test
0.9907199,0.00928004,81,test
0.35539687,0.6446032,82,test
0.33198297,0.668017,83,test
0.98406214,0.01593789,84,test
0.0075649517,0.99243504,85,test
0.03373242,0.96626765,86,test
0.03943961,0.9605603,87,test
0.018619841,0.98138016,88,test
0.99566805,0.004331988,89,test
0.97020817,0.029791834,90,test
0.6354903,0.36450967,91,test
0.037043955,0.9629561,92,test
0.027596848,0.97240317,93,test
0.016212687,0.98378736,94,test
0.0031446842,0.99685526,95,test
0.022877045,0.9771229,96,test
0.038904235,0.96109575,97,test
0.9921658,0.007834229,98,test
0.0013483983,0.9986517,99,test
0.8722229,0.12777708,100,test
0.99456114,0.0054388726,101,test
0.009236598,0.99076337,102,test
0.025061183,0.97493887,103,test
0.7218583,0.27814168,104,test
0.009804446,0.9901956,105,test
0.8165246,0.18347539,106,test
0.0011936335,0.99880636,107,test
0.9287955,0.07120446,108,test
0.013536746,0.98646325,109,test
0.009450858,0.99054915,110,test
0.008608579,0.9913914,111,test
0.0012164923,0.9987835,112,test
0.8158961,0.18410386,113,test
0.0016945621,0.99830544,114,test
0.9929588,0.007041205,115,test
0.96107507,0.03892495,116,test
0.028395081,0.97160494,117,test
0.9758556,0.024144446,118,test
0.12455968,0.8754403,119,test
0.8861121,0.113887876,120,test
0.9922609,0.0077391407,121,test
0.03256017,0.96743983,122,test
0.089058645,0.9109413,123,test
0.6128178,0.38718215,124,test
0.21048635,0.78951365,125,test
0.788433,0.21156695,126,test
0.96037835,0.039621674,127,test
0.9810307,0.018969294,128,test
0.97693354,0.023066452,129,test
0.29368436,0.70631564,130,test
0.0012962668,0.9987037,131,test
0.08104553,0.9189545,132,test
0.13515374,0.8648462,133,test
0.92233914,0.07766089,134,test
0.9674664,0.032533627,135,test
0.9630663,0.036933694,136,test
0.9142077,0.08579235,137,test
0.019624522,0.98037547,138,test
0.8006231,0.19937687,139,test
0.0054712486,0.9945287,140,test
0.97257555,0.027424416,141,test
0.8994792,0.10052083,142,test
0.7037795,0.29622045,143,test
0.003173048,0.99682695,144,test
0.002577716,0.99742234,145,test
0.9921084,0.00789163,146,test
0.0010312332,0.9989687,147,test
0.9843125,0.015687538,148,test
0.28784615,0.7121539,149,test
0.016973626,0.9830263,150,test
0.0015681725,0.99843186,151,test
0.020878155,0.97912186,152,test
0.9924495,0.007550492,153,test
0.0044960445,0.99550396,154,test
0.028150612,0.9718493,155,test
0.26175305,0.7382469,156,test
0.0046260767,0.9953739,157,test
0.9611724,0.038827647,158,test
0.99479115,0.0052088615,159,test
0.13400133,0.8659987,160,test
0.9335045,0.06649545,161,test
0.0027403673,0.9972596,162,test
0.04615217,0.9538478,163,test
0.891312,0.108688034,164,test
0.97142696,0.028573086,165,test
0.0018827047,0.9981173,166,test
0.010428189,0.9895718,167,test
0.015655652,0.9843443,168,test
0.91712934,0.08287067,169,test
0.0041590217,0.99584097,170,test
0.057733193,0.94226676,171,test
0.7743482,0.22565176,172,test
0.99251163,0.007488363,173,test
0.89252454,0.10747541,174,test
0.010988051,0.9890119,175,test
0.9778196,0.022180393,176,test
0.19198956,0.80801046,177,test
0.8777111,0.12228891,178,test
0.023205416,0.97679454,179,test
0.90054005,0.09945992,180,test
0.9825691,0.017430883,181,test
0.03949859,0.9605014,182,test
