0,1,identifier,split
0.82005423,0.17994575,0,test
0.19643877,0.8035612,1,test
0.78515124,0.21484877,2,test
0.23019497,0.76980495,3,test
0.75648504,0.24351496,4,test
0.056239497,0.9437605,5,test
0.07640799,0.92359203,6,test
0.85916924,0.14083077,7,test
0.8936924,0.10630763,8,test
0.85742116,0.14257886,9,test
0.7888941,0.21110581,10,test
0.9255815,0.07441847,11,test
0.12535554,0.8746444,12,test
0.031926293,0.96807367,13,test
0.8084744,0.1915255,14,test
0.8867458,0.11325422,15,test
0.046163455,0.95383656,16,test
0.44196063,0.5580393,17,test
0.020770263,0.97922975,18,test
0.92394304,0.07605694,19,test
0.3989962,0.6010038,20,test
0.49812815,0.5018719,21,test
0.04004646,0.95995355,22,test
0.012284194,0.9877158,23,test
0.45013708,0.54986286,24,test
0.4920426,0.50795734,25,test
0.68253213,0.3174678,26,test
0.9048799,0.09512003,27,test
0.40865207,0.591348,28,test
0.05813449,0.94186544,29,test
0.66775125,0.33224875,30,test
0.76635915,0.23364082,31,test
0.19942595,0.80057406,32,test
0.961918,0.038081992,33,test
0.60465986,0.39534017,34,test
0.7440762,0.25592378,35,test
0.21819584,0.7818042,36,test
0.90811414,0.0918859,37,test
0.0116046015,0.98839545,38,test
0.9269419,0.07305813,39,test
0.5429644,0.45703563,40,test
0.025585173,0.9744149,41,test
0.26808667,0.7319133,42,test
0.05586902,0.9441309,43,test
0.049372617,0.9506274,44,test
0.5785308,0.4214692,45,test
0.55175835,0.44824165,46,test
0.39295974,0.6070403,47,test
0.0981169,0.9018831,48,test
0.13459006,0.8654099,49,test
0.8650705,0.13492945,50,test
0.02929986,0.97070014,51,test
0.92434925,0.07565075,52,test
0.91509366,0.084906265,53,test
0.8080203,0.19197968,54,test
0.014956693,0.9850433,55,test
0.7554397,0.24456033,56,test
0.8714162,0.12858383,57,test
0.75241303,0.2475869,58,test
0.8691905,0.13080947,59,test
0.5762408,0.42375925,60,test
0.92755616,0.07244387,61,test
0.8981079,0.10189205,62,test
0.018538302,0.9814617,63,test
0.29740822,0.7025918,64,test
0.037803654,0.9621964,65,test
0.04894862,0.9510514,66,test
0.2702547,0.72974527,67,test
0.9738722,0.026127752,68,test
0.83735675,0.16264328,69,test
0.28634503,0.713655,70,test
0.37433273,0.6256673,71,test
0.043790467,0.9562095,72,test
0.7185835,0.2814165,73,test
0.023474561,0.97652537,74,test
0.04014136,0.95985866,75,test
