0,1,identifier,split
0.9025954,0.09740455,0,test
0.89623386,0.10376611,1,test
0.9879495,0.012050498,2,test
0.012918271,0.98708165,3,test
0.9671195,0.032880448,4,test
0.04945279,0.9505473,5,test
0.1047856,0.8952144,6,test
0.988902,0.011098088,7,test
0.98639816,0.013601873,8,test
0.9406543,0.059345685,9,test
0.9298646,0.07013539,10,test
0.9805746,0.019425433,11,test
0.57108307,0.42891693,12,test
0.005962233,0.99403775,13,test
0.9703946,0.029605454,14,test
0.98828447,0.011715548,15,test
0.2073877,0.79261225,16,test
0.7322934,0.26770657,17,test
0.024435421,0.9755646,18,test
0.991078,0.00892205,19,test
0.85238624,0.14761381,20,test
0.73892677,0.2610732,21,test
0.49420768,0.5057923,22,test
0.0027946343,0.9972053,23,test
0.46388486,0.53611517,24,test
0.8567583,0.14324167,25,test
0.9702996,0.029700397,26,test
0.9936935,0.0063065635,27,test
0.048856206,0.9511438,28,test
0.1848796,0.8151204,29,test
0.9449111,0.055088874,30,test
0.89088446,0.1091156,31,test
0.03823417,0.9617658,32,test
0.9773834,0.02261665,33,test
0.9276387,0.07236126,34,test
0.8983549,0.101645105,35,test
0.07627432,0.9237257,36,test
0.97471774,0.025282292,37,test
0.0021507354,0.9978492,38,test
0.987785,0.012215041,39,test
0.5282051,0.47179487,40,test
0.0019493409,0.9980507,41,test
0.2071635,0.7928365,42,test
0.015033518,0.9849665,43,test
0.0058525014,0.99414754,44,test
0.64918476,0.3508152,45,test
0.50461113,0.49538887,46,test
0.42499343,0.5750066,47,test
0.0081436485,0.99185634,48,test
0.061867017,0.938133,49,test
0.97753114,0.022468919,50,test
0.038632613,0.96136737,51,test
0.99604285,0.003957132,52,test
0.98671144,0.013288604,53,test
0.07448169,0.9255183,54,test
0.0025740685,0.99742585,55,test
0.9460281,0.05397192,56,test
0.92738634,0.07261368,57,test
0.4183197,0.5816803,58,test
0.97077787,0.02922219,59,test
0.82508296,0.17491703,60,test
0.9762323,0.023767725,61,test
0.9779052,0.02209481,62,test
0.0011489333,0.99885106,63,test
0.05244903,0.94755095,64,test
0.0047202106,0.9952798,65,test
0.112154335,0.88784564,66,test
0.0019412385,0.99805874,67,test
0.99077106,0.009228892,68,test
0.69932073,0.30067927,69,test
0.007889947,0.9921101,70,test
0.04699033,0.9530096,71,test
0.0018327702,0.99816716,72,test
0.24116248,0.7588375,73,test
0.0028826785,0.9971173,74,test
0.01912705,0.980873,75,test
0.0032640982,0.9967359,76,test
0.035611726,0.96438825,77,test
0.98382646,0.016173504,78,test
0.98579794,0.0142020695,79,test
0.0066224714,0.9933775,80,test
0.9807027,0.01929731,81,test
0.56518185,0.43481812,82,test
0.3317527,0.6682473,83,test
0.9814249,0.018575056,84,test
0.004012114,0.99598783,85,test
0.02953459,0.9704654,86,test
0.013738314,0.98626167,87,test
0.012868459,0.9871315,88,test
0.9951964,0.0048035462,89,test
0.9850793,0.014920739,90,test
0.5052669,0.49473312,91,test
0.12750347,0.8724965,92,test
0.11486108,0.885139,93,test
0.020988101,0.97901195,94,test
0.007323544,0.9926764,95,test
0.37909642,0.6209036,96,test
0.0440896,0.9559104,97,test
0.9924091,0.007590904,98,test
0.006022223,0.9939778,99,test
0.9334583,0.06654172,100,test
0.99679357,0.0032064666,101,test
0.032670934,0.9673291,102,test
0.10580631,0.8941937,103,test
0.9210842,0.078915805,104,test
0.034812827,0.9651872,105,test
0.78349346,0.21650659,106,test
0.006089989,0.99390996,107,test
0.95634794,0.04365209,108,test
0.11867657,0.8813234,109,test
0.0075313463,0.99246866,110,test
0.023543574,0.9764564,111,test
0.011715768,0.98828423,112,test
0.9671804,0.03281965,113,test
0.0073070694,0.99269295,114,test
0.9933909,0.0066091414,115,test
0.93664795,0.063352026,116,test
0.04180727,0.9581927,117,test
0.9858267,0.014173291,118,test
0.15378821,0.84621173,119,test
0.92949617,0.07050389,120,test
0.99575835,0.0042416435,121,test
0.030510616,0.9694894,122,test
0.11725401,0.882746,123,test
0.9501069,0.049893137,124,test
0.46203387,0.53796613,125,test
0.85510707,0.14489293,126,test
0.98178035,0.018219719,127,test
0.9878015,0.012198506,128,test
0.9869602,0.013039851,129,test
0.6246648,0.37533522,130,test
0.0076127066,0.9923873,131,test
0.48577982,0.51422024,132,test
0.23388809,0.7661119,133,test
0.8945569,0.10544307,134,test
0.9687384,0.031261623,135,test
0.9356587,0.06434128,136,test
0.9557355,0.0442645,137,test
0.03358197,0.966418,138,test
0.6915086,0.30849138,139,test
0.003874198,0.99612576,140,test
0.9781039,0.0218961,141,test
0.96036625,0.039633777,142,test
0.9661411,0.03385885,143,test
0.0055712564,0.99442875,144,test
0.0069581913,0.99304175,145,test
0.99678445,0.0032155258,146,test
0.0062421584,0.99375784,147,test
0.9924799,0.0075200703,148,test
0.29645112,0.7035489,149,test
0.0465819,0.9534181,150,test
0.008611265,0.99138874,151,test
0.08475377,0.91524625,152,test
0.99617106,0.0038289588,153,test
0.0064539458,0.99354607,154,test
0.020319713,0.97968024,155,test
0.4999696,0.5000304,156,test
0.008442819,0.9915571,157,test
0.9809589,0.01904114,158,test
0.99633634,0.0036637122,159,test
0.19793548,0.80206454,160,test
0.95266825,0.04733178,161,test
0.0050990176,0.99490094,162,test
0.056635827,0.94336414,163,test
0.92914754,0.07085248,164,test
0.97583485,0.024165185,165,test
0.0041454798,0.9958545,166,test
0.024282036,0.9757179,167,test
0.023483409,0.97651666,168,test
0.90828097,0.09171904,169,test
0.041471522,0.95852846,170,test
0.3301301,0.6698699,171,test
0.8032422,0.19675778,172,test
0.9887427,0.011257255,173,test
0.9086706,0.09132938,174,test
0.029195778,0.9708043,175,test
0.8956695,0.10433048,176,test
0.31081125,0.6891888,177,test
0.96359843,0.03640158,178,test
0.019678079,0.98032194,179,test
0.9580248,0.041975137,180,test
0.9825921,0.017407935,181,test
0.09085708,0.9091429,182,test
0.97897136,0.02102867,183,test
0.95449936,0.04550065,184,test
0.97405565,0.025944326,185,test
0.006103813,0.9938962,186,test
0.9789818,0.021018175,187,test
0.16347247,0.8365276,188,test
0.9803318,0.01966823,189,test
0.077705674,0.9222943,190,test
0.81036097,0.18963905,191,test
0.012999696,0.9870003,192,test
0.064685345,0.93531466,193,test
0.026198449,0.97380155,194,test
0.9800253,0.019974638,195,test
0.94644487,0.0535551,196,test
0.9826004,0.017399559,197,test
0.98138314,0.018616853,198,test
0.8927039,0.10729608,199,test
0.13243191,0.86756814,200,test
0.9488372,0.051162757,201,test
0.00791756,0.9920825,202,test
0.72832394,0.2716761,203,test
0.009115278,0.9908847,204,test
0.9928484,0.007151628,205,test
0.3440541,0.6559459,206,test
0.80129886,0.1987011,207,test
0.01619873,0.9838013,208,test
0.9884,0.011600046,209,test
0.9893969,0.010603049,210,test
0.9261049,0.07389507,211,test
0.24071638,0.7592836,212,test
0.99467564,0.005324399,213,test
0.98553574,0.01446423,214,test
0.008222664,0.9917773,215,test
0.8551446,0.14485538,216,test
0.95177567,0.048224293,217,test
0.0018064015,0.99819356,218,test
0.37784415,0.62215585,219,test
0.01904321,0.9809568,220,test
0.44061452,0.5593855,221,test
0.006528363,0.9934716,222,test
0.83791405,0.16208595,223,test
0.9776538,0.02234614,224,test
0.9863446,0.013655429,225,test
0.005221884,0.99477816,226,test
0.0051392405,0.9948607,227,test
0.011363054,0.9886369,228,test
0.0104257995,0.98957425,229,test
0.99313354,0.0068663945,230,test
0.004083211,0.9959168,231,test
0.026633613,0.97336644,232,test
0.0026822353,0.99731773,233,test
0.09578093,0.90421903,234,test
0.9938951,0.00610493,235,test
0.660434,0.33956602,236,test
0.011735809,0.9882642,237,test
0.9943903,0.0056096422,238,test
0.015339824,0.9846602,239,test
0.9562552,0.043744784,240,test
0.04357301,0.956427,241,test
0.016720844,0.9832791,242,test
0.024430692,0.97556925,243,test
0.9933217,0.006678211,244,test
0.9935324,0.006467579,245,test
0.9689905,0.031009473,246,test
0.98772883,0.012271178,247,test
0.11730598,0.88269407,248,test
0.8496401,0.15035991,249,test
0.022954227,0.9770458,250,test
0.13514893,0.86485106,251,test
0.004900534,0.9950995,252,test
0.9662751,0.033724897,253,test
0.015567057,0.98443294,254,test
0.99367154,0.006328439,255,test
0.05452883,0.94547117,256,test
0.001764258,0.9982357,257,test
0.99431807,0.0056819073,258,test
0.013518115,0.9864819,259,test
0.9822912,0.017708723,260,test
0.012697721,0.9873023,261,test
0.036166944,0.96383303,262,test
0.8763993,0.123600796,263,test
0.030949771,0.9690503,264,test
0.007347416,0.99265254,265,test
0.930488,0.06951201,266,test
0.017784106,0.9822159,267,test
0.013842894,0.98615706,268,test
0.028263178,0.97173685,269,test
0.012992962,0.987007,270,test
0.4283198,0.57168025,271,test
0.35238868,0.6476113,272,test
0.009835993,0.990164,273,test
0.05612565,0.94387436,274,test
0.9932787,0.0067212726,275,test
0.1137081,0.88629186,276,test
0.032323893,0.9676761,277,test
0.013269515,0.98673046,278,test
0.050490115,0.94950986,279,test
0.002544658,0.9974553,280,test
0.06179959,0.9382005,281,test
0.15062776,0.8493722,282,test
0.9381588,0.061841223,283,test
0.9831003,0.016899712,284,test
0.9408564,0.059143562,285,test
0.9684899,0.03151012,286,test
0.9766544,0.02334555,287,test
0.043137286,0.95686275,288,test
0.7614374,0.23856257,289,test
0.98849994,0.011500086,290,test
0.5583195,0.44168046,291,test
0.0094147185,0.99058527,292,test
0.9940461,0.0059538395,293,test
0.01226708,0.9877329,294,test
0.9320805,0.06791946,295,test
0.8850814,0.11491853,296,test
0.9866823,0.013317664,297,test
0.5753898,0.42461023,298,test
0.103946894,0.8960531,299,test
0.9845258,0.015474171,300,test
0.9906466,0.009353478,301,test
0.9856902,0.014309862,302,test
0.010721302,0.98927873,303,test
0.016651073,0.98334885,304,test
0.9646124,0.035387628,305,test
0.303286,0.696714,306,test
0.25039443,0.74960554,307,test
0.42825258,0.5717474,308,test
0.99328244,0.006717585,309,test
0.99130976,0.008690262,310,test
0.038091715,0.9619083,311,test
0.015895229,0.9841047,312,test
0.09444933,0.9055506,313,test
0.97314274,0.026857277,314,test
0.9927786,0.007221371,315,test
0.600919,0.39908102,316,test
0.13619395,0.86380607,317,test
0.025522534,0.97447747,318,test
0.9880927,0.011907294,319,test
0.0043520285,0.99564797,320,test
0.984097,0.01590298,321,test
0.0039067604,0.9960932,322,test
0.024084993,0.97591496,323,test
0.05078741,0.94921255,324,test
0.9660303,0.033969715,325,test
0.00802539,0.99197453,326,test
0.07436525,0.9256348,327,test
0.030256385,0.9697436,328,test
0.99403894,0.005961128,329,test
0.9648654,0.035134643,330,test
0.66110414,0.3388958,331,test
0.98315984,0.016840111,332,test
0.9729898,0.027010242,333,test
0.9813976,0.018602388,334,test
0.9565442,0.04345581,0,validation
0.027142588,0.9728574,1,validation
0.8090973,0.19090272,2,validation
0.2826498,0.7173502,3,validation
0.010469006,0.9895309,4,validation
0.97944725,0.020552827,5,validation
0.94498146,0.05501852,6,validation
0.9936719,0.0063281427,7,validation
0.8837274,0.11627261,8,validation
0.016642237,0.9833577,9,validation
0.8910508,0.108949244,10,validation
0.116871364,0.8831287,11,validation
0.054618973,0.94538105,12,validation
0.05992995,0.94007003,13,validation
0.039072167,0.96092784,14,validation
0.7175593,0.28244075,15,validation
0.010613053,0.9893869,16,validation
0.007010116,0.9929899,17,validation
0.039108813,0.9608912,18,validation
0.5072866,0.49271342,19,validation
0.009036494,0.99096346,20,validation
0.9918012,0.008198748,21,validation
0.004450177,0.9955498,22,validation
0.99654937,0.0034505837,23,validation
0.0023850072,0.997615,24,validation
0.0052155964,0.9947844,25,validation
0.99242604,0.007574015,26,validation
0.9508885,0.049111478,27,validation
0.9914622,0.008537773,28,validation
0.9182812,0.08171881,29,validation
0.6245913,0.37540877,30,validation
0.008365852,0.99163413,31,validation
0.7939337,0.20606627,32,validation
0.011328469,0.98867154,33,validation
0.028659586,0.9713405,34,validation
0.014293708,0.98570627,35,validation
0.9740975,0.025902467,36,validation
0.007982564,0.9920175,37,validation
0.0052933064,0.9947067,38,validation
0.99139297,0.008607015,39,validation
0.9386492,0.06135088,40,validation
0.9922011,0.0077988305,41,validation
0.94222254,0.05777749,42,validation
0.9940952,0.0059048072,43,validation
0.98392636,0.01607358,44,validation
0.006796894,0.99320304,45,validation
0.23577113,0.7642288,46,validation
0.9275393,0.072460726,47,validation
0.017181106,0.9828189,48,validation
0.8586269,0.14137304,49,validation
0.67061263,0.32938737,50,validation
0.97699386,0.023006134,51,validation
0.99212533,0.007874702,52,validation
0.034985285,0.96501476,53,validation
0.10634116,0.8936588,54,validation
0.005870067,0.99413,55,validation
0.9253185,0.074681506,56,validation
