0,1,identifier,split
0.99251056,0.007489419,0,test
0.983136,0.01686402,1,test
0.31872076,0.68127924,2,test
0.0068917065,0.9931083,3,test
0.990303,0.009697069,4,test
0.9936008,0.0063992445,5,test
0.23142794,0.76857203,6,test
0.89038897,0.10961103,7,test
0.0033028682,0.9966972,8,test
0.03174176,0.96825826,9,test
0.9681033,0.03189676,10,test
0.0029604633,0.9970395,11,test
0.003818196,0.99618185,12,test
0.98327047,0.016729463,13,test
0.09020595,0.9097941,14,test
0.863025,0.136975,15,test
0.0054601626,0.9945398,16,test
0.6473752,0.3526247,17,test
0.030695688,0.9693043,18,test
0.98219407,0.017805982,19,test
0.9940223,0.0059776744,20,test
0.016616695,0.98338336,21,test
0.0044313953,0.9955686,22,test
0.003947752,0.99605227,23,test
0.9809256,0.019074393,24,test
0.076616004,0.9233841,25,test
0.081497446,0.91850257,26,test
0.06023807,0.93976194,27,test
0.99521035,0.00478968,28,test
0.9786184,0.021381604,29,test
0.09790239,0.9020976,30,test
0.99437594,0.005624099,31,test
0.7490686,0.25093138,32,test
0.051920082,0.9480799,33,test
0.015759313,0.9842407,34,test
0.053332277,0.9466677,35,test
0.014192414,0.98580754,36,test
0.89011335,0.1098866,37,test
0.4433797,0.55662036,38,test
0.0028166173,0.9971834,39,test
0.9918854,0.008114539,40,test
0.0026826102,0.9973174,41,test
0.30110812,0.6988919,42,test
0.075294435,0.92470556,43,test
0.8957027,0.10429723,44,test
0.9841434,0.015856609,45,test
0.7928986,0.20710139,46,test
0.992342,0.0076579857,47,test
0.984622,0.015378073,48,test
0.012015404,0.98798466,49,test
0.8955476,0.10445241,50,test
0.017569777,0.9824302,51,test
0.98746175,0.0125382,52,test
0.94402385,0.055976223,53,test
0.93680173,0.063198246,54,test
0.039025858,0.9609741,55,test
0.027796809,0.97220325,56,test
0.8520552,0.1479448,57,test
0.012049908,0.9879501,58,test
0.9817076,0.01829237,59,test
0.88609666,0.11390337,60,test
0.9965828,0.003417188,61,test
0.96440655,0.035593472,62,test
0.9826331,0.01736689,63,test
0.037841067,0.962159,64,test
0.0055689,0.9944311,65,test
0.9887362,0.011263752,66,test
0.16217823,0.8378217,67,test
0.008774157,0.9912259,68,test
0.994692,0.0053079035,69,test
0.981023,0.018977014,70,test
0.8771965,0.122803494,71,test
