0,1,identifier,split
0.69043654,0.3095635,0,test
0.10914694,0.89085305,1,test
0.9663343,0.033665683,2,test
0.09711663,0.90288335,3,test
0.68235826,0.3176417,4,test
0.120511875,0.8794881,5,test
0.37917766,0.6208223,6,test
0.96232253,0.03767749,7,test
0.94483906,0.055160925,8,test
0.82518774,0.17481224,9,test
0.82659054,0.17340945,10,test
0.9301007,0.06989926,11,test
0.24524452,0.7547555,12,test
0.0743905,0.92560947,13,test
0.83034587,0.16965413,14,test
0.9804433,0.019556694,15,test
0.19004352,0.80995655,16,test
0.3235247,0.6764753,17,test
0.10225357,0.8977464,18,test
0.9895202,0.010479806,19,test
0.51279676,0.48720324,20,test
0.44224498,0.557755,21,test
0.3044364,0.6955636,22,test
0.25090387,0.74909616,23,test
0.5573935,0.44260654,24,test
0.808166,0.19183396,25,test
0.93508166,0.06491841,26,test
0.9571022,0.04289784,27,test
0.20473589,0.7952641,28,test
0.14785394,0.8521461,29,test
0.8512839,0.14871612,30,test
0.6977331,0.3022669,31,test
0.09351065,0.9064894,32,test
0.96216536,0.037834644,33,test
0.63538593,0.364614,34,test
0.5968329,0.4031671,35,test
0.21963856,0.7803615,36,test
0.9631137,0.03688626,37,test
0.09119848,0.90880156,38,test
0.96989757,0.030102432,39,test
0.27595568,0.7240443,40,test
0.086095914,0.91390413,41,test
0.14188555,0.8581145,42,test
0.14202815,0.85797185,43,test
0.04585553,0.9541444,44,test
0.87403065,0.12596937,45,test
0.3704334,0.62956655,46,test
0.6700952,0.32990482,47,test
0.12480253,0.8751974,48,test
0.07918316,0.92081684,49,test
0.9574022,0.04259773,50,test
0.52944267,0.47055733,51,test
0.98974204,0.010257941,52,test
0.9499737,0.050026234,53,test
0.12428253,0.87571746,54,test
0.06100104,0.93899894,55,test
0.8817792,0.11822079,56,test
0.9036113,0.096388645,57,test
0.35979804,0.6402019,58,test
0.9879457,0.012054375,59,test
0.611701,0.388299,60,test
0.9554232,0.04457684,61,test
0.98183733,0.018162683,62,test
0.07796532,0.9220347,63,test
0.25663793,0.7433621,64,test
0.18209434,0.81790566,65,test
0.485565,0.514435,66,test
0.2046173,0.79538274,67,test
0.98735493,0.0126451235,68,test
0.8890622,0.11093773,69,test
0.16615245,0.8338475,70,test
0.2255768,0.77442324,71,test
0.111019544,0.88898045,72,test
0.83358246,0.16641752,73,test
0.08693891,0.9130611,74,test
0.22225113,0.7777489,75,test
0.27085853,0.7291415,76,test
0.38828054,0.6117194,77,test
0.98251534,0.017484637,78,test
0.98642516,0.013574877,79,test
0.17074643,0.82925355,80,test
0.98134035,0.018659659,81,test
0.7236165,0.27638355,82,test
0.3803975,0.6196025,83,test
0.95278287,0.047217138,84,test
0.14902674,0.8509733,85,test
0.25269035,0.7473097,86,test
0.28436896,0.715631,87,test
0.16276264,0.8372374,88,test
