0,1,identifier,split
0.90276617,0.097233854,0,test
0.10736221,0.8926378,1,test
0.98570967,0.014290376,2,test
0.014034447,0.9859656,3,test
0.6001765,0.3998235,4,test
0.04650037,0.95349956,5,test
0.03255428,0.96744573,6,test
0.97293186,0.027068136,7,test
0.95260704,0.047393024,8,test
0.8255542,0.17444581,9,test
0.85483766,0.14516237,10,test
0.95664036,0.043359693,11,test
0.13159147,0.86840856,12,test
0.004846981,0.99515307,13,test
0.8980158,0.101984225,14,test
0.97215974,0.02784024,15,test
0.016476996,0.98352295,16,test
0.6008122,0.3991878,17,test
0.016249806,0.98375016,18,test
0.9841254,0.015874665,19,test
0.84669185,0.15330812,20,test
0.6121621,0.38783786,21,test
0.27981538,0.7201846,22,test
0.011695997,0.988304,23,test
0.24229683,0.7577032,24,test
0.6574053,0.3425947,25,test
0.8724693,0.12753072,26,test
0.9774918,0.02250813,27,test
0.025370298,0.97462976,28,test
0.029048095,0.9709519,29,test
0.9227261,0.07727397,30,test
0.7545515,0.24544851,31,test
0.08062992,0.91937006,32,test
0.9803806,0.019619428,33,test
0.8537862,0.14621384,34,test
0.737985,0.26201496,35,test
0.057046253,0.94295377,36,test
0.9537034,0.046296574,37,test
0.012712793,0.98728716,38,test
0.9778706,0.022129474,39,test
0.47878084,0.52121913,40,test
0.007218995,0.992781,41,test
0.07172204,0.9282779,42,test
0.033468626,0.9665314,43,test
0.0233339,0.97666615,44,test
0.7013081,0.29869196,45,test
0.2385252,0.76147485,46,test
0.13456658,0.8654334,47,test
0.084458604,0.9155414,48,test
0.034422554,0.9655775,49,test
0.9764757,0.023524335,50,test
0.025333019,0.974667,51,test
0.9905544,0.009445574,52,test
0.97261006,0.0273899,53,test
0.07049995,0.92950004,54,test
0.012431159,0.9875688,55,test
0.9160461,0.08395388,56,test
0.93301,0.06699002,57,test
0.34402415,0.6559758,58,test
0.9394887,0.060511306,59,test
0.71941507,0.28058493,60,test
0.97448426,0.025515787,61,test
0.9734851,0.026514873,62,test
0.0049255528,0.99507445,63,test
0.23020762,0.76979244,64,test
0.046165127,0.9538349,65,test
0.04395142,0.95604855,66,test
0.04324825,0.95675176,67,test
0.99511504,0.004884991,68,test
0.932665,0.067335024,69,test
0.04660239,0.95339763,70,test
0.14066909,0.8593309,71,test
0.043475006,0.95652497,72,test
0.37707505,0.622925,73,test
0.029705923,0.9702941,74,test
0.0530768,0.9469232,75,test
0.04730609,0.9526939,76,test
0.43176523,0.5682348,77,test
0.9952944,0.0047056293,78,test
0.99160224,0.00839772,79,test
