0,1,identifier,split
0.6258657,0.3741343,0,test
0.28659496,0.713405,1,test
0.9770448,0.022955202,2,test
0.022286508,0.9777135,3,test
0.82719463,0.17280541,4,test
0.021442404,0.97855765,5,test
0.051164035,0.948836,6,test
0.9717292,0.028270734,7,test
0.93688625,0.06311368,8,test
0.9766293,0.023370745,9,test
0.76373905,0.23626094,10,test
0.95627177,0.043728244,11,test
0.08587339,0.9141266,12,test
0.011158494,0.9888415,13,test
0.8858992,0.114100784,14,test
0.97781223,0.022187786,15,test
0.03174862,0.9682514,16,test
0.41547966,0.58452034,17,test
0.018556409,0.9814435,18,test
0.9765278,0.023472197,19,test
0.7385372,0.26146287,20,test
0.55239266,0.44760734,21,test
0.65459996,0.3454,22,test
0.019789174,0.98021084,23,test
0.16911286,0.8308871,24,test
0.69006795,0.30993208,25,test
0.9530564,0.046943616,26,test
0.9828141,0.017185979,27,test
0.108069,0.89193094,28,test
0.14627719,0.8537228,29,test
0.8519529,0.14804704,30,test
0.76009023,0.23990974,31,test
0.04167531,0.9583247,32,test
0.9802704,0.019729612,33,test
0.96576405,0.034235924,34,test
0.9523121,0.04768793,35,test
0.049769726,0.95023024,36,test
0.914887,0.08511297,37,test
0.024362182,0.9756378,38,test
0.9826652,0.017334742,39,test
0.4257503,0.57424974,40,test
0.014823172,0.9851768,41,test
0.068205215,0.93179476,42,test
0.026476687,0.9735233,43,test
0.048421904,0.9515781,44,test
0.9364157,0.06358438,45,test
0.27426353,0.7257365,46,test
0.46785417,0.53214586,47,test
0.12108434,0.8789156,48,test
0.09694072,0.9030593,49,test
0.92375743,0.07624256,50,test
0.015289884,0.98471016,51,test
0.98476243,0.015237643,52,test
0.97291666,0.027083373,53,test
0.10917058,0.8908294,54,test
0.004708732,0.99529123,55,test
0.9218122,0.07818778,56,test
0.81515664,0.1848434,57,test
0.3787681,0.621232,58,test
0.9683713,0.031628795,59,test
0.6300619,0.3699381,60,test
0.9680645,0.031935513,61,test
0.9439102,0.056089867,62,test
0.009937798,0.99006224,63,test
0.49393374,0.50606626,64,test
0.11804724,0.88195276,65,test
0.57542753,0.42457244,66,test
0.0668142,0.9331858,67,test
0.991364,0.008635988,68,test
0.9704545,0.02954549,69,test
0.08816106,0.9118389,70,test
0.40467313,0.59532684,71,test
0.03629162,0.96370834,72,test
0.7125894,0.28741065,73,test
0.03938603,0.960614,74,test
0.17021564,0.8297844,75,test
0.033816837,0.9661832,76,test
0.49200946,0.5079906,77,test
0.9944916,0.0055084643,78,test
0.9931284,0.006871586,79,test
0.01510885,0.9848911,80,test
0.9968657,0.0031342742,81,test
0.787945,0.212055,82,test
0.36843225,0.6315678,83,test
0.99072987,0.009270116,84,test
0.06685289,0.93314713,85,test
0.20465767,0.7953424,86,test
0.23421994,0.76578003,87,test
0.50547093,0.49452907,88,test
