0,1,identifier,split
0.82867867,0.17132133,0,test
0.15989304,0.840107,1,test
0.94610137,0.053898633,2,test
0.00011937946,0.99988055,3,test
0.7275222,0.2724778,4,test
0.19717497,0.80282503,5,test
0.022554308,0.97744566,6,test
0.8267555,0.17324449,7,test
0.92716473,0.07283527,8,test
0.7756461,0.2243539,9,test
0.49313885,0.50686115,10,test
0.60408497,0.39591503,11,test
0.7875058,0.21249421,12,test
0.0208842,0.9791158,13,test
0.5484614,0.45153865,14,test
0.71920776,0.28079218,15,test
0.020766184,0.97923374,16,test
0.33944437,0.66055566,17,test
0.029097304,0.9709027,18,test
0.885516,0.114484005,19,test
0.6022429,0.3977571,20,test
0.29131383,0.7086862,21,test
0.7647256,0.23527437,22,test
0.03334468,0.9666553,23,test
0.4320011,0.5679989,24,test
0.7125073,0.2874927,25,test
0.5767188,0.42328122,26,test
0.75184155,0.24815847,27,test
0.3501529,0.6498471,28,test
0.40683421,0.5931658,29,test
0.8556849,0.14431512,30,test
0.34470585,0.6552942,31,test
0.17439343,0.8256066,32,test
0.887331,0.11266901,33,test
0.9530601,0.046939902,34,test
0.7242182,0.27578175,35,test
0.20549197,0.79450804,36,test
0.8517505,0.1482495,37,test
0.0004772109,0.9995228,38,test
0.91414803,0.08585193,39,test
0.79828215,0.20171785,40,test
0.0034058285,0.99659413,41,test
0.18923016,0.8107699,42,test
0.429773,0.57022697,43,test
0.020545293,0.97945464,44,test
0.8303525,0.16964747,45,test
0.5216699,0.4783301,46,test
0.3335612,0.6664388,47,test
0.0420642,0.95793575,48,test
0.48378685,0.5162131,49,test
0.9353545,0.0646455,50,test
0.37463683,0.6253632,51,test
0.7715604,0.22843966,52,test
0.5647364,0.43526357,53,test
0.58371454,0.41628546,54,test
0.00030023284,0.99969983,55,test
0.7865077,0.21349235,56,test
0.8378992,0.16210079,57,test
0.06770034,0.9322997,58,test
0.7277497,0.27225032,59,test
0.29827544,0.7017245,60,test
0.53665537,0.4633446,61,test
0.91149956,0.08850048,62,test
0.00024520018,0.99975485,63,test
0.67977715,0.32022285,64,test
0.0038471755,0.9961528,65,test
0.0025444343,0.99745554,66,test
0.0026555283,0.99734443,67,test
0.7807727,0.21922731,68,test
0.28059372,0.71940625,69,test
1.4373002e-05,0.9999856,70,test
0.5390052,0.46099484,71,test
0.0013804816,0.99861956,72,test
0.21550658,0.78449345,73,test
6.534016e-06,0.99999344,74,test
0.0025451148,0.99745494,75,test
0.003768381,0.9962316,76,test
0.38520724,0.61479276,77,test
0.7657419,0.2342581,78,test
0.51440275,0.48559728,79,test
0.012900396,0.9870996,80,test
0.9513607,0.048639268,81,test
0.71416736,0.2858327,82,test
0.0918865,0.90811354,83,test
0.9718589,0.028141053,84,test
0.010252665,0.9897473,85,test
0.27858987,0.7214101,86,test
0.028244868,0.9717551,87,test
0.014401235,0.9855988,88,test
0.8413498,0.15865025,89,test
0.85823715,0.1417629,90,test
0.19204696,0.80795306,91,test
0.13542663,0.86457336,92,test
0.0012910173,0.99870896,93,test
0.0834593,0.91654074,94,test
0.025031788,0.9749682,95,test
0.33548865,0.6645114,96,test
0.21043971,0.78956026,97,test
0.9512772,0.04872281,98,test
2.3991597e-06,0.9999976,99,test
0.2383005,0.7616995,100,test
0.83576703,0.164233,101,test
0.0010055936,0.9989944,102,test
0.5979016,0.4020984,103,test
0.8778293,0.12217065,104,test
0.08553044,0.9144695,105,test
0.87118,0.12881996,106,test
0.0002013719,0.9997986,107,test
0.8726612,0.12733884,108,test
0.0074494095,0.9925506,109,test
8.3601924e-05,0.99991643,110,test
0.00014354853,0.9998565,111,test
0.0015112956,0.99848866,112,test
0.8154667,0.18453331,113,test
0.00010722761,0.9998927,114,test
0.8992694,0.100730635,115,test
0.87745374,0.12254626,116,test
0.047806226,0.95219374,117,test
0.9076808,0.09231924,118,test
0.035327975,0.96467197,119,test
0.31804594,0.6819541,120,test
0.6133059,0.38669404,121,test
0.26292038,0.7370796,122,test
0.0028237028,0.9971763,123,test
0.5431659,0.45683408,124,test
0.08190058,0.9180994,125,test
0.58881074,0.4111893,126,test
0.71230775,0.2876923,127,test
0.71376354,0.28623646,128,test
0.5210058,0.47899416,129,test
0.3389452,0.6610548,130,test
9.7633914e-05,0.99990237,131,test
0.19617775,0.8038223,132,test
0.5098605,0.49013948,133,test
0.6492024,0.3507976,134,test
0.72611743,0.2738826,135,test
0.2519564,0.7480436,136,test
0.6452954,0.35470465,137,test
0.0051536937,0.99484634,138,test
0.73372656,0.26627338,139,test
0.007961536,0.9920385,140,test
0.92954665,0.070453376,141,test
0.4641068,0.5358932,142,test
0.5759695,0.42403048,143,test
0.12961188,0.87038815,144,test
0.0272169,0.9727831,145,test
0.90397894,0.096021056,146,test
0.0021640426,0.99783593,147,test
0.90654725,0.09345272,148,test
0.14580439,0.8541956,149,test
0.12022948,0.87977046,150,test
1.0452677e-06,0.9999989,151,test
0.03270249,0.9672975,152,test
0.95232445,0.04767559,153,test
0.00085521466,0.9991448,154,test
