0,1,identifier,split
0.8772638,0.122736216,0,test
0.7758278,0.2241722,1,test
0.995971,0.0040289997,2,test
0.0010013216,0.9989987,3,test
0.99067897,0.009321054,4,test
0.08361202,0.916388,5,test
0.04542489,0.95457506,6,test
0.9985695,0.0014304605,7,test
0.99385756,0.006142472,8,test
0.98063976,0.019360226,9,test
0.88212943,0.1178706,10,test
0.99769163,0.0023084418,11,test
0.50696874,0.49303123,12,test
0.002014393,0.9979856,13,test
0.45683336,0.54316664,14,test
0.9904366,0.0095633725,15,test
0.022942472,0.9770576,16,test
0.8917625,0.1082375,17,test
0.0009973154,0.99900275,18,test
0.9975152,0.0024847717,19,test
0.96886986,0.03113016,20,test
0.80771327,0.19228673,21,test
0.7370381,0.26296186,22,test
0.00897452,0.9910255,23,test
0.52454656,0.47545344,24,test
0.9759378,0.024062209,25,test
0.93372047,0.06627956,26,test
0.98881453,0.011185491,27,test
0.3346346,0.66536546,28,test
0.5749107,0.42508927,29,test
0.9950713,0.004928699,30,test
0.9091101,0.090889856,31,test
0.07767692,0.9223231,32,test
0.9848679,0.015132135,33,test
0.91152364,0.08847633,34,test
0.90364337,0.09635668,35,test
0.076297246,0.9237027,36,test
0.9894512,0.010548792,37,test
0.0026228377,0.99737716,38,test
0.9944764,0.0055236774,39,test
0.9766227,0.023377342,40,test
0.0016222462,0.9983777,41,test
0.77119166,0.22880839,42,test
0.14617187,0.85382813,43,test
0.0148451505,0.9851548,44,test
0.9883959,0.011604131,45,test
0.6127703,0.38722968,46,test
0.49480304,0.5051969,47,test
0.03142479,0.9685752,48,test
0.5854796,0.41452035,49,test
0.979705,0.020295009,50,test
0.0009631022,0.9990369,51,test
0.99987555,0.00012445681,52,test
0.9435839,0.05641608,53,test
0.6717955,0.32820448,54,test
0.006111452,0.9938885,55,test
0.9773197,0.022680236,56,test
0.9079893,0.092010714,57,test
0.11014699,0.889853,58,test
0.99837756,0.0016223752,59,test
0.6703565,0.3296435,60,test
0.9991516,0.00084843073,61,test
0.9896722,0.010327792,62,test
0.0060374755,0.99396247,63,test
0.84614766,0.15385239,64,test
0.004689464,0.9953106,65,test
0.98342264,0.016577398,66,test
0.007055352,0.99294466,67,test
0.99741274,0.0025872306,68,test
0.38860872,0.61139125,69,test
0.028224753,0.9717753,70,test
0.23370503,0.76629496,71,test
0.0015162454,0.9984837,72,test
0.95259297,0.047407072,73,test
0.010817427,0.98918253,74,test
0.43351176,0.56648827,75,test
0.04189095,0.9581091,76,test
0.97658336,0.023416586,77,test
0.9443686,0.055631444,78,test
0.9981659,0.0018340757,79,test
0.0072948006,0.99270517,80,test
0.9980996,0.0019004263,81,test
0.9800427,0.019957285,82,test
0.020748341,0.9792517,83,test
0.99652654,0.0034734244,84,test
0.017438399,0.9825616,85,test
0.2325047,0.76749533,86,test
0.1234978,0.8765022,87,test
0.006554902,0.99344516,88,test
0.9904033,0.0095967,89,test
0.96724004,0.032759916,90,test
0.17569661,0.8243033,91,test
0.09265971,0.9073403,92,test
0.31116313,0.6888368,93,test
0.12101056,0.87898946,94,test
0.002588538,0.99741143,95,test
0.04433088,0.9556691,96,test
0.14491372,0.8550863,97,test
0.9979862,0.0020137648,98,test
0.00023254288,0.9997675,99,test
0.37459397,0.6254061,100,test
0.99574995,0.004250036,101,test
0.23107836,0.7689217,102,test
0.10940198,0.89059806,103,test
0.8945008,0.10549919,104,test
