0,1,identifier,split
0.7687304,0.2312696,0,test
0.21848466,0.7815153,1,test
0.9820838,0.01791622,2,test
0.0040958854,0.99590415,3,test
0.7745,0.22550005,4,test
0.027273921,0.9727261,5,test
0.039998684,0.96000135,6,test
0.9447991,0.0552009,7,test
0.97183293,0.02816714,8,test
0.86467594,0.13532405,9,test
0.83489424,0.1651058,10,test
0.9387856,0.06121444,11,test
0.12307712,0.87692297,12,test
0.00077024224,0.9992298,13,test
0.9111668,0.08883322,14,test
0.9652667,0.034733318,15,test
0.051103693,0.94889635,16,test
0.443397,0.556603,17,test
0.002415975,0.997584,18,test
0.98265034,0.017349614,19,test
0.72010046,0.2798995,20,test
0.4019193,0.5980807,21,test
0.23707868,0.7629213,22,test
0.005619275,0.9943808,23,test
0.19250114,0.8074988,24,test
0.8418897,0.15811037,25,test
0.9459166,0.054083426,26,test
0.9761321,0.023867846,27,test
0.10017997,0.89982,28,test
0.045478567,0.9545214,29,test
0.86458963,0.13541037,30,test
0.7261589,0.2738411,31,test
0.035203654,0.96479636,32,test
0.9770858,0.022914235,33,test
0.81715804,0.18284199,34,test
0.736087,0.263913,35,test
0.102316365,0.8976837,36,test
0.91930234,0.080697685,37,test
0.008403897,0.99159616,38,test
0.9788248,0.021175185,39,test
0.34471533,0.65528464,40,test
0.001675081,0.99832493,41,test
0.10013406,0.8998659,42,test
0.022023588,0.9779764,43,test
0.013695209,0.98630476,44,test
0.7864368,0.21356325,45,test
0.22754358,0.7724564,46,test
0.31379786,0.6862021,47,test
0.04563418,0.9543658,48,test
0.016336419,0.98366356,49,test
0.94356287,0.056437068,50,test
0.037305236,0.9626947,51,test
0.99766254,0.0023374087,52,test
0.9844475,0.015552493,53,test
0.048282254,0.9517178,54,test
0.0020156328,0.9979843,55,test
0.82998306,0.17001699,56,test
0.8944671,0.10553291,57,test
0.5548957,0.4451043,58,test
0.87306494,0.12693503,59,test
0.6520965,0.3479035,60,test
0.9618308,0.038169187,61,test
0.966455,0.03354505,62,test
0.0018449909,0.99815494,63,test
0.41999948,0.5800005,64,test
0.06429788,0.93570215,65,test
0.106327474,0.8936725,66,test
0.029216014,0.97078395,67,test
0.99145234,0.008547701,68,test
0.9347899,0.065210104,69,test
0.09265021,0.9073498,70,test
0.17142087,0.8285791,71,test
0.012202489,0.98779756,72,test
0.8246672,0.17533277,73,test
0.007834169,0.9921658,74,test
0.10352079,0.89647925,75,test
0.038580675,0.96141934,76,test
0.37670338,0.6232966,77,test
0.99049777,0.009502197,78,test
0.99305,0.0069499887,79,test
0.007841088,0.9921589,80,test
0.9775972,0.022402853,81,test
0.38570473,0.6142953,82,test
0.46070936,0.5392906,83,test
0.9853694,0.014630606,84,test
0.013657054,0.98634297,85,test
0.057533957,0.942466,86,test
0.12638132,0.87361866,87,test
0.069027536,0.9309724,88,test
0.9946313,0.0053687016,89,test
0.96041,0.039590035,90,test
0.71277267,0.2872273,91,test
0.21918535,0.78081465,92,test
0.030655188,0.9693448,93,test
0.028980663,0.9710193,94,test
0.020100681,0.9798993,95,test
0.041722048,0.95827794,96,test
0.06711872,0.93288124,97,test
0.99015605,0.009843938,98,test
0.003452762,0.9965473,99,test
0.87923765,0.12076232,100,test
0.99621034,0.0037897073,101,test
0.010185884,0.9898141,102,test
0.093293175,0.90670687,103,test
0.6495808,0.35041928,104,test
0.03490666,0.9650934,105,test
0.81628966,0.1837103,106,test
0.008970321,0.9910296,107,test
0.9213194,0.07868057,108,test
0.049478684,0.9505213,109,test
0.024125868,0.9758741,110,test
0.013555453,0.98644453,111,test
0.0038257318,0.9961743,112,test
0.780432,0.21956803,113,test
0.010435269,0.9895648,114,test
0.98886514,0.011134928,115,test
0.87587655,0.124123394,116,test
0.053663656,0.9463363,117,test
0.96848583,0.03151415,118,test
0.05308744,0.9469125,119,test
0.8138814,0.18611862,120,test
0.98428553,0.015714422,121,test
0.05266435,0.94733566,122,test
0.10093526,0.8990648,123,test
0.66565466,0.33434537,124,test
0.2104887,0.78951126,125,test
0.90981966,0.09018036,126,test
0.9370913,0.06290866,127,test
0.9885506,0.011449389,128,test
0.95837647,0.041623563,129,test
0.5502843,0.44971567,130,test
0.004502392,0.9954976,131,test
0.10937076,0.89062923,132,test
0.1431353,0.85686475,133,test
0.84226745,0.15773252,134,test
0.9181237,0.0818763,135,test
0.92291105,0.077088974,136,test
0.8876909,0.11230906,137,test
0.013265734,0.9867343,138,test
0.44514707,0.55485296,139,test
0.0075263157,0.9924737,140,test
0.9080243,0.09197572,141,test
0.9203737,0.07962634,142,test
0.684127,0.31587303,143,test
0.011653841,0.98834616,144,test
0.010212981,0.989787,145,test
0.9936818,0.0063181953,146,test
0.0013113662,0.99868864,147,test
0.9817869,0.018213091,148,test
0.21244963,0.78755033,149,test
0.09596187,0.90403813,150,test
0.0050922227,0.9949078,151,test
0.03244175,0.96755826,152,test
0.991028,0.008972052,153,test
0.0066137626,0.9933862,154,test
0.046412006,0.953588,155,test
0.31684715,0.68315285,156,test
0.009573775,0.99042624,157,test
0.9635854,0.036414664,158,test
0.9977064,0.0022936088,159,test
0.08527632,0.9147237,160,test
0.8178316,0.18216842,161,test
0.008666006,0.991334,162,test
0.042135004,0.957865,163,test
0.88205606,0.11794392,164,test
0.9837398,0.016260222,165,test
0.0025883312,0.99741167,166,test
0.0240979,0.97590214,167,test
0.021047553,0.9789524,168,test
0.77858293,0.22141704,169,test
0.0099909725,0.99000907,170,test
0.15993604,0.8400639,171,test
0.6645165,0.33548352,172,test
0.95045215,0.04954787,173,test
0.79568213,0.20431785,174,test
0.009361655,0.9906384,175,test
0.7560192,0.24398085,176,test
0.34078735,0.65921265,177,test
0.89738244,0.10261759,178,test
0.014718687,0.9852813,179,test
0.9601661,0.03983393,180,test
0.9879439,0.012056097,181,test
0.067371584,0.9326284,182,test
0.93890065,0.06109928,183,test
0.21476778,0.7852322,184,test
0.9697506,0.030249415,185,test
0.006731139,0.9932688,186,test
0.90669245,0.09330752,187,test
0.38845977,0.6115402,188,test
0.96873605,0.03126398,189,test
0.07766164,0.9223383,190,test
0.6281986,0.37180135,191,test
0.04617438,0.9538256,192,test
0.14137223,0.8586278,193,test
0.0125680715,0.9874319,194,test
0.96946365,0.030536411,195,test
0.83239156,0.16760847,196,test
0.9520459,0.047954075,197,test
0.9692165,0.030783419,198,test
0.6848666,0.3151334,199,test
0.059363432,0.9406366,200,test
0.9186169,0.081383176,201,test
0.0036037555,0.99639624,202,test
0.52768785,0.47231218,203,test
0.0068996875,0.9931003,204,test
0.97795254,0.022047509,205,test
0.20763767,0.7923623,206,test
0.5157085,0.48429155,207,test
0.0034128814,0.99658716,208,test
0.96146464,0.038535397,209,test
0.96455884,0.03544113,210,test
0.84150946,0.15849058,211,test
0.1852085,0.81479156,212,test
0.99217975,0.007820198,213,test
0.88459116,0.11540886,214,test
0.0035926297,0.99640733,215,test
0.5735554,0.42644462,216,test
0.76669425,0.23330572,217,test
0.0029134692,0.9970866,218,test
0.32285762,0.6771424,219,test
0.0038974804,0.9961026,220,test
0.26536465,0.73463535,221,test
0.005387628,0.99461234,222,test
0.25342518,0.7465748,223,test
0.93496,0.065040015,224,test
0.98801816,0.011981877,225,test
0.0147717735,0.9852283,226,test
0.010163074,0.989837,227,test
0.050528787,0.94947124,228,test
0.052771986,0.9472281,229,test
0.9827393,0.01726071,230,test
0.043329075,0.9566709,231,test
0.016141236,0.98385876,232,test
0.007693885,0.9923062,233,test
0.1392011,0.86079895,234,test
0.99415994,0.005840046,235,test
0.43455833,0.56544167,236,test
0.034759432,0.9652406,237,test
0.99176204,0.008237984,238,test
0.06930163,0.9306984,239,test
0.88962907,0.11037086,240,test
0.07255036,0.9274497,241,test
0.01714838,0.9828516,242,test
0.03278492,0.96721506,243,test
0.98426926,0.015730761,244,test
0.9787652,0.02123475,245,test
0.9587554,0.041244674,246,test
0.94830644,0.05169355,247,test
0.097877555,0.9021225,248,test
0.56910527,0.4308948,249,test
0.016164336,0.9838357,250,test
0.040874064,0.959126,251,test
0.0053796694,0.9946203,252,test
0.902879,0.097121,253,test
0.016928127,0.98307186,254,test
0.98519486,0.014805177,255,test
0.36648765,0.6335123,256,test
0.012001561,0.9879985,257,test
0.99477684,0.0052231876,258,test
0.031807393,0.96819264,259,test
0.9486654,0.051334646,260,test
0.0386627,0.96133727,261,test
0.12644495,0.87355506,262,test
0.8946863,0.10531373,263,test
0.19945364,0.80054635,264,test
0.051667415,0.9483326,265,test
0.9489474,0.051052555,266,test
0.023050005,0.97694993,267,test
0.013113493,0.98688644,268,test
0.13150127,0.86849874,269,test
0.010875308,0.98912466,270,test
0.48270947,0.51729053,271,test
0.1348367,0.8651633,272,test
0.06566678,0.9343332,273,test
0.13973248,0.8602675,274,test
0.9939534,0.006046591,275,test
0.09605807,0.9039419,276,test
0.060325235,0.93967474,277,test
0.036656648,0.9633434,278,test
0.07627679,0.9237233,279,test
0.0043880325,0.9956119,280,test
0.13342683,0.8665732,281,test
0.26399425,0.7360058,282,test
0.8899312,0.110068776,283,test
0.9618933,0.03810675,284,test
0.8230836,0.17691635,285,test
0.9788488,0.021151144,286,test
0.97772527,0.022274794,287,test
0.014593973,0.98540604,288,test
0.20287134,0.7971286,289,test
0.92997307,0.07002692,290,test
0.5287097,0.47129026,291,test
0.0028827938,0.99711716,292,test
0.9929202,0.0070798234,293,test
0.011936992,0.98806304,294,test
0.7488509,0.25114912,295,test
0.873319,0.12668096,296,test
0.9213844,0.07861555,297,test
0.13742675,0.86257327,298,test
0.09442128,0.9055788,299,test
0.9742072,0.025792783,300,test
0.96140635,0.03859368,301,test
0.94233775,0.057662196,302,test
0.0055386387,0.9944614,303,test
0.0017961183,0.9982039,304,test
0.9086529,0.09134715,305,test
0.13880272,0.86119723,306,test
0.06019524,0.93980473,307,test
0.43321177,0.56678826,308,test
0.97677577,0.023224266,309,test
0.98266083,0.017339196,310,test
0.036138713,0.9638613,311,test
0.004542906,0.99545705,312,test
0.01098252,0.9890175,313,test
0.8107738,0.1892262,314,test
0.98941004,0.010589967,315,test
0.10907333,0.89092666,316,test
0.054085914,0.94591403,317,test
0.010151827,0.9898482,318,test
0.95438087,0.04561917,319,test
0.0030688173,0.9969312,320,test
0.93300915,0.06699081,321,test
0.0055080666,0.99449193,322,test
0.029372241,0.9706278,323,test
0.05232997,0.94767,324,test
0.9497151,0.05028496,325,test
0.007997995,0.992002,326,test
0.034784254,0.96521574,327,test
0.017602658,0.9823973,328,test
0.99146503,0.008535013,329,test
0.88817126,0.111828744,330,test
0.671979,0.328021,331,test
0.9313097,0.06869036,332,test
0.8701836,0.12981646,333,test
0.95659333,0.043406658,334,test
0.92992365,0.07007633,0,validation
0.064872205,0.9351278,1,validation
0.8000717,0.19992827,2,validation
0.26026282,0.7397372,3,validation
0.01280587,0.9871941,4,validation
0.9760265,0.023973536,5,validation
0.89189386,0.10810613,6,validation
0.99548507,0.004514959,7,validation
0.8874475,0.1125525,8,validation
0.013620413,0.98637956,9,validation
0.73163843,0.26836157,10,validation
0.1455017,0.85449827,11,validation
0.028353645,0.97164637,12,validation
0.0702993,0.92970073,13,validation
0.030744515,0.9692555,14,validation
