0,1,identifier,split
0.966132,0.033868074,0,test
0.9644893,0.035510667,1,test
0.0065374314,0.99346256,2,test
0.00413871,0.99586135,3,test
0.971254,0.028746061,4,test
0.96982276,0.030177264,5,test
0.20150815,0.79849184,6,test
0.9354931,0.06450693,7,test
0.0048968727,0.9951031,8,test
0.0050498876,0.99495006,9,test
0.95620894,0.04379109,10,test
0.0038640758,0.9961359,11,test
0.0051514646,0.9948486,12,test
0.9729951,0.027004898,13,test
0.03476915,0.9652308,14,test
0.9486828,0.051317252,15,test
0.005047183,0.9949528,16,test
0.71285796,0.28714204,17,test
0.008905734,0.9910943,18,test
0.9664893,0.03351072,19,test
0.9653917,0.034608286,20,test
0.008091193,0.9919087,21,test
0.003672045,0.99632794,22,test
0.0026606014,0.9973394,23,test
0.97055423,0.029445784,24,test
0.0035273214,0.99647266,25,test
0.0029200658,0.9970799,26,test
0.008069561,0.9919304,27,test
0.96835047,0.03164956,28,test
0.8937797,0.106220305,29,test
0.01969989,0.98030007,30,test
0.9715423,0.028457727,31,test
0.8631344,0.13686559,32,test
0.008689678,0.99131036,33,test
0.0044027097,0.9955973,34,test
0.020321423,0.97967863,35,test
0.0072525116,0.9927475,36,test
0.94763255,0.052367486,37,test
0.094307326,0.9056927,38,test
0.0028166187,0.9971834,39,test
0.9779709,0.022029147,40,test
0.003952083,0.9960479,41,test
0.1527952,0.84720486,42,test
0.020166302,0.97983366,43,test
0.91066027,0.08933975,44,test
0.9662611,0.0337389,45,test
0.8391801,0.16081987,46,test
0.9732001,0.026799973,47,test
0.972938,0.02706198,48,test
0.004096366,0.9959037,49,test
0.93480676,0.065193206,50,test
0.0031637615,0.9968362,51,test
0.97350603,0.026493967,52,test
0.9454848,0.054515142,53,test
0.8997959,0.10020412,54,test
0.006057827,0.9939422,55,test
0.0036396545,0.99636036,56,test
0.9479044,0.052095555,57,test
0.0084710615,0.99152887,58,test
0.9597846,0.04021539,59,test
0.9534599,0.046540033,60,test
0.97197086,0.028029129,61,test
0.95328766,0.04671242,62,test
0.9709298,0.02907028,63,test
0.039704796,0.9602952,64,test
0.0031125676,0.9968874,65,test
0.97538495,0.024615094,66,test
0.0724156,0.9275844,67,test
0.003060363,0.99693966,68,test
0.9755037,0.024496319,69,test
0.969681,0.030318966,70,test
0.9457204,0.05427961,71,test
0.91983294,0.080167,72,test
0.972875,0.027124953,73,test
0.30710617,0.69289386,74,test
0.001789258,0.9982108,75,test
0.9782736,0.021726407,76,test
0.96174985,0.03825022,77,test
0.0055003357,0.9944997,78,test
