0,1,identifier,split
0.98215485,0.017845178,0,test
0.9687997,0.031200325,1,test
0.050878547,0.9491215,2,test
0.017912932,0.98208714,3,test
0.98922926,0.010770734,4,test
0.99408627,0.005913777,5,test
0.29472908,0.70527095,6,test
0.7543419,0.24565808,7,test
0.024434634,0.97556543,8,test
0.04803277,0.95196724,9,test
0.97005445,0.02994549,10,test
0.008778992,0.99122095,11,test
0.018787429,0.98121256,12,test
0.9841988,0.015801148,13,test
0.14748093,0.85251904,14,test
0.8321227,0.16787735,15,test
0.01212427,0.9878757,16,test
0.38171187,0.6182881,17,test
0.02321651,0.9767835,18,test
0.99329114,0.0067088245,19,test
0.9856193,0.014380625,20,test
0.08292104,0.9170789,21,test
0.01741188,0.9825881,22,test
0.012624003,0.987376,23,test
0.98273563,0.01726434,24,test
0.017480332,0.98251975,25,test
0.011047314,0.98895264,26,test
0.042349838,0.9576501,27,test
0.99076957,0.009230496,28,test
0.8637667,0.13623333,29,test
0.10145224,0.8985477,30,test
0.97640073,0.023599273,31,test
0.70268464,0.29731533,32,test
0.013417022,0.98658293,33,test
0.032568526,0.9674315,34,test
0.06500833,0.9349917,35,test
0.05056105,0.9494389,36,test
0.9718768,0.028123138,37,test
0.1799988,0.8200012,38,test
0.0063732327,0.99362683,39,test
0.9948624,0.0051376317,40,test
0.019098591,0.9809014,41,test
0.27485365,0.7251464,42,test
0.06426155,0.93573844,43,test
0.86575085,0.13424917,44,test
0.9909532,0.0090468,45,test
0.5763056,0.4236944,46,test
0.9960603,0.0039396314,47,test
0.9978855,0.0021144717,48,test
0.01072125,0.98927873,49,test
0.8398409,0.16015911,50,test
0.013428981,0.986571,51,test
0.9875187,0.012481347,52,test
0.94167507,0.058324996,53,test
0.8899479,0.11005205,54,test
0.02909493,0.97090507,55,test
0.013503896,0.98649603,56,test
0.9412442,0.058755796,57,test
0.023919737,0.9760803,58,test
0.96110564,0.038894333,59,test
0.89855534,0.101444684,60,test
0.995387,0.004613035,61,test
0.9417388,0.058261197,62,test
0.948817,0.05118303,63,test
0.1547243,0.8452757,64,test
0.015545799,0.9844542,65,test
0.99555016,0.004449869,66,test
0.317708,0.68229204,67,test
0.011266796,0.9887332,68,test
0.97863346,0.021366514,69,test
0.98480123,0.015198723,70,test
0.8466869,0.15331306,71,test
0.8835869,0.11641305,72,test
0.9853042,0.014695837,73,test
0.4933965,0.50660354,74,test
0.01892467,0.98107535,75,test
0.9766069,0.023393044,76,test
0.97406614,0.025933906,77,test
0.01551567,0.9844844,78,test
0.93817747,0.06182249,79,test
0.6722055,0.32779446,80,test
0.10947377,0.8905262,81,test
0.1418069,0.85819304,82,test
0.07268348,0.9273165,83,test
0.96290123,0.037098747,84,test
0.67932326,0.3206767,85,test
0.08302708,0.91697294,86,test
0.84830534,0.1516947,87,test
0.015903048,0.984097,88,test
0.21080601,0.789194,89,test
0.5510204,0.44897962,90,test
0.007972849,0.9920271,91,test
0.91035146,0.08964859,92,test
0.9947377,0.0052623698,93,test
0.9891567,0.0108432975,94,test
0.0830685,0.91693145,95,test
0.9567036,0.043296315,96,test
0.9817877,0.018212333,97,test
0.9764612,0.023538874,98,test
0.032251112,0.9677489,99,test
0.116002955,0.8839971,100,test
0.009829196,0.9901708,101,test
0.11596976,0.8840302,102,test
0.9722403,0.027759695,103,test
0.9924736,0.007526479,104,test
0.7498236,0.25017646,105,test
0.9802039,0.019796027,106,test
0.8864834,0.11351658,107,test
0.80177724,0.19822279,108,test
0.021981692,0.97801834,109,test
0.99401397,0.005986076,110,test
0.09953753,0.9004625,111,test
0.014037424,0.98596257,112,test
0.16710843,0.8328915,113,test
0.9972517,0.0027482754,114,test
0.006056635,0.9939434,115,test
0.38922915,0.6107709,116,test
0.14561766,0.85438234,117,test
0.022739183,0.97726077,118,test
0.011029086,0.988971,119,test
0.9935638,0.006436224,120,test
0.02978112,0.97021896,121,test
0.03373374,0.9662663,122,test
0.0390345,0.9609655,123,test
0.01131481,0.98868513,124,test
0.99321955,0.0067804325,125,test
0.8166443,0.18335569,126,test
0.015051082,0.98494893,127,test
0.9859119,0.014088072,128,test
0.025170451,0.97482955,129,test
0.13834758,0.8616524,130,test
0.97529536,0.024704617,131,test
0.010920462,0.98907954,132,test
0.020655459,0.97934455,133,test
0.0154167265,0.98458326,134,test
0.68080896,0.31919104,135,test
0.97884834,0.02115166,136,test
0.8238234,0.17617661,137,test
0.96883595,0.031164084,138,test
0.012682296,0.98731774,139,test
0.014835001,0.985165,140,test
0.9921496,0.007850405,141,test
0.4050795,0.5949205,142,test
0.9091174,0.090882584,143,test
0.0098827155,0.99011725,144,test
0.9757121,0.024287917,145,test
0.8740296,0.12597047,146,test
0.96535426,0.034645684,147,test
0.015724434,0.98427564,148,test
0.007971672,0.9920283,149,test
0.13860454,0.8613954,150,test
0.024151767,0.9758482,151,test
0.9615847,0.038415365,152,test
0.95420337,0.045796577,153,test
0.022485353,0.9775146,154,test
0.013662451,0.9863376,155,test
0.22267538,0.7773247,156,test
0.7506599,0.24934013,157,test
0.10235784,0.8976422,158,test
0.60248977,0.39751023,159,test
0.9829465,0.017053477,160,test
0.012608471,0.98739153,161,test
0.962911,0.03708898,162,test
0.16768853,0.83231145,163,test
0.4141684,0.58583164,164,test
0.09281315,0.90718687,165,test
0.98862714,0.011372866,166,test
0.9929542,0.0070458646,167,test
0.025393901,0.9746061,168,test
0.9868738,0.013126187,169,test
0.99116206,0.008837927,170,test
0.0075523425,0.9924476,171,test
0.009223182,0.9907768,172,test
0.94308794,0.05691202,173,test
0.022519883,0.9774801,174,test
0.06740163,0.9325984,175,test
0.92447084,0.07552917,176,test
0.96825624,0.03174381,177,test
0.99705577,0.0029442231,178,test
0.014326347,0.9856736,179,test
0.88966906,0.11033089,180,test
0.7947932,0.20520678,181,test
0.98884726,0.011152751,182,test
0.013097909,0.9869021,183,test
0.10112554,0.8988744,184,test
0.27939478,0.7206052,185,test
0.06713322,0.9328668,186,test
0.01841585,0.98158413,187,test
0.9890904,0.01090959,188,test
0.9843897,0.015610282,189,test
0.012086309,0.98791367,190,test
0.8094228,0.19057716,191,test
0.037358463,0.9626416,192,test
0.99413645,0.005863492,193,test
0.073706634,0.9262934,194,test
0.040987294,0.95901275,195,test
0.97387755,0.026122482,196,test
0.99288696,0.0071130954,197,test
0.022227287,0.97777265,198,test
0.011336696,0.98866326,199,test
0.6164015,0.3835985,200,test
0.69026244,0.3097376,201,test
0.9963025,0.0036974733,202,test
0.026775096,0.97322494,203,test
0.8417432,0.15825686,204,test
0.99328125,0.006718781,205,test
0.99235016,0.0076497747,206,test
0.960613,0.039386954,207,test
0.99765897,0.0023410367,208,test
0.0117362905,0.9882637,209,test
0.996897,0.003102986,210,test
0.038714606,0.9612854,211,test
0.11188539,0.8881146,212,test
0.5395092,0.4604908,213,test
0.8766925,0.123307526,214,test
0.010929422,0.98907053,215,test
0.01793625,0.9820638,216,test
0.95735884,0.04264113,217,test
0.9018106,0.098189436,218,test
0.13461407,0.8653859,219,test
0.024201136,0.97579885,220,test
0.80301756,0.19698244,221,test
0.19887412,0.8011258,222,test
0.94759816,0.052401792,223,test
0.73437107,0.26562893,224,test
0.8936466,0.106353424,225,test
0.9955947,0.0044053006,226,test
0.92768025,0.072319776,227,test
0.06785508,0.93214494,228,test
0.8411035,0.15889645,229,test
0.13467503,0.865325,230,test
0.042365953,0.95763403,231,test
0.9916807,0.008319373,232,test
0.9972102,0.0027898548,233,test
0.07110261,0.92889744,234,test
0.010170964,0.989829,235,test
0.009915322,0.99008465,236,test
0.99404705,0.005953005,237,test
0.010256925,0.98974305,238,test
0.98510057,0.014899406,239,test
0.029593699,0.97040623,240,test
0.81166536,0.1883346,241,test
0.013601354,0.98639864,242,test
0.37086272,0.6291373,243,test
0.023029452,0.97697055,244,test
0.13049038,0.86950964,245,test
0.963129,0.036870982,246,test
0.994179,0.005821047,247,test
0.44025835,0.5597417,248,test
0.0094752405,0.9905248,249,test
0.30035815,0.6996419,250,test
0.39028412,0.6097159,251,test
0.02648801,0.973512,252,test
0.8958185,0.10418152,253,test
0.9807967,0.019203257,254,test
0.018950384,0.9810496,255,test
0.010425184,0.98957485,256,test
0.9975077,0.002492302,257,test
0.010539106,0.9894609,258,test
0.0106462715,0.9893538,259,test
0.989876,0.010124054,260,test
0.9851435,0.014856544,261,test
0.7861537,0.21384633,262,test
0.97663486,0.02336512,263,test
0.046418842,0.9535812,264,test
0.30351916,0.6964808,265,test
0.9791445,0.02085556,266,test
0.009693802,0.99030614,267,test
0.57662565,0.42337433,268,test
0.85626,0.14374004,269,test
0.6946066,0.3053934,270,test
0.050994493,0.9490055,271,test
0.66592807,0.33407196,272,test
0.19915864,0.80084133,273,test
0.82886755,0.17113245,274,test
0.0119565185,0.9880435,275,test
0.9665077,0.03349237,276,test
0.99450064,0.0054993764,277,test
