0,1,identifier,split
0.99604464,0.003955375,0,test
0.9915643,0.00843573,1,test
0.00033429835,0.99966574,2,test
0.0006379268,0.99936205,3,test
0.99609524,0.003904725,4,test
0.9989813,0.0010186654,5,test
0.15872273,0.8412773,6,test
0.83768,0.16231997,7,test
0.00017171998,0.9998282,8,test
0.001080674,0.99891937,9,test
0.9835171,0.016482972,10,test
0.00022709143,0.99977297,11,test
0.00026901762,0.999731,12,test
0.9969813,0.0030186484,13,test
0.021873493,0.9781266,14,test
0.9428251,0.057174925,15,test
0.0001706027,0.9998294,16,test
0.42106938,0.5789307,17,test
0.00059148675,0.9994085,18,test
0.9926093,0.0073906556,19,test
0.9956896,0.0043104044,20,test
0.0002704508,0.9997296,21,test
0.00026247374,0.99973756,22,test
0.00020380711,0.9997962,23,test
0.9966922,0.0033078229,24,test
0.00019084357,0.9998092,25,test
0.00026905682,0.9997309,26,test
0.00025268423,0.99974734,27,test
0.99656904,0.0034309078,28,test
0.9694295,0.030570539,29,test
0.0012747998,0.99872524,30,test
0.9978126,0.0021873156,31,test
0.7730441,0.22695589,32,test
0.0014591034,0.9985409,33,test
0.00018950138,0.9998105,34,test
0.0036782662,0.9963218,35,test
0.00029654123,0.99970347,36,test
0.99072295,0.0092769805,37,test
0.07181166,0.9281883,38,test
0.00018259436,0.99981743,39,test
0.99761677,0.0023832072,40,test
0.00016369837,0.9998363,41,test
0.009349294,0.99065065,42,test
0.0006358457,0.9993642,43,test
0.9659691,0.0340309,44,test
0.99569017,0.004309893,45,test
0.83449364,0.16550633,46,test
0.99730253,0.0026974112,47,test
0.9992841,0.00071598816,48,test
0.0002973577,0.99970263,49,test
0.96619016,0.033809874,50,test
0.00020427832,0.99979573,51,test
0.9975896,0.0024104214,52,test
0.9826078,0.017392233,53,test
0.9851232,0.014876717,54,test
0.00023172355,0.9997683,55,test
0.0004699317,0.9995301,56,test
0.8668082,0.13319184,57,test
0.02314914,0.97685087,58,test
0.99209315,0.00790679,59,test
0.96690494,0.033095133,60,test
0.99891925,0.0010807614,61,test
0.97804093,0.021959113,62,test
0.99429363,0.0057063075,63,test
0.033172544,0.96682745,64,test
0.00037907387,0.9996209,65,test
0.99854517,0.0014549071,66,test
0.011506164,0.98849386,67,test
0.00011654044,0.9998834,68,test
0.99876535,0.0012346809,69,test
0.9986601,0.0013398916,70,test
0.9717532,0.028246814,71,test
0.9499167,0.05008329,72,test
0.99197996,0.008020058,73,test
0.013702781,0.98629725,74,test
0.00025777702,0.9997422,75,test
0.9954406,0.0045593367,76,test
0.9896769,0.010323084,77,test
0.0001321658,0.9998678,78,test
0.9754318,0.024568254,79,test
0.70732754,0.2926725,80,test
0.032845873,0.9671541,81,test
0.013437514,0.98656255,82,test
0.000306021,0.999694,83,test
0.99656385,0.0034361945,84,test
0.97356886,0.026431127,85,test
0.030406438,0.9695935,86,test
0.9587669,0.04123311,87,test
0.00023801849,0.999762,88,test
0.088190466,0.91180956,89,test
0.6952384,0.30476162,90,test
0.0003949369,0.9996051,91,test
0.99663144,0.003368554,92,test
0.9989353,0.0010646735,93,test
0.9972452,0.0027548647,94,test
0.00032635863,0.9996736,95,test
0.9748034,0.025196651,96,test
0.9943474,0.005652651,97,test
0.99047893,0.00952102,98,test
0.00013047933,0.99986947,99,test
0.0013689928,0.99863094,100,test
0.00021324714,0.9997868,101,test
0.0008211021,0.9991788,102,test
0.991089,0.008910953,103,test
0.99810565,0.0018943379,104,test
0.9132369,0.08676304,105,test
0.9920012,0.007998844,106,test
0.57234794,0.4276521,107,test
0.7118751,0.28812495,108,test
0.00018557328,0.99981445,109,test
0.9973501,0.002649859,110,test
0.0005988736,0.9994011,111,test
0.00016541586,0.99983454,112,test
0.057008665,0.9429914,113,test
0.9981299,0.0018701019,114,test
0.0003401458,0.9996599,115,test
0.0037153312,0.9962846,116,test
0.00090420636,0.9990958,117,test
0.00025007085,0.99974996,118,test
0.00020693346,0.9997931,119,test
0.9989748,0.0010251815,120,test
0.00016197305,0.999838,121,test
0.00030573463,0.99969435,122,test
0.00054134143,0.9994586,123,test
0.00017053437,0.9998294,124,test
0.9978059,0.0021940575,125,test
0.82597023,0.17402977,126,test
0.0001548809,0.99984515,127,test
0.99583924,0.0041608354,128,test
0.00013037349,0.9998696,129,test
0.0033083132,0.9966917,130,test
0.9980495,0.0019504506,131,test
0.00019723184,0.99980277,132,test
0.00013869283,0.99986124,133,test
