0,1,identifier,split
0.9825081,0.017491862,0,test
0.97268164,0.027318386,1,test
0.019069405,0.98093057,2,test
0.008444141,0.9915558,3,test
0.9734379,0.026562108,4,test
0.9812744,0.018725563,5,test
0.1991803,0.8008197,6,test
0.9131564,0.08684362,7,test
0.007386907,0.9926131,8,test
0.043339558,0.95666045,9,test
0.9740259,0.025974143,10,test
0.010360047,0.98964,11,test
0.0107425125,0.9892575,12,test
0.9800791,0.019920887,13,test
0.10672152,0.8932784,14,test
0.881789,0.118210964,15,test
0.0101478165,0.98985213,16,test
0.5126807,0.4873193,17,test
0.040423606,0.95957637,18,test
0.9840714,0.015928596,19,test
0.9727538,0.027246118,20,test
0.016760869,0.9832392,21,test
0.010631871,0.98936814,22,test
0.008654318,0.99134576,23,test
0.9760753,0.023924727,24,test
0.007815313,0.9921847,25,test
0.007310781,0.9926892,26,test
0.011681895,0.98831815,27,test
0.97340333,0.026596703,28,test
0.9308689,0.06913113,29,test
0.042334683,0.9576653,30,test
0.97376585,0.026234183,31,test
0.79343265,0.20656735,32,test
0.06492084,0.93507916,33,test
0.007867895,0.9921321,34,test
0.055145968,0.9448541,35,test
0.01330196,0.9866981,36,test
0.92448217,0.07551778,37,test
0.18575172,0.81424826,38,test
0.010686213,0.9893138,39,test
0.9882811,0.011718915,40,test
0.0126631325,0.98733693,41,test
0.12826647,0.87173355,42,test
0.13869208,0.86130786,43,test
0.83806103,0.16193898,44,test
0.9516871,0.048312914,45,test
0.72204435,0.27795565,46,test
0.9889677,0.011032269,47,test
0.98452836,0.015471592,48,test
0.008603338,0.9913967,49,test
0.9076105,0.09238957,50,test
0.010926382,0.9890736,51,test
0.9774621,0.022537967,52,test
0.9603227,0.039677322,53,test
0.91673535,0.08326464,54,test
0.015551501,0.98444855,55,test
0.008428984,0.99157107,56,test
0.90189517,0.09810485,57,test
0.022180209,0.97781974,58,test
0.92941296,0.0705871,59,test
0.94817334,0.05182666,60,test
0.9852888,0.014711186,61,test
0.92953753,0.070462435,62,test
0.97708374,0.022916285,63,test
0.094894335,0.90510565,64,test
0.005425716,0.99457437,65,test
0.98101085,0.018989105,66,test
0.14767264,0.8523274,67,test
0.017442454,0.9825576,68,test
0.9915175,0.008482451,69,test
0.9857729,0.014227046,70,test
0.94026595,0.059734073,71,test
0.8771749,0.12282508,72,test
0.9793043,0.020695752,73,test
0.5815922,0.41840777,74,test
0.00836469,0.9916353,75,test
0.9807544,0.019245652,76,test
0.9776897,0.022310331,77,test
0.009428021,0.9905719,78,test
0.9776159,0.022384094,79,test
0.8553307,0.14466925,80,test
0.12212113,0.87787884,81,test
0.13325037,0.8667496,82,test
0.08470557,0.91529447,83,test
0.979673,0.020326918,84,test
0.88715684,0.11284321,85,test
0.070034534,0.92996544,86,test
0.8683676,0.13163236,87,test
0.008759661,0.9912403,88,test
0.18036635,0.81963366,89,test
0.8531872,0.1468128,90,test
0.0077619464,0.9922381,91,test
0.96797055,0.032029465,92,test
0.9825585,0.017441472,93,test
