0,1,identifier,split
0.995063,0.0049369945,0,test
0.9956494,0.0043505947,1,test
0.0075549777,0.99244505,2,test
0.00052105956,0.999479,3,test
0.9943514,0.005648584,4,test
0.99569356,0.0043063625,5,test
0.05863395,0.9413661,6,test
0.9111482,0.08885179,7,test
0.0006888903,0.9993111,8,test
0.0032890455,0.9967109,9,test
0.9857597,0.014240314,10,test
0.00026128572,0.99973875,11,test
0.0005399326,0.99946004,12,test
0.9958467,0.0041533215,13,test
0.003907887,0.99609214,14,test
0.96678436,0.033215627,15,test
0.000502189,0.9994978,16,test
0.57571995,0.42428002,17,test
0.003266535,0.99673355,18,test
0.99674547,0.0032545433,19,test
0.9966145,0.0033854865,20,test
0.0010331459,0.9989668,21,test
0.00049893,0.9995011,22,test
0.00027733762,0.99972266,23,test
0.9920499,0.007950109,24,test
0.0011892455,0.99881077,25,test
0.00018207349,0.9998179,26,test
0.009167596,0.9908324,27,test
0.99858487,0.0014151346,28,test
0.975438,0.024561992,29,test
0.021568371,0.97843164,30,test
0.99274844,0.0072515714,31,test
0.81580746,0.18419251,32,test
0.002021627,0.9979784,33,test
0.001221179,0.99877876,34,test
0.004174106,0.9958259,35,test
0.0016643258,0.99833566,36,test
0.98258144,0.017418623,37,test
0.29908776,0.7009123,38,test
0.00034771705,0.99965227,39,test
0.9979169,0.002083153,40,test
0.0007232601,0.9992767,41,test
0.1653262,0.8346738,42,test
0.03667477,0.9633252,43,test
0.97472805,0.025271963,44,test
0.9910863,0.008913717,45,test
0.7972854,0.20271465,46,test
0.9959422,0.004057848,47,test
0.9955189,0.004481027,48,test
0.00052616326,0.99947387,49,test
0.96984553,0.030154482,50,test
0.00041156882,0.99958843,51,test
0.99613404,0.00386597,52,test
0.9786983,0.021301676,53,test
0.9747259,0.02527416,54,test
0.0053311205,0.9946689,55,test
0.0006195726,0.99938035,56,test
0.9957527,0.0042473692,57,test
0.0013097647,0.9986902,58,test
0.9861087,0.013891291,59,test
0.9574633,0.042536717,60,test
0.99965537,0.0003446642,61,test
0.96881986,0.031180168,62,test
0.99295384,0.0070461812,63,test
0.005181344,0.9948186,64,test
0.0004891302,0.9995109,65,test
0.9985006,0.0014994264,66,test
0.020689502,0.97931045,67,test
0.0015759697,0.99842405,68,test
0.9993969,0.0006030342,69,test
0.9948618,0.005138197,70,test
0.9551669,0.04483317,71,test
0.9707692,0.029230844,72,test
0.99588495,0.0041150735,73,test
0.49498042,0.5050196,74,test
0.0010818569,0.9989182,75,test
0.9889676,0.011032462,76,test
0.9889231,0.011077007,77,test
0.0004098061,0.9995902,78,test
0.99297756,0.0070224544,79,test
0.8777952,0.12220471,80,test
0.03611328,0.96388674,81,test
0.6276644,0.37233558,82,test
0.0073816674,0.9926184,83,test
0.9942384,0.005761618,84,test
0.9530187,0.04698134,85,test
0.021363385,0.9786366,86,test
0.9803018,0.019698216,87,test
0.0019959488,0.998004,88,test
0.020808192,0.97919184,89,test
0.79830056,0.20169936,90,test
0.00016237324,0.99983764,91,test
0.9357937,0.06420629,92,test
0.9997938,0.00020614336,93,test
0.99557376,0.004426222,94,test
0.0039341007,0.9960659,95,test
0.99301744,0.0069825263,96,test
0.99392444,0.0060755173,97,test
0.9952063,0.004793686,98,test
0.0026282396,0.9973718,99,test
0.025149925,0.97485006,100,test
0.0017087593,0.9982912,101,test
0.0029184932,0.99708146,102,test
0.9961428,0.0038572208,103,test
0.9973748,0.0026252437,104,test
0.6722524,0.32774758,105,test
0.99120975,0.008790311,106,test
0.8476165,0.15238349,107,test
0.62623566,0.37376437,108,test
0.0020043785,0.9979956,109,test
0.99462044,0.0053795855,110,test
0.0030265083,0.9969735,111,test
0.001609876,0.9983902,112,test
0.048517045,0.951483,113,test
0.99875927,0.0012407263,114,test
0.000207548,0.9997925,115,test
0.21098155,0.7890185,116,test
0.031267267,0.9687327,117,test
0.0020423913,0.9979576,118,test
0.00075239653,0.99924767,119,test
0.9986174,0.0013825274,120,test
0.0032369539,0.996763,121,test
0.0012207971,0.99877924,122,test
0.004241136,0.99575883,123,test
0.0007223909,0.99927765,124,test
0.9981838,0.0018161831,125,test
0.97368795,0.026312036,126,test
0.0016369373,0.9983631,127,test
0.9983341,0.0016659225,128,test
0.0049558124,0.99504423,129,test
0.7125217,0.28747833,130,test
0.9980107,0.00198937,131,test
0.00017839287,0.9998216,132,test
0.0012333011,0.9987668,133,test
0.0013696894,0.9986303,134,test
0.9674326,0.032567374,135,test
0.9971757,0.0028243368,136,test
0.96764106,0.03235898,137,test
0.9955978,0.0044022505,138,test
0.0025954987,0.9974045,139,test
0.00035013637,0.9996499,140,test
0.9969151,0.0030848666,141,test
0.17545742,0.82454264,142,test
0.9936651,0.0063349106,143,test
0.00043031562,0.9995697,144,test
0.9946502,0.005349844,145,test
0.9476292,0.052370757,146,test
0.99261636,0.007383599,147,test
0.0039804988,0.99601954,148,test
0.0006819668,0.999318,149,test
0.007416853,0.99258316,150,test
0.0069661136,0.9930339,151,test
0.99523807,0.004761884,152,test
0.99448663,0.0055133984,153,test
0.0024753143,0.9975247,154,test
0.00056020834,0.9994398,155,test
0.61231,0.38769004,156,test
0.9940896,0.0059104273,157,test
0.25695258,0.7430474,158,test
0.35722688,0.6427731,159,test
0.999199,0.0008010032,160,test
0.0011319979,0.998868,161,test
0.99544287,0.0045570824,162,test
0.3735766,0.62642336,163,test
0.9462682,0.053731762,164,test
0.009241906,0.99075806,165,test
0.9988772,0.0011227749,166,test
0.9996166,0.0003832914,167,test
0.0019329764,0.9980671,168,test
0.99437344,0.0056265183,169,test
0.9951775,0.004822485,170,test
0.00026094288,0.999739,171,test
0.0011402469,0.99885976,172,test
0.9950181,0.004981866,173,test
0.0057892627,0.9942107,174,test
0.011143604,0.9888564,175,test
0.9951692,0.0048307716,176,test
0.9946291,0.005370935,177,test
0.99867624,0.0013237896,178,test
0.0022303574,0.9977697,179,test
0.9837609,0.01623903,180,test
0.9558069,0.044193037,181,test
0.99851114,0.0014887926,182,test
0.0006752914,0.9993247,183,test
