0,1,identifier,split
0.99174225,0.008257716,0,test
0.9765661,0.023433903,1,test
0.11414707,0.88585293,2,test
0.005077396,0.9949226,3,test
0.98500776,0.014992212,4,test
0.9866247,0.013375283,5,test
0.08778225,0.9122177,6,test
0.78192127,0.2180787,7,test
0.00842696,0.9915731,8,test
0.032289367,0.9677106,9,test
0.9613096,0.03869036,10,test
0.0026460362,0.99735403,11,test
0.0031585298,0.99684143,12,test
0.9645098,0.03549022,13,test
0.03760489,0.9623951,14,test
0.7587156,0.24128436,15,test
0.00465606,0.99534386,16,test
0.63738203,0.362618,17,test
0.026546353,0.97345364,18,test
0.9724047,0.027595295,19,test
0.98692816,0.013071824,20,test
0.015571152,0.9844289,21,test
0.0075202556,0.9924798,22,test
0.0028269526,0.9971731,23,test
0.96955556,0.030444447,24,test
0.04319422,0.95680577,25,test
0.014241385,0.98575866,26,test
0.017126413,0.9828736,27,test
0.99628013,0.00371992,28,test
0.9664351,0.033564884,29,test
0.06440772,0.93559223,30,test
0.9906544,0.009345531,31,test
0.7585963,0.24140374,32,test
0.056915794,0.94308424,33,test
0.0042783446,0.9957216,34,test
0.021310937,0.978689,35,test
0.009582208,0.9904178,36,test
0.8985569,0.10144314,37,test
0.5470993,0.45290074,38,test
0.0024200827,0.99757993,39,test
0.9894098,0.010590185,40,test
0.00787784,0.9921221,41,test
0.2448704,0.75512964,42,test
0.15774295,0.842257,43,test
0.8695917,0.13040823,44,test
0.9429568,0.05704323,45,test
0.6164597,0.3835403,46,test
0.99141335,0.008586626,47,test
0.9803569,0.019643119,48,test
0.008423466,0.9915766,49,test
0.8631087,0.13689129,50,test
0.006431238,0.9935688,51,test
0.97817105,0.021828985,52,test
0.9730241,0.026975952,53,test
0.9006383,0.09936173,54,test
0.020669917,0.9793301,55,test
0.0127058895,0.98729414,56,test
0.55874205,0.4412579,57,test
0.010354583,0.9896455,58,test
0.9843975,0.015602524,59,test
0.9321758,0.067824215,60,test
0.9917529,0.0082470495,61,test
0.9269268,0.073073134,62,test
0.9745204,0.025479643,63,test
0.017907044,0.982093,64,test
0.009200642,0.99079937,65,test
0.9852013,0.014798667,66,test
0.14566272,0.8543373,67,test
0.008762497,0.9912375,68,test
0.99549496,0.00450509,69,test
0.98741364,0.012586347,70,test
0.7490281,0.25097194,71,test
0.8730138,0.12698622,72,test
0.9843797,0.015620286,73,test
0.5360226,0.46397743,74,test
0.004887576,0.9951125,75,test
0.989725,0.010275006,76,test
0.97716767,0.022832341,77,test
0.00800332,0.9919967,78,test
0.9688692,0.031130843,79,test
0.8822946,0.11770548,80,test
0.19506407,0.8049359,81,test
0.8218583,0.17814176,82,test
0.040193845,0.95980614,83,test
0.9917646,0.008235417,84,test
0.85895354,0.14104651,85,test
0.16539323,0.8346068,86,test
0.9076179,0.09238202,87,test
0.004684636,0.9953153,88,test
0.06813591,0.9318641,89,test
0.45785275,0.5421472,90,test
0.002287739,0.99771225,91,test
0.87347084,0.12652914,92,test
0.99316025,0.006839753,93,test
0.98902684,0.01097318,94,test
0.021574883,0.97842515,95,test
0.935387,0.06461299,96,test
0.97975826,0.020241732,97,test
0.9616979,0.03830215,98,test
0.018034143,0.98196584,99,test
0.11531822,0.88468176,100,test
0.010279919,0.98972005,101,test
0.013081943,0.98691803,102,test
0.9745029,0.025497036,103,test
0.99240655,0.0075934264,104,test
0.5644979,0.4355021,105,test
0.9807953,0.019204646,106,test
0.8471359,0.15286414,107,test
0.48894984,0.5110502,108,test
0.0043188445,0.99568117,109,test
0.9828955,0.017104475,110,test
0.021764334,0.9782357,111,test
0.011936368,0.98806363,112,test
0.40574825,0.59425175,113,test
0.9719782,0.028021865,114,test
0.004332773,0.9956672,115,test
0.5440663,0.4559337,116,test
0.13837303,0.861627,117,test
0.012361004,0.98763907,118,test
0.0056965547,0.99430346,119,test
0.9949622,0.005037734,120,test
0.021201637,0.97879833,121,test
0.0069007524,0.9930992,122,test
0.023731073,0.9762689,123,test
0.0059016612,0.9940983,124,test
0.98099846,0.019001558,125,test
0.854492,0.145508,126,test
0.012498118,0.98750186,127,test
0.9547679,0.045232084,128,test
0.036714725,0.96328527,129,test
0.5961407,0.40385935,130,test
0.9959409,0.0040591434,131,test
0.0041568633,0.9958431,132,test
0.01427809,0.98572195,133,test
0.011732044,0.98826796,134,test
0.77162313,0.22837691,135,test
0.9936287,0.0063713333,136,test
0.88411736,0.11588267,137,test
0.9788305,0.021169487,138,test
0.013263337,0.9867367,139,test
0.0076280683,0.9923719,140,test
0.9808224,0.01917758,141,test
0.59751016,0.40248984,142,test
0.98824537,0.011754616,143,test
0.0071718516,0.9928282,144,test
0.9851046,0.014895367,145,test
0.91468775,0.085312255,146,test
0.9307862,0.06921387,147,test
0.021976862,0.9780231,148,test
0.005839814,0.9941602,149,test
0.046884313,0.95311564,150,test
0.12067175,0.87932825,151,test
0.9733406,0.026659466,152,test
0.95691437,0.04308565,153,test
0.010235501,0.98976445,154,test
0.006760501,0.9932395,155,test
0.61333644,0.38666356,156,test
0.9490568,0.05094312,157,test
0.3041403,0.6958597,158,test
0.43948427,0.56051576,159,test
0.99385613,0.0061438843,160,test
0.011531057,0.98846895,161,test
0.9830839,0.016916038,162,test
0.64938784,0.35061213,163,test
0.74732554,0.25267446,164,test
0.08357887,0.9164211,165,test
0.9915631,0.00843691,166,test
0.97839135,0.021608714,167,test
0.018671721,0.98132825,168,test
0.9855157,0.014484304,169,test
0.9868283,0.013171715,170,test
0.006582069,0.993418,171,test
0.009914349,0.9900857,172,test
0.9473557,0.05264432,173,test
0.009942584,0.9900574,174,test
0.08706864,0.9129314,175,test
0.9908579,0.009142115,176,test
0.97027147,0.029728496,177,test
0.9914649,0.008535053,178,test
0.007262764,0.99273723,179,test
0.71744466,0.28255537,180,test
0.81055343,0.18944654,181,test
0.9712205,0.028779563,182,test
0.013260092,0.9867399,183,test
0.34134287,0.65865713,184,test
0.11614224,0.8838577,185,test
0.032008283,0.96799165,186,test
0.056335155,0.9436649,187,test
0.9874126,0.012587366,188,test
0.9770562,0.022943838,189,test
0.009646713,0.9903532,190,test
0.8685981,0.13140191,191,test
0.04150094,0.958499,192,test
0.9910994,0.008900576,193,test
0.067002974,0.93299705,194,test
0.041039385,0.95896065,195,test
0.991067,0.008932989,196,test
0.91768247,0.08231754,197,test
0.024591358,0.9754087,198,test
0.0054401653,0.9945598,199,test
0.56269956,0.4373004,200,test
0.76356393,0.2364361,201,test
0.9908119,0.009188057,202,test
0.0035016562,0.99649835,203,test
0.76642066,0.23357938,204,test
0.98647213,0.013527821,205,test
0.97816354,0.02183649,206,test
0.9820033,0.017996725,207,test
0.996915,0.0030850163,208,test
0.0047916477,0.9952083,209,test
0.98280555,0.017194483,210,test
0.030491106,0.9695089,211,test
0.009599601,0.9904004,212,test
0.68139005,0.31860995,213,test
0.8142313,0.18576874,214,test
0.0040353015,0.99596465,215,test
0.018469447,0.9815306,216,test
0.9491508,0.050849233,217,test
0.81039035,0.18960962,218,test
0.018164322,0.9818357,219,test
0.020836445,0.9791636,220,test
0.94096303,0.05903697,221,test
0.03565246,0.9643476,222,test
0.8791765,0.120823465,223,test
0.6583227,0.34167728,224,test
0.81304294,0.18695703,225,test
0.9894723,0.010527706,226,test
0.95730203,0.042697977,227,test
0.0077702138,0.99222976,228,test
0.93817085,0.061829142,229,test
0.053167682,0.94683236,230,test
0.017951844,0.98204815,231,test
0.9537552,0.04624481,232,test
0.90877104,0.091228954,233,test
0.010918824,0.98908114,234,test
0.0096596,0.9903404,235,test
0.0051121744,0.9948879,236,test
0.99105597,0.008944031,237,test
0.0074742856,0.9925257,238,test
0.98233896,0.017661,239,test
0.0385762,0.96142375,240,test
0.89403015,0.10596983,241,test
0.0065847132,0.99341524,242,test
0.44242427,0.5575757,243,test
0.0051622526,0.9948377,244,test
0.06472021,0.93527985,245,test
0.945453,0.054546982,246,test
0.9778627,0.02213734,247,test
0.37445733,0.62554264,248,test
0.0033807403,0.9966192,249,test
0.26816857,0.73183143,250,test
0.38476074,0.61523926,251,test
0.04362637,0.9563736,252,test
0.6579815,0.34201846,253,test
0.8993325,0.100667454,254,test
0.008351367,0.9916487,255,test
0.0023628676,0.99763715,256,test
0.99288106,0.0071188766,257,test
0.011583366,0.9884166,258,test
0.0065785507,0.9934215,259,test
0.94960594,0.050394055,260,test
0.986743,0.013256986,261,test
0.5658011,0.43419892,262,test
0.9812773,0.018722655,263,test
0.0772467,0.9227533,264,test
0.38271585,0.6172842,265,test
0.9586379,0.041362062,266,test
0.012386638,0.9876133,267,test
0.6553798,0.3446203,268,test
0.8023757,0.19762431,269,test
0.72774965,0.27225035,270,test
0.047922906,0.95207715,271,test
0.7355593,0.26444066,272,test
0.0660701,0.9339299,273,test
0.93472093,0.06527906,274,test
0.013214537,0.9867855,275,test
0.94661194,0.05338805,276,test
0.9935074,0.006492571,277,test
0.44413286,0.55586714,278,test
0.9422275,0.057772506,279,test
0.20384017,0.7961598,280,test
0.94859344,0.05140656,281,test
0.9898046,0.010195355,282,test
0.97224665,0.027753377,283,test
0.015306225,0.98469377,284,test
0.029879691,0.9701203,285,test
0.9102736,0.08972646,286,test
0.96473867,0.035261337,287,test
0.9884558,0.01154424,288,test
0.9899771,0.010022907,289,test
0.8666913,0.13330865,290,test
0.001387503,0.9986125,291,test
0.020261122,0.97973895,292,test
0.01906649,0.98093355,293,test
0.544107,0.455893,294,test
0.021316908,0.9786831,295,test
0.98278093,0.017219119,296,test
0.063564226,0.9364357,297,test
0.95602554,0.04397447,298,test
0.0059935506,0.9940064,299,test
0.6340707,0.3659293,300,test
0.012881744,0.98711824,301,test
0.00975015,0.9902498,302,test
0.993009,0.006991096,303,test
0.0043756426,0.99562436,304,test
0.014107371,0.9858926,305,test
0.07811637,0.9218836,306,test
0.011380326,0.9886197,307,test
0.17313106,0.8268689,308,test
0.81966573,0.18033434,309,test
0.91277105,0.087228894,310,test
0.9907218,0.009278133,311,test
0.9164212,0.08357882,312,test
0.99144495,0.0085550295,313,test
0.97736573,0.022634232,314,test
0.9764973,0.023502665,315,test
0.8947909,0.1052091,316,test
0.010664248,0.98933583,317,test
0.9638822,0.03611784,318,test
0.0018819621,0.99811804,319,test
0.007101665,0.99289834,320,test
0.90775484,0.092245094,321,test
0.08184352,0.91815645,322,test
0.06149272,0.93850726,323,test
0.94271266,0.05728737,324,test
0.15457316,0.8454268,325,test
0.16254413,0.83745587,326,test
0.0042629302,0.9957371,327,test
