0,1,identifier,split
0.9912758,0.008724159,0,test
0.9879701,0.012029892,1,test
0.01551972,0.9844803,2,test
0.009092801,0.9909072,3,test
0.99441636,0.005583596,4,test
0.9940976,0.005902434,5,test
0.20179734,0.7982027,6,test
0.8704165,0.12958345,7,test
0.004903639,0.9950964,8,test
0.022729555,0.9772704,9,test
0.9673507,0.0326493,10,test
0.0064752926,0.9935247,11,test
0.0055038817,0.99449617,12,test
0.9940627,0.005937246,13,test
0.04641959,0.95358044,14,test
0.90542346,0.09457651,15,test
0.0058929264,0.9941071,16,test
0.7887666,0.21123339,17,test
0.025839696,0.97416025,18,test
0.9878405,0.0121595245,19,test
0.992494,0.0075060404,20,test
0.015032488,0.9849675,21,test
0.0063682273,0.9936318,22,test
0.0063053775,0.9936946,23,test
0.99363893,0.0063610114,24,test
0.00670226,0.99329776,25,test
0.005521747,0.9944782,26,test
0.017460398,0.98253965,27,test
0.99434364,0.0056563453,28,test
0.9567288,0.043271143,29,test
0.062391736,0.9376083,30,test
0.99329656,0.0067034666,31,test
0.7389581,0.2610419,32,test
0.0399173,0.96008265,33,test
0.013185742,0.98681426,34,test
0.029364036,0.970636,35,test
0.008806729,0.99119323,36,test
0.9635544,0.03644563,37,test
0.16676755,0.83323246,38,test
0.0053631943,0.99463683,39,test
0.993238,0.0067620613,40,test
0.0074566053,0.99254346,41,test
0.27350056,0.7264994,42,test
0.045870833,0.95412916,43,test
0.827859,0.17214105,44,test
0.96471125,0.035288814,45,test
0.8303697,0.16963032,46,test
0.9955375,0.0044625616,47,test
0.9957041,0.0042958413,48,test
0.0064320234,0.993568,49,test
0.971885,0.028114945,50,test
0.004492629,0.99550736,51,test
0.98971575,0.010284198,52,test
0.9578194,0.042180624,53,test
0.9084194,0.09158062,54,test
0.011275691,0.9887243,55,test
0.007530732,0.99246925,56,test
0.981987,0.018013058,57,test
0.021946402,0.97805357,58,test
0.9909603,0.0090397205,59,test
0.9563366,0.043663345,60,test
0.9965802,0.0034198686,61,test
0.9703369,0.029663075,62,test
0.9660506,0.033949345,63,test
0.08597488,0.9140251,64,test
0.009447859,0.9905522,65,test
0.9966035,0.0033965562,66,test
0.120731644,0.87926835,67,test
0.0107306605,0.9892693,68,test
0.9966355,0.0033645255,69,test
0.9859191,0.014080921,70,test
0.983761,0.016238993,71,test
0.9599574,0.04004263,72,test
0.99370766,0.006292326,73,test
0.42352986,0.57647014,74,test
0.006303376,0.99369663,75,test
0.99373156,0.006268459,76,test
0.9919527,0.008047282,77,test
0.021018451,0.97898155,78,test
0.9858385,0.014161497,79,test
0.79493636,0.20506363,80,test
0.08844206,0.9115579,81,test
0.33717823,0.6628218,82,test
0.030067058,0.969933,83,test
0.9965701,0.0034298762,84,test
0.884376,0.11562403,85,test
0.033128962,0.966871,86,test
0.94448584,0.055514164,87,test
0.009066409,0.99093366,88,test
0.077514544,0.9224855,89,test
0.45471284,0.54528713,90,test
0.014016319,0.98598367,91,test
0.984486,0.015513986,92,test
0.99472624,0.005273734,93,test
0.9957526,0.00424748,94,test
0.01872369,0.9812763,95,test
0.9468821,0.053117856,96,test
0.97458935,0.02541064,97,test
0.9873166,0.012683393,98,test
0.021177473,0.9788225,99,test
0.051238034,0.948762,100,test
0.009827062,0.99017286,101,test
0.029942634,0.97005737,102,test
0.9925684,0.0074316114,103,test
0.9940848,0.0059152166,104,test
0.8068118,0.19318815,105,test
0.9854982,0.014501774,106,test
0.8528788,0.14712119,107,test
0.858077,0.14192298,108,test
0.006395598,0.99360436,109,test
0.99249834,0.0075016073,110,test
0.056468092,0.9435319,111,test
0.0071148737,0.99288505,112,test
0.1423751,0.85762495,113,test
0.9944935,0.0055065416,114,test
0.0055388035,0.9944612,115,test
0.41310814,0.5868919,116,test
0.11416998,0.88583,117,test
0.008321553,0.9916785,118,test
0.007527957,0.99247205,119,test
0.9966798,0.00332027,120,test
0.015566028,0.98443395,121,test
0.010065417,0.9899346,122,test
0.019688511,0.9803115,123,test
0.0051181708,0.99488187,124,test
0.9937688,0.0062312568,125,test
0.5627063,0.43729368,126,test
0.0049739704,0.99502605,127,test
0.9888067,0.011193311,128,test
0.0071922694,0.99280775,129,test
0.2678652,0.7321348,130,test
0.99549943,0.004500567,131,test
0.0059452383,0.99405473,132,test
0.007582769,0.9924172,133,test
0.008864314,0.9911357,134,test
0.7397491,0.260251,135,test
0.97681594,0.02318402,136,test
0.9443588,0.055641145,137,test
0.98390085,0.016099134,138,test
0.009672381,0.99032766,139,test
0.0071312464,0.9928687,140,test
0.98599434,0.014005661,141,test
0.35323694,0.646763,142,test
0.984868,0.015132029,143,test
0.0044759163,0.99552405,144,test
0.99198264,0.008017366,145,test
0.9169223,0.083077796,146,test
0.99059474,0.009405274,147,test
0.007660153,0.99233985,148,test
0.0099217985,0.9900782,149,test
0.04004346,0.9599565,150,test
0.014715915,0.9852841,151,test
0.9751654,0.024834532,152,test
0.9659566,0.034043334,153,test
0.004701216,0.9952988,154,test
0.0060574794,0.99394256,155,test
0.7017836,0.2982164,156,test
0.95968163,0.04031839,157,test
0.09330662,0.90669334,158,test
0.37497655,0.6250235,159,test
0.99450475,0.0054952544,160,test
0.012556509,0.9874435,161,test
0.9954236,0.004576357,162,test
0.039298497,0.96070147,163,test
0.71721286,0.28278714,164,test
0.062302314,0.9376977,165,test
0.994693,0.00530701,166,test
0.9895778,0.010422208,167,test
0.0092163505,0.9907836,168,test
0.9942484,0.005751612,169,test
0.98848814,0.011511811,170,test
0.009121491,0.9908785,171,test
0.004453125,0.9955468,172,test
0.9357631,0.06423691,173,test
0.020096704,0.9799033,174,test
0.0449366,0.95506334,175,test
0.9665328,0.033467114,176,test
0.9847921,0.01520787,177,test
0.99416983,0.005830149,178,test
0.00529308,0.9947069,179,test
0.9681835,0.031816468,180,test
0.884083,0.11591702,181,test
0.9927717,0.0072283274,182,test
0.0053274,0.9946726,183,test
0.06284091,0.93715906,184,test
0.11700224,0.8829978,185,test
0.013554057,0.98644596,186,test
0.020282662,0.9797173,187,test
0.9947626,0.00523748,188,test
0.99440116,0.005598833,189,test
0.0061896215,0.99381036,190,test
0.91826963,0.08173042,191,test
0.04868397,0.95131606,192,test
0.99654335,0.0034566827,193,test
0.03874344,0.96125656,194,test
0.062585376,0.9374146,195,test
0.9860833,0.013916617,196,test
0.9921445,0.007855394,197,test
0.006187481,0.99381244,198,test
0.008507835,0.9914922,199,test
0.75793064,0.24206941,200,test
0.63223696,0.36776304,201,test
0.99537814,0.0046218755,202,test
0.004749138,0.9952508,203,test
0.8655741,0.1344259,204,test
0.99353564,0.0064643286,205,test
0.98695046,0.013049512,206,test
0.9873143,0.012685736,207,test
0.99206173,0.007938337,208,test
0.010937105,0.98906285,209,test
0.9925956,0.0074044373,210,test
0.009938206,0.99006176,211,test
0.063701995,0.93629795,212,test
0.6979501,0.30204988,213,test
0.77654976,0.22345024,214,test
0.0075896364,0.9924104,215,test
0.0088176,0.99118245,216,test
0.97368544,0.02631451,217,test
0.96535826,0.034641765,218,test
0.047788072,0.9522119,219,test
0.008348488,0.9916515,220,test
0.95888805,0.041111946,221,test
0.04290657,0.9570934,222,test
0.9298784,0.070121616,223,test
0.73426163,0.2657384,224,test
0.9464304,0.053569634,225,test
0.99401915,0.005980829,226,test
0.9734138,0.026586128,227,test
0.03153531,0.96846473,228,test
0.98322105,0.016778952,229,test
0.07643129,0.92356867,230,test
0.010335237,0.98966473,231,test
0.9945905,0.005409485,232,test
0.9931379,0.0068620713,233,test
0.04789009,0.9521099,234,test
0.004206874,0.9957931,235,test
0.0077506504,0.99224937,236,test
0.9927947,0.007205343,237,test
0.005586936,0.9944131,238,test
0.98920095,0.010799106,239,test
0.031117944,0.9688821,240,test
0.8035849,0.1964151,241,test
0.0070572863,0.9929427,242,test
0.24464156,0.7553584,243,test
0.007322907,0.9926771,244,test
0.043882485,0.9561175,245,test
0.98607105,0.013928911,246,test
0.9941229,0.0058770888,247,test
0.3320302,0.6679698,248,test
0.005139645,0.99486035,249,test
0.22226444,0.77773553,250,test
0.14399011,0.85600984,251,test
0.02683187,0.97316813,252,test
0.84536546,0.15463452,253,test
0.98978245,0.010217558,254,test
0.009994868,0.9900051,255,test
0.00484967,0.9951504,256,test
0.9964541,0.003545885,257,test
0.008831747,0.99116826,258,test
0.007791462,0.9922085,259,test
0.99655056,0.0034494596,260,test
0.98049104,0.019508878,261,test
0.62327015,0.37672988,262,test
0.9942286,0.005771366,263,test
0.016227614,0.98377234,264,test
0.09974623,0.9002538,265,test
0.97303456,0.026965432,266,test
0.007621964,0.992378,267,test
0.48569304,0.51430696,268,test
0.9188354,0.08116461,269,test
0.78227043,0.21772958,270,test
0.019691937,0.98030806,271,test
0.5624001,0.43759987,272,test
0.043568168,0.9564318,273,test
0.94904673,0.050953295,274,test
0.0047199978,0.99528,275,test
0.97335196,0.026648067,276,test
0.99235326,0.0076468117,277,test
0.55898273,0.44101727,278,test
0.70702547,0.2929745,279,test
0.13051277,0.86948717,280,test
0.9880167,0.01198322,281,test
0.99520373,0.0047962526,282,test
0.994179,0.0058210413,283,test
0.024862854,0.9751372,284,test
0.0043413267,0.99565876,285,test
0.97015506,0.029844915,286,test
0.9885084,0.011491546,287,test
0.9937391,0.0062608677,288,test
0.9961151,0.0038849527,289,test
0.8647463,0.13525365,290,test
0.0035083115,0.99649173,291,test
0.03790758,0.9620924,292,test
0.009045069,0.99095494,293,test
0.7502675,0.2497325,294,test
0.042710893,0.95728916,295,test
0.99157727,0.008422673,296,test
0.035868064,0.9641319,297,test
0.9924583,0.00754166,298,test
0.009739323,0.99026066,299,test
0.7332146,0.2667854,300,test
0.013239308,0.98676074,301,test
0.015594148,0.9844059,302,test
0.9938432,0.006156793,303,test
0.009087437,0.99091256,304,test
0.013834252,0.98616576,305,test
0.050426677,0.94957334,306,test
0.006276207,0.9937238,307,test
0.31448767,0.68551236,308,test
0.8959284,0.10407163,309,test
0.987344,0.012655998,310,test
0.98894054,0.011059459,311,test
0.97834355,0.02165649,312,test
0.9862563,0.013743711,313,test
0.992886,0.007114022,314,test
0.9658274,0.03417255,315,test
0.9750412,0.024958778,316,test
0.015641138,0.9843589,317,test
0.9599527,0.040047266,318,test
0.004163855,0.99583614,319,test
0.009286298,0.9907137,320,test
0.99568766,0.004312349,321,test
0.017376935,0.9826231,322,test
0.008212294,0.99178773,323,test
0.9652457,0.03475423,324,test
0.17683315,0.8231668,325,test
0.03266291,0.9673371,326,test
0.0033196372,0.9966804,327,test
0.40670854,0.59329146,328,test
0.9855984,0.014401661,329,test
0.946549,0.053450983,330,test
0.99055636,0.00944357,331,test
0.01618373,0.98381627,332,test
0.7754159,0.22458409,333,test
0.20851053,0.79148954,334,test
0.003484179,0.99651575,335,test
0.13751528,0.8624847,336,test
0.9418219,0.058178052,337,test
0.28132758,0.7186724,338,test
0.023577796,0.9764222,339,test
0.9828471,0.017152922,340,test
0.0035886425,0.9964114,341,test
0.9363372,0.0636629,342,test
0.00577923,0.99422085,343,test
0.17206883,0.8279312,344,test
0.95540863,0.04459138,345,test
0.02582694,0.97417307,346,test
0.99066776,0.009332257,347,test
0.9891906,0.01080944,348,test
0.034167986,0.965832,349,test
0.9881764,0.011823584,350,test
0.99273646,0.0072636204,351,test
0.0048911674,0.9951088,352,test
0.03184049,0.96815944,353,test
0.9118983,0.088101745,354,test
0.062388208,0.93761176,355,test
0.99451494,0.005485041,356,test
0.021933362,0.9780667,357,test
0.99604505,0.003954892,358,test
0.07215216,0.9278478,359,test
0.9919775,0.0080224825,360,test
0.051553342,0.9484467,361,test
0.9605915,0.039408572,362,test
0.19734669,0.8026534,363,test
0.8181599,0.18184012,364,test
0.99256575,0.0074341865,365,test
0.9628282,0.037171822,366,test
0.004266105,0.9957339,367,test
0.9525157,0.047484253,368,test
0.014759064,0.9852409,369,test
0.9895363,0.010463644,370,test
0.035202682,0.9647973,371,test
0.9957052,0.0042947666,372,test
0.9181212,0.081878826,373,test
0.95913434,0.040865693,374,test
0.0040651713,0.99593484,375,test
0.72687507,0.27312487,376,test
0.03115029,0.9688497,377,test
0.99115455,0.008845415,378,test
0.9874249,0.012575129,379,test
0.0024092235,0.9975908,380,test
0.0029612407,0.99703884,381,test
0.0041461773,0.9958539,382,test
0.9943351,0.005664824,383,test
0.17320162,0.8267984,384,test
0.24419047,0.75580955,385,test
0.09519907,0.9048009,386,test
0.040002033,0.95999795,387,test
0.06642788,0.9335722,388,test
0.99636,0.0036400454,389,test
0.0060785157,0.9939215,390,test
0.034337156,0.96566284,391,test
0.005328269,0.99467176,392,test
0.9303871,0.069612876,393,test
0.23527384,0.76472616,394,test
0.97631186,0.023688216,395,test
0.9382641,0.06173597,396,test
0.8652152,0.13478485,397,test
0.06818522,0.93181485,398,test
0.94948554,0.05051442,399,test
0.9793968,0.020603156,400,test
0.005002128,0.99499786,401,test
0.012295012,0.987705,402,test
0.38815835,0.6118417,403,test
0.0043150284,0.995685,404,test
0.99398625,0.0060136886,405,test
0.010713834,0.98928624,406,test
0.9861444,0.013855614,407,test
0.9788584,0.02114156,408,test
0.013537835,0.9864622,409,test
0.9684427,0.031557277,410,test
0.8584457,0.14155431,411,test
0.9749953,0.025004752,412,test
0.9582375,0.041762486,413,test
0.99508554,0.0049144593,414,test
0.98736084,0.012639188,415,test
0.012814766,0.9871853,416,test
0.0055943374,0.9944056,417,test
0.9887056,0.011294398,418,test
0.99425185,0.005748161,419,test
0.99333644,0.0066636046,420,test
0.270446,0.729554,421,test
0.99263835,0.007361685,422,test
0.16639107,0.8336089,423,test
0.98152614,0.018473864,424,test
0.019354386,0.9806456,425,test
0.008726716,0.99127334,426,test
0.006005246,0.9939948,427,test
0.021786708,0.97821325,428,test
0.023416527,0.9765835,429,test
0.8824724,0.11752757,430,test
0.011764631,0.98823535,431,test
0.33667895,0.663321,432,test
0.0049236882,0.99507636,433,test
0.0057405815,0.99425936,434,test
0.71976805,0.28023192,435,test
0.08613849,0.9138615,436,test
0.99638844,0.0036115716,437,test
0.9944666,0.0055333986,438,test
0.043255944,0.956744,439,test
0.0063439785,0.99365604,440,test
0.994286,0.005713945,441,test
0.36109647,0.63890356,442,test
0.9844653,0.015534763,443,test
0.98229355,0.017706417,444,test
0.2590449,0.7409551,445,test
0.9945279,0.00547211,446,test
0.0061754733,0.9938245,447,test
0.091152295,0.9088477,448,test
0.00941154,0.9905884,449,test
0.0053848354,0.99461514,450,test
0.99278814,0.007211812,451,test
0.6057762,0.39422387,452,test
0.9938048,0.0061951913,453,test
0.98632705,0.013672941,454,test
0.2159305,0.7840695,455,test
0.9871313,0.0128687015,456,test
0.9927638,0.0072361743,457,test
0.04164339,0.9583567,458,test
0.0071230102,0.99287695,459,test
0.22236808,0.77763194,460,test
0.68869966,0.31130034,461,test
0.018953478,0.9810465,462,test
0.023434913,0.97656506,463,test
0.072053134,0.92794687,464,test
0.0036807046,0.9963193,465,test
0.0051905503,0.9948094,466,test
0.2707736,0.7292264,467,test
0.9521653,0.047834657,468,test
0.00291445,0.9970855,469,test
0.055669308,0.94433075,470,test
0.996268,0.0037320945,471,test
0.008855575,0.99114436,472,test
0.9157604,0.08423959,473,test
0.10512317,0.8948769,474,test
0.9679861,0.032013945,475,test
0.9314444,0.068555616,476,test
0.6483639,0.3516361,477,test
0.0059865583,0.9940135,478,test
0.99394566,0.0060544023,479,test
0.029782794,0.9702172,480,test
0.8086053,0.19139469,481,test
0.97790504,0.022095041,482,test
0.005498369,0.9945016,483,test
0.00602754,0.9939725,484,test
0.422371,0.577629,485,test
0.9952924,0.0047076107,486,test
0.99637884,0.0036211954,487,test
0.99132955,0.008670377,488,test
0.9887211,0.0112788975,489,test
0.005332392,0.99466765,490,test
0.9739203,0.026079744,491,test
0.035489965,0.96451,492,test
0.28544483,0.7145552,493,test
0.009150456,0.9908496,494,test
0.98814595,0.011854026,495,test
0.9868819,0.013118072,496,test
0.005521198,0.9944788,497,test
0.4024501,0.59754986,498,test
0.9939306,0.00606948,499,test
0.53462684,0.46537316,500,test
0.013777646,0.9862223,501,test
0.36843228,0.6315678,502,test
0.008289606,0.99171036,503,test
0.71070033,0.28929964,504,test
0.012542937,0.9874571,505,test
0.9972963,0.0027037738,506,test
0.96121645,0.0387836,507,test
0.9728592,0.027140789,508,test
0.9694137,0.030586263,509,test
0.043681897,0.9563181,510,test
0.99270576,0.0072942553,511,test
0.009295704,0.99070424,512,test
0.9912702,0.0087298555,513,test
0.99568695,0.0043130415,514,test
0.99786913,0.002130858,515,test
0.26351988,0.7364801,516,test
0.0061070365,0.993893,517,test
0.0144785335,0.9855215,518,test
0.9957367,0.00426324,519,test
0.9277096,0.07229041,520,test
0.0066976324,0.99330235,521,test
0.012754479,0.9872455,522,test
0.69296044,0.30703956,523,test
0.22158119,0.7784188,524,test
0.95154655,0.048453443,525,test
0.075397655,0.9246023,526,test
0.9927118,0.007288222,527,test
0.0039961142,0.9960039,528,test
0.99154484,0.008455128,529,test
0.00518306,0.99481696,530,test
0.98730576,0.012694255,531,test
0.09196379,0.9080362,532,test
0.99279153,0.0072084395,533,test
0.059000745,0.9409992,534,test
0.0036326733,0.99636734,535,test
