0,1,index,identifier,chunk,split
0.011545659,0.9884544,0,7538,0,test
0.99779177,0.0022082734,1,12502,0,test
0.0018108869,0.99818915,2,12960,0,test
0.0021312695,0.99786866,3,83,2,test
0.45209578,0.54790425,4,13032,0,test
0.9972023,0.0027977913,5,12339,0,test
0.0044942307,0.9955057,6,5440,0,test
0.0064985193,0.9935015,7,14488,0,test
0.9289677,0.071032315,8,18530,2,test
0.99729747,0.002702591,9,24702,0,test
0.002050732,0.9979493,10,20534,0,test
0.9969234,0.0030765822,11,9650,0,test
0.23539461,0.7646054,12,22488,0,test
0.9981482,0.0018517809,13,3172,0,test
0.99557436,0.004425623,14,13890,0,test
0.99588805,0.0041119657,15,9125,0,test
0.0061586895,0.9938413,16,20475,0,test
0.99430203,0.0056980136,17,9462,0,test
0.600159,0.39984098,18,8002,0,test
0.008579602,0.9914204,19,14177,0,test
0.93662274,0.063377246,20,20150,1,test
0.009308602,0.99069136,21,8363,0,test
0.99801683,0.001983216,22,1245,0,test
0.011301876,0.9886981,23,12076,1,test
0.9774614,0.02253863,24,24105,0,test
0.02772378,0.9722763,25,13985,0,test
0.9635399,0.03646018,26,10836,0,test
0.0038064283,0.9961935,27,5343,2,test
0.99841976,0.0015802757,28,10701,0,test
0.9857817,0.0142183015,29,3460,0,test
0.9045124,0.09548758,30,24307,0,test
0.99500656,0.0049934494,31,5493,1,test
0.98814666,0.011853413,32,18817,0,test
0.18640557,0.81359446,33,10613,0,test
0.8921607,0.107839316,34,23593,1,test
0.002853499,0.99714655,35,11800,0,test
0.9700542,0.029945813,36,6033,0,test
0.29499373,0.70500624,37,5805,0,test
0.9561487,0.04385127,38,7267,0,test
0.98351073,0.016489258,39,11198,0,test
0.99815124,0.0018486793,40,20426,0,test
0.9926322,0.007367715,41,14600,0,test
0.9898846,0.010115405,42,4826,0,test
0.006674749,0.99332523,43,16182,1,test
0.9944161,0.005583915,44,16234,0,test
0.99768,0.0023199748,45,7161,0,test
0.011777688,0.9882223,46,8112,0,test
0.99681926,0.0031806764,47,3231,0,test
0.99612254,0.0038774605,48,1450,0,test
0.011354428,0.98864555,49,15563,0,test
0.094023824,0.9059762,50,10392,0,test
0.9975477,0.0024523574,51,400,0,test
0.99742764,0.002572309,52,10768,0,test
0.9788892,0.02111081,53,17276,0,test
0.3963484,0.6036516,54,8059,0,test
0.004087769,0.99591225,55,8244,0,test
0.74810857,0.25189146,56,22348,1,test
0.9970319,0.0029680564,57,7365,0,test
0.99696666,0.003033408,58,13911,0,test
0.9681236,0.031876393,59,4124,1,test
0.98836666,0.011633373,60,1259,0,test
0.99756765,0.0024323747,61,645,0,test
0.10319235,0.8968077,62,8657,0,test
0.9663518,0.033648238,63,5358,3,test
0.057406597,0.9425934,64,14697,0,test
0.7980961,0.20190385,65,3931,0,test
0.003645034,0.99635494,66,18794,0,test
0.021849709,0.9781503,67,24439,0,test
0.9981408,0.0018592275,68,16765,0,test
0.9922288,0.0077711768,69,24986,0,test
0.0036431851,0.9963568,70,16139,0,test
0.0030210372,0.996979,71,9071,0,test
0.07366692,0.926333,72,10656,1,test
0.0055291806,0.99447083,73,2326,0,test
0.99715483,0.0028451164,74,24711,0,test
0.9980585,0.0019414916,75,12900,0,test
0.9652012,0.034798812,76,11428,0,test
0.9907732,0.009226829,77,12521,0,test
0.80037415,0.19962579,78,6672,0,test
0.16061483,0.83938515,79,19675,2,test
0.08385307,0.91614693,80,20812,0,test
0.99498355,0.0050164065,81,6125,0,test
0.48499128,0.5150087,82,21070,1,test
0.92947626,0.07052373,83,23739,0,test
0.9359506,0.06404942,84,21557,0,test
0.0020479476,0.99795204,85,18577,0,test
0.9909717,0.0090282615,86,17292,0,test
0.030674158,0.96932584,87,19691,0,test
0.033115022,0.966885,88,13044,0,test
0.9921061,0.007893971,89,8686,0,test
0.9895984,0.010401543,90,12158,0,test
0.98986036,0.010139683,91,11686,0,test
0.9803591,0.019640928,92,10043,0,test
0.9973278,0.0026721442,93,16376,0,test
0.99734807,0.0026519268,94,14116,0,test
0.9983972,0.0016027761,95,9777,0,test
0.043385398,0.9566146,96,24157,0,test
0.013181449,0.98681855,97,19280,0,test
0.25124863,0.7487514,98,2496,0,test
0.9959734,0.0040265643,99,3032,0,test
0.72700644,0.27299356,100,8899,0,test
0.003093197,0.9969068,101,1223,1,test
0.991676,0.008323961,102,5462,0,test
0.5707556,0.4292444,103,12396,0,test
0.99778336,0.002216628,104,8881,0,test
0.0072423196,0.9927577,105,24527,0,test
0.99566597,0.0043340735,106,9797,0,test
0.9904541,0.0095459595,107,11092,0,test
0.99681205,0.0031879295,108,24574,0,test
0.008648117,0.99135184,109,21445,0,test
0.013712372,0.9862876,110,4716,1,test
0.9968712,0.0031288858,111,3224,0,test
0.97095066,0.029049365,112,10199,0,test
0.013804657,0.9861953,113,10672,0,test
0.991447,0.008553028,114,21051,0,test
0.031860985,0.968139,115,11430,0,test
0.9801056,0.019894361,116,23103,0,test
0.99437547,0.0056245686,117,11133,0,test
0.94840026,0.05159969,118,6964,1,test
0.9969748,0.0030251532,119,5584,0,test
0.99408334,0.005916647,120,302,0,test
0.99737084,0.0026291623,121,2624,0,test
0.0028254595,0.9971745,122,7498,0,test
0.9930247,0.006975326,123,2086,0,test
0.008555645,0.9914444,124,13909,0,test
0.99720925,0.0027907128,125,1894,0,test
0.9978745,0.002125556,126,7299,0,test
0.012873627,0.9871264,127,8135,0,test
0.99800724,0.001992718,128,9793,0,test
0.9968906,0.0031094668,129,18886,0,test
0.7384199,0.26158005,130,19563,0,test
0.0030054403,0.9969946,131,1119,0,test
0.03401224,0.9659878,132,8666,0,test
0.013394192,0.9866058,133,12840,0,test
0.9834436,0.016556328,134,22813,0,test
0.0023751087,0.99762493,135,11510,0,test
