test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.94132,0.9406,0.0036348891828065933,2,37
0.94016,0.9408,0.00358314885785929,2,38
0.9446,0.9428,0.003623196489884443,2,39
0.9418,0.941,0.0036253068783227904,2,40
0.9354,0.931,0.0036450702342187653,1,41
0.94564,0.9396,0.003652058260474686,2,42
0.94444,0.9422,0.0036292067935072845,2,43
0.93144,0.931,0.0036550510041144712,1,44
0.93788,0.9336,0.0036278045999165592,2,45
0.94364,0.94,0.003717204869557385,2,46
