0,1,index,identifier,chunk,split
0.004468164,0.9955318,0,1511,0,test
0.5797852,0.42021477,1,1799,0,test
0.53388643,0.46611363,2,135,0,test
0.96480256,0.035197426,3,408,0,test
0.0065801204,0.9934198,4,1693,0,test
0.011604863,0.9883951,5,1740,0,test
0.98654747,0.013452612,6,289,0,test
0.9672045,0.032795504,7,1666,0,test
0.095763005,0.904237,8,757,0,test
0.9835137,0.016486298,9,879,0,test
0.9696362,0.030363731,10,551,0,test
0.010494497,0.98950547,11,339,0,test
0.99154353,0.008456427,12,453,0,test
0.010360796,0.98963916,13,1704,0,test
0.0026490665,0.99735093,14,669,0,test
0.073567905,0.9264321,15,1379,0,test
0.0062395,0.9937605,16,497,0,test
0.82742727,0.17257276,17,1394,0,test
0.19146334,0.80853665,18,561,0,test
0.004868092,0.99513197,19,1085,0,test
0.02314434,0.97685564,20,1202,0,test
0.5652171,0.4347829,21,270,0,test
0.0027481003,0.9972519,22,602,0,test
0.0063133417,0.9936866,23,220,0,test
0.21522163,0.78477836,24,1456,0,test
0.9371959,0.06280408,25,331,0,test
0.0040943124,0.99590564,26,307,0,test
0.031626545,0.9683735,27,462,0,test
0.9450477,0.05495231,28,1736,0,test
0.7985105,0.20148951,29,1599,0,test
0.005877075,0.9941229,30,109,0,test
0.088107705,0.91189235,31,1395,0,test
0.008762642,0.9912374,32,530,0,test
0.030673938,0.9693261,33,677,0,test
0.9622614,0.03773862,34,888,0,test
0.034647234,0.96535283,35,526,0,test
0.0027055074,0.9972945,36,620,0,test
0.0043831025,0.9956169,37,1541,0,test
0.92787,0.07213004,38,1107,0,test
0.002655132,0.9973449,39,535,0,test
0.017253917,0.9827461,40,1292,0,test
0.072913356,0.92708665,41,628,0,test
0.7250188,0.2749812,42,552,0,test
0.009671058,0.9903289,43,720,0,test
0.99245924,0.0075407433,44,1608,0,test
0.002847695,0.9971523,45,1657,0,test
0.94971293,0.050287146,46,1057,0,test
0.64162916,0.35837087,47,1381,0,test
0.023679933,0.97632,48,1343,0,test
0.0030251185,0.9969748,49,203,0,test
0.009907434,0.9900926,50,111,0,test
0.987823,0.012176949,51,583,0,test
0.62300444,0.3769956,52,1040,0,test
0.25646305,0.743537,53,1683,0,test
0.97467643,0.025323614,54,1422,0,test
0.89928013,0.10071992,55,29,0,test
0.0028688728,0.9971311,56,782,0,test
0.0033318393,0.99666816,57,973,0,test
0.0029006233,0.9970994,58,65,0,test
0.0441386,0.9558614,59,1328,0,test
0.9904274,0.009572619,60,1373,0,test
0.0031160673,0.9968839,61,1161,0,test
0.019139025,0.980861,62,1758,0,test
0.003009519,0.99699044,63,1461,0,test
0.9628615,0.03713849,64,188,0,test
0.003755849,0.9962442,65,427,0,test
0.050342966,0.949657,66,965,0,test
0.964101,0.035898976,67,298,0,test
0.002517017,0.99748296,68,382,0,test
0.38914734,0.6108526,69,1641,0,test
0.13908787,0.86091214,70,1470,0,test
0.87265944,0.12734057,71,932,0,test
0.99438936,0.005610616,72,1494,0,test
0.0028357182,0.9971643,73,1536,0,test
0.0036414515,0.9963586,74,1117,0,test
0.010357301,0.9896427,75,843,0,test
0.4370275,0.5629725,76,1083,0,test
0.008789505,0.99121046,77,1313,0,test
0.7450359,0.2549641,78,173,0,test
0.02235482,0.97764516,79,1319,0,test
0.030633703,0.9693663,80,756,0,test
0.96488804,0.035111956,81,374,0,test
0.8037719,0.19622807,82,1312,0,test
0.9717287,0.028271379,83,70,0,test
0.5123402,0.4876598,84,482,0,test
0.67380106,0.32619888,85,1075,0,test
0.0028458512,0.9971541,86,660,0,test
0.11722659,0.8827734,87,994,0,test
0.82775235,0.17224759,88,585,0,test
0.805833,0.19416702,89,544,0,test
0.74540085,0.25459912,90,1775,0,test
0.003697568,0.99630237,91,212,0,test
0.0035640192,0.996436,92,1033,0,test
0.27444375,0.72555625,93,1285,0,test
0.0032836727,0.9967163,94,962,0,test
0.021772316,0.97822773,95,439,0,test
0.024443453,0.97555655,96,1706,0,test
0.9354736,0.06452635,97,993,0,test
0.0078078546,0.9921922,98,1628,0,test
0.28746566,0.7125343,99,593,0,test
0.0027938639,0.99720615,100,23,0,test
0.8626902,0.1373098,101,910,0,test
0.14987533,0.8501247,102,485,0,test
0.9886785,0.011321437,103,1270,0,test
0.0027635403,0.9972365,104,1632,0,test
0.866554,0.13344592,105,350,0,test
0.93614006,0.06385991,106,1336,0,test
0.0033467265,0.99665326,107,1286,0,test
0.9639624,0.036037598,108,1557,0,test
0.0029672214,0.99703276,109,881,0,test
0.015683688,0.9843163,110,1640,0,test
0.0064279656,0.993572,111,892,0,test
0.0027741364,0.9972258,112,575,0,test
0.66772485,0.33227515,113,864,0,test
0.91544193,0.08455811,114,1298,0,test
0.61278504,0.387215,115,365,0,test
0.9021323,0.09786771,116,767,0,test
0.9828324,0.017167673,117,422,0,test
0.9467166,0.05328342,118,239,0,test
0.0027709354,0.99722904,119,478,0,test
0.005152166,0.9948479,120,1762,0,test
0.9920294,0.007970595,121,237,0,test
0.0031179849,0.9968821,122,722,0,test
0.982263,0.01773699,123,233,0,test
0.9120088,0.087991126,124,354,0,test
0.8736534,0.12634659,125,914,0,test
0.033169236,0.96683073,126,1113,0,test
0.9726811,0.027318899,127,527,0,test
0.0030866826,0.9969133,128,1047,0,test
0.3939026,0.60609734,129,874,0,test
0.021295698,0.97870433,130,1507,0,test
0.035308342,0.9646916,131,978,0,test
0.0028053524,0.99719465,132,614,0,test
0.0029239168,0.99707603,133,115,0,test
0.45376557,0.5462344,134,721,0,test
0.05853795,0.9414621,135,1488,0,test
0.7680744,0.23192565,136,1303,0,test
0.03810398,0.96189606,137,1730,0,test
0.0061094104,0.99389064,138,1164,0,test
0.069632374,0.93036765,139,394,0,test
0.10268138,0.8973186,140,752,0,test
0.0034606794,0.99653935,141,1301,0,test
0.49548772,0.5045123,142,1233,0,test
0.9006321,0.09936794,143,1145,0,test
0.6625981,0.33740196,144,438,0,test
0.12812294,0.871877,145,1004,0,test
0.662207,0.33779302,146,1569,0,test
0.052626584,0.94737345,147,1078,0,test
0.92568076,0.07431928,148,816,0,test
0.08335621,0.9166438,149,464,0,test
0.021873584,0.97812647,150,429,0,test
0.002648015,0.997352,151,124,0,test
0.0027567546,0.9972433,152,1179,0,test
0.93283474,0.06716522,153,1731,0,test
0.0029496762,0.9970503,154,49,0,test
0.0032307275,0.9967693,155,275,0,test
0.99438596,0.0056140437,156,1178,0,test
0.6958389,0.30416113,157,1746,0,test
0.2925094,0.70749056,158,251,0,test
0.97118574,0.028814247,159,1124,0,test
0.0027442519,0.99725574,160,1380,0,test
0.011453049,0.98854697,161,802,0,test
0.0059769466,0.994023,162,1287,0,test
0.00396491,0.99603516,163,943,0,test
0.1308627,0.8691373,164,344,0,test
0.98883075,0.011169265,165,303,0,test
0.018014487,0.98198545,166,1786,0,test
0.9591995,0.04080047,167,1653,0,test
0.0038495667,0.9961505,168,78,0,test
0.010924213,0.9890758,169,1778,0,test
0.0030883236,0.9969117,170,923,0,test
0.98440325,0.015596722,171,415,0,test
0.96013016,0.03986982,172,73,0,test
0.0029955348,0.99700445,173,1606,0,test
0.99274784,0.007252224,174,69,0,test
0.9892725,0.010727579,175,162,0,test
0.7985711,0.20142888,176,1700,0,test
0.04397651,0.9560235,177,1798,0,test
0.0028878658,0.99711215,178,1810,0,test
0.0115984,0.9884016,179,654,0,test
0.7486622,0.25133777,180,1245,0,test
0.47561926,0.52438074,181,898,0,test
0.8857229,0.11427713,182,1688,0,test
0.7540714,0.24592857,183,486,0,test
0.0047426787,0.9952573,184,480,0,test
0.01791149,0.9820885,185,322,0,test
0.9654614,0.034538627,186,414,0,test
0.8804109,0.11958913,187,76,0,test
0.67843235,0.32156768,188,1525,0,test
0.004680374,0.99531966,189,1138,0,test
0.9903066,0.009693359,190,799,0,test
0.0035742011,0.9964258,191,1326,0,test
0.6072835,0.39271656,192,342,0,test
0.9871996,0.012800459,193,1111,0,test
0.0028452748,0.9971547,194,909,0,test
0.01001828,0.9899817,195,1305,0,test
0.102042496,0.89795756,196,1240,0,test
0.016979951,0.98302,197,1034,0,test
0.98809344,0.011906526,198,210,0,test
0.02786099,0.972139,199,693,0,test
0.017487751,0.98251224,200,30,0,test
0.8349245,0.16507544,201,1182,0,test
0.96016496,0.039835032,202,1612,0,test
0.99282783,0.0071722083,203,785,0,test
0.92283654,0.07716346,204,1094,0,test
0.8193225,0.18067753,205,1747,0,test
0.00963768,0.99036235,206,1043,0,test
0.11030534,0.8896947,207,1414,0,test
0.0050918986,0.99490803,208,1431,0,test
0.010646226,0.9893538,209,99,0,test
0.0630482,0.93695176,210,1226,0,test
0.880113,0.11988701,211,479,0,test
0.029583352,0.9704167,212,607,0,test
0.1472439,0.85275614,213,609,0,test
0.002693152,0.9973068,214,367,0,test
0.0048215813,0.99517846,215,807,0,test
0.0060037207,0.99399626,216,168,0,test
0.013039918,0.98696005,217,966,0,test
0.004801062,0.9951989,218,1582,0,test
0.012082978,0.987917,219,305,0,test
0.0043895533,0.9956104,220,727,0,test
0.00554923,0.9944508,221,1748,0,test
0.010062186,0.9899378,222,1351,0,test
0.9846972,0.015302753,223,1516,0,test
0.023788244,0.9762117,224,1334,0,test
0.9712073,0.02879264,225,548,0,test
0.7298962,0.27010375,226,1385,0,test
0.58229214,0.4177079,227,32,0,test
0.992735,0.0072650267,228,704,0,test
0.05428858,0.94571143,229,1177,0,test
0.25429666,0.74570334,230,904,0,test
0.0054500736,0.99454993,231,998,0,test
0.0025526797,0.9974474,232,1754,0,test
0.87898856,0.121011436,233,952,0,test
0.0064531206,0.9935469,234,905,0,test
0.10370694,0.89629304,235,185,0,test
0.0025378377,0.99746215,236,809,0,test
0.0044150986,0.99558485,237,1005,0,test
0.003326093,0.99667394,238,700,0,test
0.0033049975,0.99669504,239,1103,0,test
0.3856214,0.61437863,240,44,0,test
0.0029686068,0.99703133,241,1531,0,test
0.0032014805,0.9967986,242,598,0,test
0.019093832,0.98090625,243,1403,0,test
0.9740192,0.02598078,244,247,0,test
0.97621673,0.023783274,245,196,0,test
0.94691014,0.053089797,246,921,0,test
0.0051947273,0.9948053,247,1027,0,test
0.7571382,0.24286184,248,254,0,test
0.9541957,0.045804296,249,59,0,test
0.9665118,0.033488173,250,1664,0,test
0.0028991671,0.9971008,251,1756,0,test
0.018992659,0.9810073,252,832,0,test
0.0027019458,0.99729806,253,1492,0,test
0.008203786,0.99179614,254,381,0,test
0.95788676,0.04211325,255,678,0,test
0.005398265,0.9946017,256,865,0,test
0.0073989676,0.992601,257,1471,0,test
0.0050557847,0.99494416,258,123,0,test
0.0079219835,0.992078,259,332,0,test
0.0050855493,0.9949144,260,1565,0,test
0.9637129,0.036287062,261,999,0,test
0.01066948,0.98933053,262,857,0,test
0.0579746,0.94202536,263,1168,0,test
0.9569278,0.043072216,264,351,0,test
0.86780405,0.13219598,265,834,0,test
0.89190507,0.10809492,266,1007,0,test
0.9893399,0.010660061,267,383,0,test
0.0025751085,0.99742496,268,1304,0,test
0.3691377,0.63086236,269,1568,0,test
0.006209067,0.9937909,270,1096,0,test
0.68730223,0.3126978,271,915,0,test
0.5678533,0.43214676,272,366,0,test
0.036120992,0.963879,273,67,0,test
0.91352326,0.08647678,274,1052,0,test
0.9892023,0.01079771,275,570,0,test
0.0035557346,0.9964443,276,1163,0,test
0.0036332428,0.99636674,277,1797,0,test
0.19085072,0.8091493,278,1283,0,test
0.36049372,0.6395063,279,1036,0,test
0.11597123,0.88402873,280,411,0,test
0.9791611,0.02083898,281,1120,0,test
0.15549445,0.84450555,282,1780,0,test
0.023169562,0.9768305,283,588,0,test
0.8057775,0.19422254,284,316,0,test
0.030346904,0.9696531,285,297,0,test
0.93587595,0.0641241,286,1600,0,test
0.647095,0.35290498,287,1505,0,test
0.011119103,0.9888809,288,1517,0,test
0.0033478069,0.9966522,289,1808,0,test
0.82849383,0.17150609,290,772,0,test
0.00284409,0.9971559,291,839,0,test
0.0049426476,0.99505734,292,873,0,test
0.015594652,0.98440534,293,557,0,test
0.008993895,0.9910061,294,1362,0,test
0.98260295,0.017397022,295,261,0,test
0.43466663,0.56533337,296,1151,0,test
0.019712705,0.9802874,297,240,0,test
0.82454354,0.17545646,298,1196,0,test
0.024836313,0.9751637,299,425,0,test
0.010472642,0.98952734,300,968,0,test
0.0029523363,0.9970477,301,859,0,test
0.39791444,0.6020856,302,706,0,test
0.0027654488,0.9972345,303,1211,0,test
0.8098143,0.19018568,304,71,0,test
0.04408917,0.95591086,305,398,0,test
0.0092399465,0.9907601,306,259,0,test
0.002688457,0.9973116,307,51,0,test
0.7982319,0.20176812,308,838,0,test
0.8241854,0.17581461,309,619,0,test
0.86064553,0.1393545,310,1134,0,test
0.21855259,0.7814474,311,1236,0,test
0.99280846,0.007191561,312,471,0,test
0.01389517,0.9861048,313,931,0,test
0.876271,0.12372901,314,1611,0,test
0.0035122642,0.99648774,315,1006,0,test
0.75478584,0.24521415,316,1446,0,test
0.9092126,0.09078743,317,324,0,test
0.1017429,0.89825714,318,1378,0,test
0.003860599,0.99613935,319,824,0,test
0.95812124,0.041878738,320,420,0,test
0.854088,0.14591196,321,1622,0,test
0.07371223,0.9262877,322,481,0,test
0.03897263,0.9610274,323,554,0,test
0.98916733,0.010832675,324,1206,0,test
0.9772431,0.022756891,325,1546,0,test
0.003518906,0.99648106,326,679,0,test
0.11727136,0.88272864,327,1816,0,test
0.9041544,0.09584563,328,141,0,test
0.00316611,0.99683386,329,937,0,test
0.6088475,0.3911525,330,1001,0,test
0.0042192526,0.9957807,331,1702,0,test
0.06282123,0.93717873,332,494,0,test
0.8812054,0.11879464,333,1310,0,test
0.6870368,0.31296325,334,1493,0,test
0.12936729,0.8706327,335,271,0,test
0.037590757,0.9624092,336,184,0,test
0.20784633,0.79215366,337,1288,0,test
0.0030956946,0.9969043,338,244,0,test
0.769233,0.23076704,339,413,0,test
0.8083992,0.19160077,340,1734,0,test
0.46280885,0.5371912,341,887,0,test
0.6694857,0.3305143,342,1743,0,test
0.002873644,0.9971264,343,352,0,test
0.4774971,0.52250296,344,651,0,test
0.04857207,0.95142794,345,930,0,test
0.9867187,0.01328129,346,618,0,test
0.056389567,0.9436104,347,1353,0,test
0.77867067,0.22132933,348,1324,0,test
0.10790938,0.8920906,349,250,0,test
0.003439684,0.9965603,350,1660,0,test
0.90594506,0.09405501,351,1192,0,test
0.015565624,0.9844343,352,450,0,test
0.004594743,0.9954053,353,416,0,test
0.06974875,0.9302513,354,1352,0,test
0.002723745,0.99727625,355,1658,0,test
0.007831817,0.9921681,356,1715,0,test
0.8754091,0.124590896,357,744,0,test
0.029674992,0.970325,358,1506,0,test
0.020601984,0.9793981,359,534,0,test
0.98297095,0.01702909,360,1404,0,test
0.07736461,0.9226354,361,432,0,test
0.9880797,0.011920323,362,1263,0,test
0.96521276,0.034787215,363,170,0,test
0.011509549,0.98849046,364,292,0,test
0.0031314255,0.99686855,365,1455,0,test
0.16653256,0.8334674,366,1552,0,test
0.0716811,0.9283189,367,300,0,test
0.011863049,0.98813695,368,1708,0,test
0.0030639817,0.99693596,369,611,0,test
0.9636838,0.036316197,370,1807,0,test
0.06052793,0.9394721,371,1556,0,test
0.017628536,0.9823714,372,1755,0,test
0.96334887,0.03665111,373,1355,0,test
0.006581891,0.9934181,374,1053,0,test
0.03903195,0.960968,375,371,0,test
0.020165179,0.97983485,376,1581,0,test
0.061925936,0.93807405,377,555,0,test
0.86635333,0.13364674,378,1335,0,test
0.98226154,0.0177384,379,926,0,test
0.0033039937,0.996696,380,582,0,test
0.014233066,0.9857669,381,175,0,test
0.03477905,0.965221,382,733,0,test
0.93084234,0.06915761,383,1553,0,test
0.7550075,0.2449925,384,1594,0,test
0.9615633,0.038436733,385,1777,0,test
0.09787757,0.9021224,386,334,0,test
0.95363206,0.046368003,387,777,0,test
0.97930443,0.020695534,388,495,0,test
0.0031292217,0.9968708,389,916,0,test
0.95111394,0.048886087,390,610,0,test
0.00291003,0.99709,391,198,0,test
0.92698336,0.07301663,392,15,0,test
