0,1,index,identifier,chunk,split
0.58690685,0.41309318,0,58,0,test
0.5349081,0.4650919,1,179,1,test
0.33882847,0.6611715,2,97,1,test
0.4345514,0.56544864,3,289,2,test
0.5681942,0.43180582,4,223,1,test
0.58258235,0.41741762,5,91,2,test
0.4557085,0.54429144,6,100,2,test
0.32022503,0.67977494,7,257,2,test
0.60164493,0.3983551,8,308,2,test
0.6465623,0.35343766,9,302,2,test
0.3741578,0.6258422,10,140,0,test
0.5013627,0.49863735,11,223,3,test
0.6484098,0.3515902,12,31,2,test
0.49579427,0.50420576,13,44,1,test
0.32854348,0.6714565,14,145,1,test
0.47258776,0.5274122,15,196,0,test
0.6432435,0.35675654,16,124,0,test
0.5371381,0.46286193,17,96,1,test
0.6025377,0.39746228,18,35,2,test
0.3834831,0.6165169,19,66,1,test
0.67617035,0.32382965,20,189,1,test
0.522669,0.47733092,21,178,2,test
0.70800847,0.29199156,22,15,2,test
0.5858396,0.4141604,23,21,2,test
0.32188722,0.6781128,24,299,0,test
0.28668717,0.71331286,25,122,1,test
0.69652164,0.30347836,26,26,2,test
0.71301645,0.28698355,27,27,1,test
0.57455045,0.42544958,28,301,1,test
0.40612903,0.593871,29,103,1,test
0.618933,0.38106698,30,282,2,test
0.45289284,0.54710716,31,333,0,test
0.3408041,0.6591959,32,139,0,test
0.38803792,0.611962,33,222,1,test
0.71470827,0.28529176,34,231,2,test
0.5047525,0.4952475,35,182,2,test
0.5395322,0.46046782,36,141,2,test
0.6472023,0.3527977,37,10,0,test
0.39103687,0.6089631,38,259,1,test
0.39869252,0.60130745,39,111,1,test
0.37936115,0.62063885,40,292,2,test
0.33515894,0.66484106,41,265,0,test
0.30356887,0.69643116,42,226,0,test
0.4639007,0.5360993,43,133,2,test
0.40018678,0.5998133,44,69,0,test
0.7160255,0.28397453,45,153,1,test
0.49545726,0.50454277,46,250,0,test
0.5958563,0.4041437,47,206,6,test
0.6695909,0.33040908,48,228,2,test
0.71083045,0.2891696,49,195,1,test
0.52894795,0.47105202,50,169,1,test
0.31484035,0.6851596,51,299,3,test
0.40006357,0.59993637,52,167,2,test
0.2818127,0.71818733,53,218,0,test
0.59951127,0.40048873,54,232,0,test
0.63797563,0.36202437,55,134,0,test
0.44565856,0.55434144,56,222,0,test
0.6623102,0.33768982,57,33,2,test
0.6972565,0.3027435,58,104,2,test
0.46550277,0.5344972,59,133,6,test
0.64283824,0.35716173,60,287,0,test
0.4224497,0.5775503,61,65,2,test
0.4138209,0.5861791,62,333,2,test
0.30511016,0.69488984,63,123,0,test
0.32328406,0.67671597,64,150,1,test
0.53755146,0.46244857,65,322,1,test
0.35977262,0.6402274,66,133,1,test
0.42330074,0.5766992,67,305,1,test
0.564098,0.43590197,68,34,1,test
0.6293979,0.37060204,69,127,2,test
0.5419349,0.45806506,70,177,2,test
0.65832627,0.34167367,71,118,2,test
0.62153214,0.3784679,72,98,1,test
0.41906646,0.5809335,73,18,0,test
0.6930867,0.30691338,74,255,2,test
0.38439503,0.615605,75,140,1,test
0.39536408,0.6046359,76,219,2,test
0.42320144,0.5767985,77,113,0,test
0.5938387,0.40616128,78,275,1,test
0.6319518,0.36804816,79,7,1,test
0.49162674,0.50837326,80,251,3,test
0.5540523,0.44594765,81,211,2,test
0.75880504,0.24119495,82,158,0,test
0.27675885,0.72324115,83,323,0,test
0.64769804,0.35230193,84,115,1,test
0.4685694,0.5314306,85,113,3,test
0.43062285,0.5693772,86,138,0,test
0.3493851,0.65061486,87,278,0,test
0.6951515,0.3048485,88,207,0,test
0.34889266,0.6511074,89,43,3,test
0.41435808,0.5856419,90,75,1,test
0.45992878,0.54007125,91,249,3,test
0.45232257,0.54767746,92,253,2,test
0.44517505,0.55482495,93,306,2,test
0.5961258,0.40387422,94,249,6,test
0.6640711,0.3359289,95,91,1,test
0.35471967,0.6452803,96,277,0,test
0.7045993,0.29540065,97,15,0,test
0.3749528,0.6250472,98,221,0,test
0.32055303,0.679447,99,92,3,test
0.7077557,0.29224426,100,158,1,test
0.54375,0.45625007,101,23,2,test
0.62716925,0.37283072,102,181,1,test
0.63150316,0.36849684,103,3,1,test
0.3613029,0.6386971,104,167,0,test
0.7043811,0.29561886,105,198,1,test
0.41850564,0.5814944,106,49,1,test
0.6845479,0.3154521,107,62,2,test
0.27475694,0.72524303,108,270,1,test
0.4371509,0.56284916,109,303,0,test
0.63107604,0.36892396,110,238,0,test
0.67880714,0.3211928,111,190,1,test
0.6309358,0.3690642,112,161,2,test
0.3980146,0.60198545,113,204,2,test
0.4331546,0.5668454,114,30,0,test
0.7156853,0.28431475,115,25,2,test
0.36314774,0.63685226,116,150,0,test
0.67321575,0.32678425,117,54,2,test
0.38117957,0.6188204,118,107,2,test
0.43491945,0.5650805,119,155,2,test
0.43889117,0.5611088,120,237,0,test
0.50819397,0.49180606,121,78,0,test
0.7454053,0.2545947,122,198,2,test
0.34297922,0.65702075,123,149,1,test
0.52783394,0.47216603,124,94,0,test
0.47941202,0.520588,125,93,1,test
0.5915569,0.40844306,126,174,2,test
0.5549553,0.4450447,127,169,2,test
0.67342585,0.32657412,128,183,1,test
0.36304125,0.6369588,129,96,2,test
0.39007202,0.609928,130,281,1,test
0.51860505,0.48139498,131,102,0,test
0.6713584,0.32864156,132,164,1,test
0.5823137,0.41768628,133,24,1,test
0.31163636,0.6883637,134,63,0,test
0.6080247,0.39197525,135,134,2,test
0.40898237,0.5910176,136,252,2,test
0.59896773,0.4010322,137,212,2,test
0.6940709,0.30592912,138,153,0,test
0.37375557,0.6262444,139,12,2,test
0.69610566,0.3038943,140,9,2,test
0.686591,0.31340894,141,237,2,test
0.27991208,0.7200879,142,43,0,test
0.5156166,0.4843834,143,16,2,test
0.44258037,0.55741966,144,86,2,test
0.38016748,0.6198326,145,110,0,test
0.5713594,0.42864063,146,165,0,test
0.29014525,0.7098548,147,92,1,test
0.3959025,0.6040975,148,94,1,test
0.5821663,0.4178337,149,1,0,test
0.36562023,0.63437974,150,245,1,test
0.5708236,0.42917642,151,284,1,test
0.26297697,0.737023,152,162,0,test
0.52571404,0.47428596,153,245,2,test
0.5175292,0.4824708,154,310,0,test
0.7040953,0.2959047,155,258,0,test
0.28797543,0.71202457,156,218,2,test
0.655674,0.34432605,157,17,2,test
0.6493418,0.3506582,158,19,1,test
0.69264054,0.30735946,159,68,0,test
0.5654952,0.4345048,160,322,2,test
0.619918,0.380082,161,31,1,test
0.4866383,0.51336175,162,307,2,test
0.6695344,0.33046558,163,101,1,test
0.5585585,0.44144148,164,139,2,test
0.64059436,0.35940564,165,282,1,test
0.7573711,0.24262886,166,52,2,test
0.34240505,0.657595,167,268,0,test
0.30414656,0.6958535,168,77,1,test
0.5381517,0.46184838,169,60,2,test
0.46603805,0.533962,170,108,0,test
0.3247776,0.6752224,171,291,1,test
0.73682207,0.2631779,172,20,1,test
0.29567528,0.7043247,173,87,1,test
0.6470875,0.35291246,174,20,2,test
0.44075462,0.5592454,175,56,0,test
0.4830792,0.5169208,176,4,0,test
0.5996761,0.40032393,177,286,0,test
0.4941729,0.5058271,178,308,0,test
0.49131313,0.50868684,179,334,2,test
0.37362474,0.62637526,180,313,1,test
0.66931754,0.33068243,181,187,1,test
0.6632435,0.33675653,182,260,1,test
0.37184054,0.6281594,183,97,0,test
0.41000235,0.58999765,184,185,0,test
0.36529893,0.6347011,185,321,1,test
0.59206694,0.40793303,186,287,1,test
0.5427146,0.45728537,187,171,1,test
0.3860716,0.61392844,188,225,0,test
0.37454388,0.6254561,189,300,0,test
0.51153296,0.488467,190,208,1,test
0.49818677,0.50181323,191,272,1,test
0.5747895,0.42521045,192,83,2,test
0.70730954,0.29269046,193,0,2,test
0.3854701,0.6145299,194,149,0,test
0.457791,0.54220897,195,171,2,test
0.39010078,0.6098992,196,320,1,test
0.6256683,0.3743317,197,249,7,test
0.45358625,0.5464138,198,312,1,test
0.32498565,0.6750144,199,96,3,test
0.49876976,0.50123024,200,171,0,test
0.40695968,0.59304035,201,256,3,test
0.6142976,0.3857023,202,73,1,test
0.72120184,0.27879813,203,116,2,test
0.73364156,0.26635844,204,205,0,test
0.3940384,0.60596156,205,154,0,test
0.5096368,0.4903632,206,193,1,test
0.67620176,0.32379824,207,108,2,test
0.5093665,0.4906335,208,310,1,test
0.3237249,0.67627513,209,278,1,test
0.60454524,0.3954548,210,104,1,test
0.69464946,0.30535048,211,260,0,test
0.5603343,0.43966568,212,82,0,test
0.6382352,0.3617648,213,183,2,test
0.69355303,0.30644697,214,205,3,test
0.67043513,0.3295649,215,315,2,test
0.48832014,0.5116798,216,215,2,test
0.43422374,0.5657762,217,77,0,test
0.5100887,0.48991138,218,295,1,test
0.7436976,0.25630248,219,249,5,test
0.6003074,0.39969257,220,33,1,test
0.37314025,0.6268597,221,185,2,test
0.41042617,0.5895738,222,16,3,test
0.49507245,0.5049275,223,67,1,test
0.68566495,0.31433508,224,37,2,test
0.37193075,0.6280693,225,125,1,test
0.6715785,0.32842144,226,8,0,test
0.36526376,0.63473624,227,22,1,test
0.46774852,0.5322515,228,80,3,test
0.49482593,0.50517404,229,13,3,test
0.49740112,0.5025989,230,184,2,test
0.39609215,0.6039078,231,100,1,test
0.2854798,0.7145202,232,105,0,test
0.30434284,0.69565713,233,86,0,test
0.5522884,0.44771156,234,133,7,test
0.58740413,0.41259587,235,272,3,test
0.58198464,0.41801533,236,318,2,test
0.4714323,0.5285677,237,154,1,test
0.3673843,0.6326157,238,166,0,test
0.4048954,0.5951046,239,285,0,test
0.43049014,0.56950986,240,185,1,test
0.71346396,0.2865361,241,129,0,test
0.6183415,0.3816585,242,230,3,test
0.5000348,0.49996522,243,271,0,test
0.5655798,0.4344202,244,184,1,test
0.6195941,0.38040584,245,325,2,test
0.33308938,0.6669106,246,66,0,test
0.3051293,0.6948707,247,227,0,test
0.58142024,0.41857976,248,325,1,test
0.63677907,0.36322087,249,221,2,test
0.5203593,0.47964072,250,88,1,test
0.49618897,0.50381106,251,177,1,test
0.48701528,0.5129847,252,18,1,test
0.57869935,0.42130062,253,120,0,test
0.37501445,0.6249855,254,130,1,test
0.75276834,0.24723162,255,28,2,test
0.4992414,0.5007586,256,208,2,test
0.6994054,0.30059463,257,332,0,test
0.32050553,0.6794945,258,294,0,test
0.51768136,0.48231867,259,169,0,test
0.48709065,0.51290935,260,119,2,test
0.3843655,0.61563456,261,256,1,test
0.6937384,0.30626157,262,57,1,test
0.40199304,0.5980069,263,157,1,test
0.6717118,0.3282882,264,90,1,test
0.57406443,0.4259356,265,34,2,test
0.6166213,0.38337868,266,113,2,test
0.5673076,0.4326924,267,175,1,test
0.642402,0.357598,268,247,0,test
0.64217055,0.3578295,269,187,2,test
0.3446507,0.6553494,270,105,2,test
0.3642095,0.63579047,271,202,2,test
0.5894196,0.41058037,272,82,1,test
0.43687215,0.5631278,273,110,2,test
0.37018675,0.6298132,274,160,0,test
0.54819906,0.45180088,275,165,1,test
0.496396,0.503604,276,253,3,test
0.30092925,0.69907075,277,43,1,test
0.35520434,0.64479566,278,103,0,test
0.68564457,0.31435543,279,260,2,test
0.7457381,0.25426185,280,129,2,test
0.71045023,0.28954974,281,195,2,test
0.38694242,0.6130576,282,266,0,test
0.66030407,0.33969593,283,9,1,test
0.5073809,0.49261904,284,51,2,test
0.42341545,0.5765845,285,78,1,test
0.3685133,0.6314867,286,110,1,test
0.6694572,0.3305428,287,104,3,test
0.68647915,0.3135208,288,247,1,test
0.6326592,0.36734083,289,127,1,test
0.7184742,0.28152582,290,286,1,test
0.6384592,0.36154082,291,235,2,test
0.33362335,0.66637665,292,170,1,test
0.3802046,0.61979544,293,20,0,test
0.6310199,0.36898008,294,237,1,test
0.5431304,0.45686954,295,287,2,test
0.31252953,0.68747044,296,80,1,test
0.50048846,0.49951154,297,288,2,test
0.7343944,0.26560566,298,210,0,test
0.45623934,0.54376066,299,70,0,test
0.32234856,0.67765146,300,74,2,test
0.716841,0.28315902,301,316,2,test
0.6353228,0.36467716,302,263,1,test
0.57761157,0.42238846,303,143,0,test
0.39354515,0.60645485,304,252,0,test
0.7232695,0.2767305,305,314,2,test
0.6137756,0.3862244,306,78,2,test
0.2835334,0.7164666,307,188,0,test
0.5189296,0.48107043,308,137,1,test
0.3621384,0.63786167,309,22,0,test
0.40488696,0.59511304,310,29,1,test
0.671621,0.32837895,311,10,2,test
0.6330185,0.36698145,312,225,1,test
0.68488806,0.31511194,313,81,2,test
0.38345838,0.6165417,314,64,1,test
0.38760796,0.612392,315,211,0,test
0.4410398,0.5589602,316,203,0,test
0.46201256,0.5379875,317,281,0,test
0.5567839,0.44321603,318,24,0,test
0.50026333,0.4997366,319,26,0,test
0.39499295,0.60500705,320,114,2,test
0.4451988,0.5548012,321,25,1,test
0.6486641,0.35133588,322,200,0,test
0.28062066,0.7193793,323,145,2,test
0.6436363,0.35636374,324,161,0,test
0.6949442,0.30505583,325,189,0,test
0.41368276,0.58631724,326,318,0,test
0.5969942,0.40300575,327,316,0,test
0.363425,0.636575,328,111,2,test
0.59066063,0.40933934,329,1,2,test
0.34305692,0.6569431,330,97,2,test
0.4871987,0.51280123,331,192,1,test
0.4956974,0.50430256,332,32,2,test
0.5106433,0.48935667,333,30,1,test
0.40069994,0.5993001,334,226,2,test
0.56613934,0.4338607,335,269,2,test
0.35779637,0.6422036,336,99,0,test
0.48637056,0.51362944,337,168,1,test
0.45991954,0.5400804,338,301,2,test
0.60843474,0.3915652,339,88,2,test
0.62183136,0.3781686,340,84,0,test
0.3909906,0.60900944,341,166,1,test
0.31356555,0.68643445,342,151,1,test
0.5857052,0.41429478,343,208,0,test
0.32568848,0.6743115,344,151,2,test
0.48950276,0.5104972,345,304,1,test
0.42212516,0.57787484,346,183,0,test
0.6663267,0.33367336,347,37,0,test
0.70716155,0.29283842,348,146,0,test
0.71878266,0.2812173,349,79,0,test
0.41149226,0.5885077,350,136,0,test
0.65613407,0.3438659,351,90,0,test
0.46598846,0.53401154,352,132,1,test
0.62689906,0.37310097,353,3,0,test
0.26011965,0.7398803,354,270,0,test
0.6701593,0.32984075,355,62,0,test
0.5499449,0.45005512,356,212,1,test
0.4436956,0.55630445,357,25,0,test
0.35086113,0.6491389,358,149,2,test
0.7380092,0.26199085,359,172,2,test
0.6401687,0.35983127,360,217,1,test
0.36974114,0.63025886,361,76,0,test
0.5737452,0.4262548,362,116,1,test
0.43198615,0.56801385,363,66,2,test
0.38705632,0.61294365,364,250,1,test
0.5953859,0.4046141,365,143,1,test
0.35173932,0.6482607,366,168,0,test
0.35390073,0.64609927,367,72,0,test
0.67170185,0.3282982,368,298,0,test
0.47730723,0.5226928,369,182,1,test
0.31275088,0.6872491,370,233,0,test
0.47356126,0.5264387,371,276,1,test
0.426399,0.57360107,372,55,2,test
0.3168783,0.68312174,373,324,0,test
0.45389932,0.5461007,374,155,0,test
0.43897575,0.56102425,375,144,2,test
0.54649925,0.45350078,376,172,1,test
0.6856976,0.31430236,377,249,0,test
0.536899,0.46310103,378,133,3,test
0.37090328,0.6290967,379,226,1,test
0.5616915,0.43830848,380,2,1,test
0.61664027,0.3833597,381,284,2,test
0.38081902,0.619181,382,48,1,test
0.43422604,0.56577396,383,112,1,test
0.5490226,0.45097733,384,190,0,test
0.48204714,0.51795286,385,70,2,test
0.34415534,0.6558447,386,103,2,test
0.40293002,0.59707004,387,277,2,test
0.29555112,0.7044489,388,229,0,test
0.5203382,0.47966185,389,271,1,test
0.52307516,0.47692484,390,206,2,test
0.6384327,0.3615673,391,200,1,test
0.6855127,0.31448725,392,217,0,test
0.4112458,0.5887542,393,133,5,test
0.65919375,0.34080622,394,302,1,test
0.37769753,0.6223025,395,323,2,test
0.4743276,0.5256724,396,200,2,test
0.29624525,0.7037547,397,283,0,test
0.57820433,0.4217957,398,300,2,test
0.7315104,0.26848963,399,205,2,test
0.51318336,0.48681667,400,248,0,test
0.36020005,0.63979995,401,233,2,test
0.5341479,0.46585205,402,51,0,test
0.35023457,0.64976543,403,72,1,test
0.600145,0.39985502,404,141,0,test
