0,1,index,identifier,chunk,split
0.004229209,0.99577075,0,7538,0,test
0.99637896,0.0036210108,1,12502,0,test
0.003419009,0.996581,2,12960,0,test
0.0035421401,0.9964579,3,83,2,test
0.023986956,0.97601306,4,13032,0,test
0.9962065,0.0037934154,5,12339,0,test
0.004687172,0.9953128,6,5440,0,test
0.0033649285,0.99663514,7,14488,0,test
0.9307494,0.06925058,8,18530,2,test
0.9962304,0.0037695586,9,24702,0,test
0.004612932,0.99538714,10,20534,0,test
0.9968267,0.0031732742,11,9650,0,test
0.52560675,0.47439322,12,22488,0,test
0.9971608,0.0028392854,13,3172,0,test
0.9941129,0.005887141,14,13890,0,test
0.9950683,0.0049316515,15,9125,0,test
0.0038289225,0.99617106,16,20475,0,test
0.9963894,0.0036106487,17,9462,0,test
0.5228021,0.4771979,18,8002,0,test
0.0040998883,0.9959001,19,14177,0,test
0.91870105,0.081298895,20,20150,1,test
0.0038587234,0.99614125,21,8363,0,test
0.9971205,0.0028794922,22,1245,0,test
0.007060217,0.9929397,23,12076,1,test
0.98827296,0.0117270015,24,24105,0,test
0.00916957,0.9908304,25,13985,0,test
0.8865551,0.113444954,26,10836,0,test
0.0028742917,0.9971257,27,5343,2,test
0.9953549,0.004645139,28,10701,0,test
0.084149055,0.915851,29,3460,0,test
0.9917653,0.008234641,30,24307,0,test
0.9972927,0.002707246,31,5493,1,test
0.9962366,0.0037634575,32,18817,0,test
0.22657433,0.77342564,33,10613,0,test
0.85865337,0.1413466,34,23593,1,test
0.0032644984,0.9967355,35,11800,0,test
0.9912612,0.008738802,36,6033,0,test
0.08567561,0.9143244,37,5805,0,test
0.97493184,0.025068114,38,7267,0,test
0.9964713,0.0035287882,39,11198,0,test
0.99612385,0.0038761531,40,20426,0,test
0.9953004,0.0046995743,41,14600,0,test
0.9912476,0.008752463,42,4826,0,test
0.0035389198,0.9964611,43,16182,1,test
0.9835894,0.01641065,44,16234,0,test
0.9977101,0.0022898284,45,7161,0,test
0.0059099197,0.99409,46,8112,0,test
0.996554,0.0034459464,47,3231,0,test
0.9977884,0.0022115728,48,1450,0,test
0.0058298786,0.9941702,49,15563,0,test
0.22466111,0.7753389,50,10392,0,test
0.9959708,0.0040292316,51,400,0,test
0.9966382,0.0033617616,52,10768,0,test
0.99505377,0.004946242,53,17276,0,test
0.6088406,0.39115942,54,8059,0,test
0.0037522186,0.9962478,55,8244,0,test
0.6294493,0.37055072,56,22348,1,test
0.9800331,0.019966893,57,7365,0,test
0.99574995,0.0042499914,58,13911,0,test
0.94800615,0.051993858,59,4124,1,test
0.99714345,0.002856477,60,1259,0,test
0.9951952,0.00480475,61,645,0,test
0.01223648,0.98776346,62,8657,0,test
0.9889237,0.011076234,63,5358,3,test
0.012083548,0.98791647,64,14697,0,test
0.3822371,0.6177629,65,3931,0,test
0.004971163,0.9950289,66,18794,0,test
0.028052185,0.97194785,67,24439,0,test
0.9925599,0.0074401107,68,16765,0,test
0.99492407,0.005075932,69,24986,0,test
0.003271522,0.9967284,70,16139,0,test
0.0041847927,0.9958152,71,9071,0,test
0.00570429,0.99429566,72,10656,1,test
0.0037016177,0.9962984,73,2326,0,test
0.9898581,0.010141865,74,24711,0,test
0.99688524,0.003114803,75,12900,0,test
0.8496898,0.1503102,76,11428,0,test
0.9959927,0.004007291,77,12521,0,test
0.9450911,0.054908838,78,6672,0,test
0.008755777,0.9912442,79,19675,2,test
0.66228384,0.3377161,80,20812,0,test
0.99761945,0.0023805744,81,6125,0,test
0.67385495,0.32614502,82,21070,1,test
0.9885937,0.011406277,83,23739,0,test
0.9820977,0.017902289,84,21557,0,test
0.003031851,0.9969682,85,18577,0,test
0.9935701,0.006429872,86,17292,0,test
0.014914195,0.98508584,87,19691,0,test
0.0060970653,0.9939029,88,13044,0,test
0.9963755,0.0036245259,89,8686,0,test
0.9909827,0.009017297,90,12158,0,test
0.99247193,0.007528118,91,11686,0,test
0.9953974,0.00460262,92,10043,0,test
0.9977501,0.0022499454,93,16376,0,test
0.9983308,0.001669294,94,14116,0,test
0.99453694,0.0054630064,95,9777,0,test
0.0042728474,0.9957272,96,24157,0,test
0.005055669,0.9949443,97,19280,0,test
0.089282066,0.9107179,98,2496,0,test
0.99687684,0.0031231348,99,3032,0,test
