SLURM NODE: kn083
[I 2026-03-01 05:57:22,588] A new study created in RDB with name: R8-Chefer_importance
[I 2026-03-01 08:42:39,593] Trial 0 finished with value: 0.9463630068244333 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9463630068244333.
[I 2026-03-01 11:17:07,721] Trial 1 finished with value: 0.9388005174514608 and parameters: {'batch_size': 64, 'edge_threshold': 0.5, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9463630068244333.
[I 2026-03-01 13:29:12,572] Trial 2 finished with value: 0.9434040273263109 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.5, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.9463630068244333.
[I 2026-03-01 16:46:20,316] Trial 3 finished with value: 0.9501242484218442 and parameters: {'batch_size': 32, 'edge_threshold': 0.5, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-01 18:39:16,296] Trial 4 finished with value: 0.9394910544242312 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.9, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-01 21:05:24,945] Trial 5 finished with value: 0.12845576341023962 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-01 23:22:30,342] Trial 6 finished with value: 0.9488112994117917 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.8, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-02 02:11:44,148] Trial 7 finished with value: 0.9466094784903194 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-02 04:40:09,791] Trial 8 finished with value: 0.09491931901391851 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-02 06:52:40,804] Trial 9 finished with value: 0.9382030122411043 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.95, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 3 with value: 0.9501242484218442.
[I 2026-03-02 11:58:29,933] Trial 10 finished with value: 0.14549119686894307 and parameters: {'batch_size': 16, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 3 with value: 0.9501242484218442.
