SLURM NODE: kn048
[I 2026-03-01 06:07:36,876] A new study created in RDB with name: SST-2-Chefer_importance
[I 2026-03-01 07:53:38,365] Trial 0 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-03-01 09:23:36,717] Trial 1 finished with value: 0.9139908256880734 and parameters: {'batch_size': 64, 'edge_threshold': 0.5, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9139908256880734.
[I 2026-03-01 10:53:28,030] Trial 2 finished with value: 0.9128440366972477 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.5, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9139908256880734.
[I 2026-03-01 12:42:08,299] Trial 3 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'edge_threshold': 0.5, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 1 with value: 0.9139908256880734.
[I 2026-03-01 14:28:32,445] Trial 4 finished with value: 0.9071100917431193 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.9, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 1 with value: 0.9139908256880734.
[I 2026-03-01 16:13:29,882] Trial 5 finished with value: 0.5481651376146789 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 1 with value: 0.9139908256880734.
[I 2026-03-01 18:00:37,738] Trial 6 finished with value: 0.9151376146788991 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.8, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 6 with value: 0.9151376146788991.
[I 2026-03-01 20:25:38,896] Trial 7 finished with value: 0.9105504587155964 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 6 with value: 0.9151376146788991.
[I 2026-03-01 22:32:32,114] Trial 8 finished with value: 0.5619266055045872 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 6 with value: 0.9151376146788991.
[I 2026-03-02 00:53:50,399] Trial 9 finished with value: 0.9025229357798165 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.95, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 6 with value: 0.9151376146788991.
[I 2026-03-02 03:18:23,792] Trial 10 finished with value: 0.5642201834862385 and parameters: {'batch_size': 16, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 6 with value: 0.9151376146788991.
